id,kind
BGC0000003,entity
wider AFT functional programme,entity
conditionally dispensable/accessory chromosome,entity
E001,entity
NAF8,entity
E002,entity
YM-19,entity
BGC0000004,entity
canonical aflatoxin biosynthetic gene cluster,entity
RIB40 aflJ/aflS allele,entity
loss-of-function in regulatory assay,entity
A. oryzae RIB40,entity
E003,entity
A. oryzae RIB67,entity
MIBiG compound annotation,entity
aflatoxin G1 NMR characterization,entity
AY371490.1:1-82081,entity
~70-kb 25-gene aflatoxin biosynthetic cluster,entity
nadA-hxtA-glcA-sugR; nadA later shown to participate in G-aflatoxin formation,entity
aflR,entity
multiple aflatoxin structural genes,entity
nitrate,entity
aflatoxin pathway expression/production under tested condition,entity
native chromosomal cluster position,entity
nor-1 expression under inducing conditions,entity
aflU/cypA,entity
G-aflatoxin branch,entity
ATCC 56775,entity
partial duplicated aflatoxin-cluster module,entity
BGC0000005.3,entity
retired,entity
nadA,entity
late G-group aflatoxin biosynthesis beyond the historical 25-gene core,entity
BGC0000006,entity
AY510451.1:1-88318,entity
AF13,entity
aflatoxin B1 and aflatoxin B2,entity
AF13 norB–cypA proximal module,entity
degenerated by 32-bp + 854-bp deletions,entity
norB–cypA deletion,entity
G-aflatoxin formation,entity
cottonseed lipids,entity
AFB1 production by AF13,entity
atoxigenic A. flavus AF36,entity
realized AF13 aflatoxin contamination in cotton,entity
atfC,entity
oxidative-stress tolerance; aflatoxin effect remains context-dependent,entity
BGC0000007,entity
AY510452.1:1-82511,entity
BN008R / ATCC MYA-379,entity
Aspergillus aflatoxiformans,entity
BN008R,entity
aflatoxin B1 and aflatoxin G1,entity
urea nitrogen,entity
BN008R B1/G1 accumulation relative to ammonium,entity
very acidic pH,entity
BN008R B1/G1 accumulation,entity
aflR transcript,entity
BN008R aflatoxin output across pH,entity
cypA,entity
BGC0000008,entity
AY510453.1:1-75829,entity
AF70,entity
A. flavus AF70 / ATCC MYA-384 (strain TaxID 1392242),entity
ground corn,entity
AF70 aflatoxin-cluster transcription and AFB1 output relative to PDB,entity
Hbx1,entity
AF70 development and aflatoxin production,entity
FhpA,entity
AF70 AFB1 production,entity
AF70 aflF/aflU region,entity
S-morphotype deletion/degeneration,entity
AF70 cluster genotype,entity
NRRL3357 aflatoxin cluster,entity
BGC0000009,entity
AY510454.1:1-75352,entity
NRRL 13137,entity
Aspergillus nomiae,entity
aflatoxin B1/B2/G1/G2,entity
intact aflU/cypA,entity
G-aflatoxin branch competence,entity
high initial spore density in peptone medium,entity
NRRL 13137 aflatoxin biosynthesis,entity
high initial spore density in glucose medium,entity
arachidin-3,entity
NRRL 13137 growth/development and AFB1 accumulation,entity
temperature,entity
A. nomiae growth/transcript state versus final toxin output,entity
BGC0000010,entity
AY510455.1:1-78264,entity
AF36,entity
YV36,entity
MAT1-2,entity
aflC/pksA nt591 G→A,entity
premature stop codon / nonfunctional PKS,entity
nonfunctional PksA,entity
aflatoxin pathway biochemical execution,entity
AF36/YV36 field application,entity
aflatoxin contamination from toxigenic A. flavus populations,entity
MIBiG aflatoxin compound annotation,entity
native AF36 product evidence,entity
BGC0000011,entity
AY092402.3:1-59535,entity
SRRC 1432,entity
CBS 550.77 / NRRL 28622 / ATCC 38873,entity
A. ochraceoroseus,entity
sterigmatocystin + aflatoxin B1 + aflatoxin B2,entity
A. ochraceoroseus aflR,entity
A. nidulans aflR mutant,entity
A. ochraceoroseus aflQ/ordA,entity
A. parasiticus aflQ mutant,entity
BGC0000011 architecture,entity
A. nidulans sterigmatocystin cluster,entity
BGC0000012,entity
AB120221.1:1-21971,entity
Alt5 / PKSN,entity
alternapyrone,entity
Alt1,entity
cytochrome P450 tailoring,entity
Alt2,entity
Alt3,entity
Alt4,entity
FAD/FMN-dependent oxidative tailoring,entity
core intermediate / released PKS product rather than proven full-cluster end product,entity
BGC0000012-like clusters,entity
multiple Pleosporalean/Dothideomycete fungi,entity
BGC0000013 displayed region,entity
"A. nidulans chromosome IV / BN001304.1:1,099,810–1,145,772",entity
compact functional locus,entity
"BN001304.1:1,119,810–1,127,658",entity
PkgA,entity
alternariol/isocoumarin polyketide backbone,entity
PkgB,entity
PkgA polyketide product,entity
PkgA + PkgB direct induction,entity
alternariol + dehydrocitreoisocoumarin + minor isocoumarins,entity
nearby putative TF induction,entity
detectable new natural product under tested conditions,entity
MIBiG historical alternariol structure reference,entity
A. nidulans production,entity
sterigmatocystin-deficient background,entity
induced natural-product discovery,entity
BGC0000022,entity
"AACD01000015.1:109,597–170,464",entity
MIBiG locus feature,entity
"AACD01000015.1:111,993–153,232",entity
functional afo programme,entity
afoA + afoB/afoC/afoD/afoE/afoF/afoG,entity
AN1030,entity
asperfuranone cluster under ScpR activation,entity
asperfuranone production in deletion assay,entity
AfoG,entity
AfoE,entity
AfoD deletion,entity
preasperfuranone,entity
ScpR chromosome-II regulator,entity
AfoA on chromosome VIII,entity
AfoB,entity
product transport/recovery,entity
BGC0000027,entity
KC148521.1:1-80000,entity
M. purpureus discovery locus,entity
M. pilosus BGC0000027,entity
MpPKS5,entity
Monascus azaphilone pigment backbone,entity
MppR1,entity
MpPKS5 / pigment pathway access,entity
MpFAS2,entity
short-chain C8/C10 acyl moieties for pigment decoration,entity
MppE,entity
yellow ankaflavin/monascin branch,entity
MppG,entity
orange rubropunctatin/monascorubrin branch,entity
mppE overexpression phenotype,entity
culture method,entity
BGC0000030,entity
"HF679027.1:82,202–128,472 / chromosome V",entity
functional bik core,entity
"FFUJ_06742–FFUJ_06747 / 102,202–119,287",entity
Bik1,entity
pre-bikaverin polyketide scaffold,entity
Bik2,entity
bikaverin pathway intermediates,entity
Bik3,entity
Bik4,entity
bik1/bik2/bik3 expression,entity
Bik5,entity
bik1/bik4/bik6 and pathway output,entity
Bik6,entity
bikaverin export/recovery,entity
PacC,entity
alkaline pH,entity
high nitrogen,entity
bik1–bik6 transcription,entity
ralsolamycin,entity
bik1/bik2/bik3 transcription and bikaverin production,entity
bikaverin,entity
Ralstonia invasion frequency in chlamydospores,entity
BGC0000037 display region,entity
"BN001301.1 chromosome I:119,085–166,905",entity
"cicF/PKS at 139,085–146,905",entity
CicF,entity
3-methylorsellinic acid scaffold,entity
CicB deletion,entity
3-methylorsellinic acid,entity
CicC deletion,entity
nidulol,entity
CicD,entity
cichorine pathway and derivative production,entity
CicG,entity
cichorine production under YES deletion assay,entity
cichorine-derived precursor,entity
aspercryptin assembled by separate BGC,entity
acidified extraction,entity
otherwise missed ionizable pathway intermediates,entity
local cic cluster,entity
lactone-to-lactam conversion,entity
MlcA,entity
compactin nonaketide core,entity
MlcG,entity
MlcA reductive programming,entity
MlcB,entity
compactin diketide side chain,entity
MlcH,entity
diketide side chain + ML-236A → compactin,entity
MlcR,entity
mlc biosynthetic genes,entity
MlcD,entity
compactin target resistance,entity
MlcE,entity
compactin efflux/self-resistance,entity
BGC0000045,entity
JX971534.1:1-31000,entity
AtCURS1,entity
AtCURS2,entity
"10,11-dehydrocurvularin",entity
CurR,entity
dehydrocurvularin locus,entity
CurE,entity
dehydrocurvularin,entity
AtCURS1 + AtCURS2,entity
heterologous final-product formation,entity
starter-unit feeding,entity
AtCURS1 requirement experimentally,entity
A. terreus NIH2624,entity
producer-strain curS1/curS2 orthologs,entity
BGC0000046,entity
FJ977165.1:1–25000,entity
DEP6,entity
DEP1–DEP5,entity
DEP5,entity
depudecin polyketide scaffold formation,entity
DEP2,entity
oxidative tailoring toward depudecin,entity
DEP4,entity
DEP3,entity
transport/export of depudecin or related function,entity
depudecin,entity
cabbage virulence,entity
Arabidopsis virulence in defining assay,entity
higher temperature 23→30°C,entity
depudecin production,entity
reduced nitrate / ammonium substitution,entity
depudecin production at 23°C,entity
DEP cluster family,entity
horizontal transfer and recurrent partial degeneration across fungi,entity
BGC0000048,entity
"DQ149246.3:1–52,829 / pksA mini-cluster",entity
dothistromin functional programme,entity
six loci on chromosome 12,entity
PksA,entity
de novo dothistromin scaffold synthesis,entity
PksA mutant,entity
downstream precursor-to-dothistromin conversion competence,entity
DotA/Ver1 loss,entity
versicolorin A,entity
DsAflR,entity
multiple physically separated dothistromin loci,entity
DsLaeA,entity
DsAflR and dothistromin output,entity
H3K27me3,entity
dispersed chromosome-12 dothistromin genes,entity
early exponential state,entity
high dothistromin-gene expression and production,entity
dothistromin,entity
mesophyll colonization / lesion expansion / sporulation,entity
initial infection and disease-cycle completion,entity
chromosome-11 NorB,entity
BGC0000057 display region,entity
"AACD01000135.1:108,096–154,597",entity
OrsA,entity
orsellinic acid,entity
OrsA + OrsB + OrsC,entity
F9775A/F9775B local biosynthesis,entity
OrsB deletion,entity
gerfelin + C10-deoxygerfelin + orsellinic acid,entity
OrsC deletion,entity
diorcinol + orsellinic acid,entity
AN7913–AN7915,entity
OA/F9775A/B under targeted-deletion conditions,entity
S. rapamycinicus physical contact,entity
ors transcription and OA/lecanoric acid/F9775 chemistry,entity
SAGA/ADA GcnE/AdaB,entity
bacteria-induced ors activation,entity
CclA loss,entity
ors/F9775 programme,entity
VeA,entity
MvlA overexpression,entity
ΔveA/ΔcclA F9775 activation,entity
stationary liquid Czapek culture,entity
wild-type OA/F9775 production,entity
BGC0000062,entity
AF155773.5,entity
Fum21,entity
most FUM biosynthetic genes,entity
Fum1,entity
Fum8 in pathway order,entity
Fum8,entity
Fum6-dependent oxidation,entity
Fum13,entity
C3 carbonyl to C3 hydroxyl,entity
Fum2,entity
C10 hydroxylation/congener class,entity
Fum3,entity
final C5 hydroxylation,entity
Fum7/Fum10/Fum11/Fum14,entity
tricarballylic ester arms,entity
Fum18,entity
ceramide-synthase-based FB1 self-protection,entity
