id,kind
Fum19,entity
FUM cluster expression and FB1 level,entity
Fum16,entity
palmitoyl-CoA/ceramide self-protection module,entity
FUM15–FUM19,entity
self-protection/regulatory subcluster,entity
FUM1 loss,entity
fumonisin but not tested maize ear pathogenicity,entity
BGC0000063,entity
"EU449979.1:1–53,327",entity
FoFum8 Val580,entity
predominant C-series fumonisin output,entity
FvFum8 Ala580,entity
predominant B-series fumonisin output,entity
FoFUM8,entity
glycine for FC backbone formation,entity
FvFUM8,entity
alanine for FB backbone formation,entity
FUM15,entity
hydroxy-FC1 hydroxylation,entity
CPM1,entity
FUM19 at O-1890 cluster edge,entity
O-1890,entity
Dianthus caryophyllus in Korea,entity
BGC0000064,entity
"AY604568.1:1–11,857",entity
F. verticillioides transcriptional FUS locus,entity
FUS1–FUS9 / FVEG_11086–FVEG_11078,entity
Fus1,entity
prefusarin scaffold,entity
Fus8,entity
prefusarin C20 and later C20 aldehyde to carboxylate,entity
Fus2,entity
2-pyrrolidone ring closure + C15 oxidation + C13–C14 epoxidation,entity
Fus9,entity
carboxy-fusarin C to fusarin C,entity
Fus3–Fus7,entity
canonical fusarin C formation in F. fujikuroi,entity
FUS transcription and fusarin production,entity
Ustilago maydis coculture,entity
F. verticillioides FUS1–FUS9 transcription at day 2,entity
FvStuA,entity
FUS cluster transcription,entity
BGC0000070,entity
"GU574478.1:1–55,000",entity
GsfA,entity
heptaketide benzophenone precursor,entity
GsfB,entity
3-OH of benzophenone pathway intermediate,entity
GsfC,entity
9-OH of benzophenone pathway intermediate,entity
GsfI,entity
griseophenone C → griseophenone B,entity
GsfF,entity
grisan oxa-spiro scaffold by oxidative phenolic coupling,entity
GsfD,entity
5-OH of late grisan intermediate,entity
GsfE,entity
dehydrogriseofulvin → griseofulvin stereospecifically,entity
GsfK,entity
canonical griseofulvin production under tested conditions,entity
GsfH,entity
BGC0000076,entity
EU520417.1 / DSM11931,entity
BGC0000077,entity
Hpm8,entity
Hpm3,entity
Hpm3 + Hpm8,entity
DHZ 14-membered resorcylic acid lactone scaffold,entity
Hpm5,entity
4-OH of hypothemycin/RAL substrates,entity
Hpm7,entity
"1′,2′ double bond",entity
Hpm1,entity
DHZ-derived RAL side chain,entity
Hpm2,entity
"7′,8′ olefin",entity
Hpm6,entity
cis hypothemycin,entity
Hpm9,entity
late side-chain alcohol to ketone/enone state,entity
EU520418.1 / DSM11932,entity
BGC0000088,entity
"AH007774.2:1–55,428",entity
LovB,entity
BGC0000088/AH007774.2 on AF151722,entity
LovC,entity
specific LovB-bound enoyl intermediates,entity
LovB + LovC,entity
dihydromonacolin L scaffold,entity
LovG,entity
dihydromonacolin L from LovB,entity
LovA,entity
DML acid → monacolin L acid → monacolin J acid,entity
LovF,entity
2-methylbutyryl side-chain donor,entity
LovD,entity
LovF-bound 2-methylbutyryl group to monacolin J,entity
carbon assimilation limitation,entity
onset of native lovastatin production,entity
ROS accumulation,entity
lovE/lovF expression and lovastatin production,entity
cluster HMG-CoA reductase homolog,entity
producer resistance/self-protection,entity
BGC0000089,entity
BGC0000088 lovastatin programme,entity
AF141925.1,entity
AH007774,entity
AF141924.1 + AF141925.1,entity
17-gene lovastatin cluster,entity
M4-FUNG-0028,entity
M4-FUNG-0027 / BGC0000088,entity
BGC0000098,entity
"DQ176595.1:1–45,000",entity
MokA,entity
monacolin K core-scaffold biosynthesis,entity
MokE,entity
MokA iterative-PKS execution,entity
MokB,entity
diketide side chain downstream of monacolin J,entity
MokF,entity
MokB-derived side chain to monacolin J,entity
MokH,entity
mok cluster transcription and MK output,entity
MokI overexpression,entity
MK output/recovery,entity
10 mM glutamate,entity
MK production and mokB–mokI expression,entity
temperature shift 30→25°C,entity
MK despite lower biomass,entity
MpClr4 inactivation,entity
MK production,entity
MpDot1 inactivation,entity
monacolin K,entity
lovastatin,entity
BGC0000099,entity
"HM070047.1:1–8,104",entity
functional monascorubrin programme,entity
pks3 + rp1 + rp2 + rp3 + rp4,entity
RP1,entity
PKS3-dependent pathway,entity
PKS3,entity
compound-1/polyketide chromophore branch,entity
RP2 + RP3 + RP4,entity
3-oxo-decanoic-acid/fatty-acid branch,entity
pks3 + rp1,entity
citrinin branch,entity
rp2/rp3/rp4,entity
citrinin formation under tested conditions,entity
pks3 + rp1–rp4,entity
monascorubrin and ankaflavin,entity
free amino acids,entity
monascorubrin/rubropunctatin after scaffold formation,entity
25°C mold state,entity
diffusible red-pigment programme,entity
ten tested neighboring ORFs outside rp1–rp4,entity
visible red-pigment phenotype,entity
BGC0000101,entity
"BN001308.1:4,367,684–4,413,245 displayed region",entity
mdp secondary-metabolite locus,entity
MdpG,entity
atrochrysone thioester,entity
MdpF,entity
atrochrysone carboxylic acid from MdpG,entity
MdpH1/MdpH2,entity
flux toward emodin rather than endocrocin,entity
MdpE + MdpA,entity
mdp cluster transcription,entity
MdpD,entity
xanthone branch but not monodictyphenone,entity
XptA + XptB,entity
xanthone-pathway intermediates,entity
XptC,entity
late prenylated precursors to shamixanthone/epishamixanthone,entity
AN7999,entity
obvious prenyl-xanthone production under tested conditions,entity
prenylated xanthones,entity
Hülle cells during sexual development,entity
Hülle-cell xanthones,entity
sexual structures from arthropod fungivory,entity
BGC0000104,entity
"HQ731031.1:1–33,515 displayed region",entity
MpaC,entity
5-methylorsellinic acid,entity
MpaDE,entity
5-MOA → DHMB → DHMP,entity
MpaA,entity
DHMP → FDHMP,entity
MpaB,entity
FDHMP side chain → FDHMP-3C,entity
MpaG,entity
"DMMPA, FDHMP and FDHMP-3C",entity
peroxisomal β-oxidation,entity
methylated prenyl side chain toward MPA-CoA,entity
MpaH,entity
MPA-CoA → MPA,entity
MpaF / IMPDH-B,entity
self-resistance to MPA,entity
mpaD + mpaE database CDSs,entity
single mpaDE fusion gene,entity
Golgi membrane,entity
MpaDE + MpaB,entity
endoplasmic reticulum,entity
peroxisome,entity
BGC0000107,entity
"BN001302.1:1,116,199–1,162,873 displayed region",entity
WA,entity
YWA1,entity
wA loss,entity
white conidia,entity
YA,entity
yellow YWA1-derived pigment toward green conidial pigment,entity
AbaA,entity
yA transcription,entity
FwA,entity
YWA1 independently of YA,entity
ChaA,entity
FwA-derived pigment branch,entity
wA,entity
"yA, fwA and chaA",entity
fwA,entity
chaA,entity
conidial development,entity
YA/laccase accumulation,entity
mature green pigment,entity
conidia against UV damage,entity
PatK,entity
6-methylsalicylic acid,entity
PatG,entity
6-MSA → m-cresol,entity
PatH,entity
m-cresol → m-hydroxybenzyl alcohol,entity
PatI,entity
m-hydroxybenzyl alcohol → gentisyl alcohol,entity
PatN,entity
isoepoxydon → phyllostine,entity
PatF,entity
phyllostine → neopatulin,entity
PatD,entity
neopatulin → E-ascladiol,entity
PatE,entity
E-ascladiol → patulin,entity
PatL,entity
patulin cluster transcription,entity
patulin,entity
cultivar-dependent apple aggressiveness,entity
BGC0000121,entity
"KC145148.1:1–40,346 displayed region",entity
PtaA,entity
emodin-family polyketide scaffold,entity
PtaB/PtaC/PtaD/PtaF,entity
early emodin-family scaffold maturation,entity
PtaH/PtaI,entity
aromatic pathway intermediates,entity
PtaJ,entity
methylated anthraquinone toward benzophenone state,entity
PtaM,entity
isosulochrin-like or RES-1214-1 substrate,entity
PtaE,entity
benzophenone precursor into diphenyl ether,entity
RES-1214-1,entity
pestheic acid / RES-1214-2,entity
pestheic acid,entity
RES-1214-2 / dihydromaldoxin,entity
pta cluster expression,entity
pestheic-acid production in rice fermentation,entity
W106-1,entity
Camellia sinensis,entity
Pyr2,entity
HPPO,entity
Pyr6,entity
Pyr5,entity
farnesyl-HPPO,entity
Pyr4,entity
epoxyfarnesyl intermediate,entity
GpaB,entity
pyr cluster in dual biofilm,entity
pyripyropene,entity
A. fumigatus mixed-biofilm fitness,entity
Rdc5,entity
reduced pentaketide starter,entity
Rdc5 product,entity
Rdc1 SAT/NRPKS system,entity
Rdc1,entity
(R)-monocillin II,entity
Rdc2,entity
monocillin/RAL substrates,entity
NaBr,entity
rdc2 transcription,entity
radicicol → chlorine-free monocillin profile,entity
Rdc4,entity
epoxidative late tailoring,entity
Rdc3,entity
MFS transporter,entity
BGC0000146,entity
"AB514562.1:1–21,000",entity
Sol1,entity
desmethylprosolanapyrone I,entity
Sol2,entity
desmethylprosolanapyrone I → prosolanapyrone I,entity
Sol6,entity
prosolanapyrone I → prosolanapyrone II,entity
Sol5,entity
prosolanapyrone II → prosolanapyrone III → solanapyrones A/D,entity
Sol3,entity
solanapyrone A/D → solanapyrone B/E,entity
Sol4,entity
sol1/2/3/5/6 transcription,entity
sol5 deletion,entity
loss of solanapyrones + prosolanapyrone-II-diol accumulation,entity
A. solani pathogenicity on tested potato/tomato hosts,entity
A. oryzae host enzymes,entity
prosolanapyrone-I terminal olefin when Sol6 is absent/delayed,entity
host ethanolamine,entity
solanapyrone A → solanapyrone C,entity
corrected Sol6 expression,entity
heterologous-host side-product formation,entity
Δsol5 feedback state,entity
other sol biosynthetic genes,entity
StcJ + StcK,entity
dedicated hexanoyl starter for StcA,entity
StcA,entity
early sterigmatocystin polyketide/norsolorinic-acid pathway,entity
StcB + StcW,entity
averufin,entity
StcS + StcU,entity
versicolorin A → sterigmatocystin segment,entity
StcP,entity
demethylsterigmatocystin → sterigmatocystin,entity
AflR,entity
TCG(N5)CGA motifs in stc promoters,entity
aflR expression and ST production,entity
LaeA,entity
ST cluster transcription,entity
glucose concentration,entity
effect of light on ST production,entity
current MIBiG gene list,entity
historical 25-transcript cluster definition,entity
BGC0000154,entity
"EQ962655.1:1,793,486–1,841,545 displayed region",entity
TropA,entity
3-methylorcinaldehyde,entity
TropB,entity
3-methylorcinaldehyde → hydroxycyclohexadienone,entity
TropC,entity
six-membered dienone → seven-membered tropolone/stipitaldehyde,entity
TropD,entity
stipitaldehyde methyl group → stipitacetal-forming state,entity
TropE,entity
stipitacetal → stipitalide,entity
TropF,entity
stipitalide/lactone toward open-chain intermediate,entity
TropG,entity
late open-chain oxidation sequence,entity
TropH,entity
late aldehyde → dicarboxylate,entity
TropI,entity
dicarboxylate ↔ maleic-anhydride/stipitatonic state,entity
TropJ,entity
late intermediate → stipitatic acid,entity
genomic tropA intron construct,entity
A. oryzae heterologous expression,entity
intronless tropA construct,entity
3-methylorcinaldehyde in A. oryzae,entity
current MIBiG BGC0000154 displayed boundary,entity
Tox1A,entity
Race-T chr12;6 / scaffold_4,entity
Tox1B,entity
Race-T chr6;12 / scaffold_8,entity
PKS1,entity
T-toxin + high virulence,entity
PKS2,entity
46357,entity
high-level active T-toxin,entity
ChLae1 + ChVel1,entity
Tox1 transcription in dark,entity
darkness,entity
T-toxin production,entity
T-toxin,entity
T-cms/URF13 susceptibility system,entity
BGC0000156,entity
"JN257714.1:1–13,275",entity
AdaR,entity
adaA/adaB/adaC/adaD programme,entity
AdaA,entity
ACP-bound decaketide scaffold,entity
AdaC,entity
C2/α-carbon of ACP-bound decaketide,entity
AdaC hydroxylation,entity
AdaB off-loading from hydrolysis toward Claisen-like fourth-ring closure,entity
AdaB,entity
C18–C1 fourth-ring closure,entity
AdaD,entity
C9 hydroxyl → TAN-1612,entity
AdaE,entity
AdaA-containing core locus,entity
AdaE coexpression,entity
heterologous host tolerance and extracellular TAN-1612 recovery,entity
BMS-192548,entity
TAN-1612 during purification,entity
AdaA+AdaC without AdaB,entity
trace tetracyclic product,entity
AdaA+AdaB without AdaC,entity
unhydroxylated tricyclic hydrolysis product,entity
AtX,entity
6-MSA,entity
AtA,entity
6-MSA → 3-methylcatechol,entity
AtE,entity
3-methylcatechol → benzenetriol,entity
AtG,entity
AtE-dependent hydroxylation,entity
AtD,entity
benzenetriol → terremutin,entity
AtC,entity
terremutin → terreic acid,entity
AtF,entity
terreic-acid programme,entity
ATEG_06279,entity
primary eight-gene at definition,entity
BGC0000161,entity
"CH476594.1:399,827–452,585",entity
TerR,entity
terA–J transcription,entity
AreA + AtfA,entity
terR during nitrogen limitation/methionine signaling,entity
HapX,entity
terR under iron limitation,entity
TerA + TerB,entity
6-hydroxymellein,entity
TerC,entity
TerD,entity
TerC-derived intermediate,entity
TerG/TerJ,entity
terrein export/self-protection,entity
terH/terI deletion,entity
terrein production,entity
plant-derived media,entity
terR/ter pathway,entity
terrein,entity
Fe3+ → Fe2+,entity
terrein oxidation,entity
propylene maleic acid,entity
iron acquisition in siderophore-deficient A. terreus,entity
current MIBiG product label,entity
experimental terrein identity,entity
VrtA,entity
viridicatumtoxin core formation,entity
VrtC,entity
naphthacenedione core,entity
VrtD,entity
GPP for prenylation,entity
VrtK,entity
geranyl side chain to spirobicycle,entity
YanA,entity
YanB,entity
YanI,entity
yanuthone precursor,entity
YanF,entity
yanuthone E → yanuthone D,entity
AtaP,entity
diketopiperazine scaffold,entity
nine-gene ata set,entity
acetylaranotin biosynthesis,entity
current MIBiG display,entity
deletion-defined functional set,entity
AnaPS,entity
(R)-benzodiazepinedione,entity
AnaPT,entity
benzodiazepinedione → aszonalenin,entity
AnaAT,entity
aszonalenin → acetylaszonalenin,entity
APS1,entity
apicidin cyclic tetrapeptide,entity
APS3,entity
L-pipecolic acid,entity
APS2,entity
APS cluster transcription,entity
extra-cluster FAS beta subunit,entity
Aoda precursor biosynthesis,entity
aba1,entity
Aureobasidin A biosynthesis complex,entity
Aba1,entity
aureobasidin A,entity
precursor pool,entity
aureobasidin congener output,entity
BbBSLS,entity
bassianolide,entity
bbBsls deletion,entity
beauvericin biosynthesis,entity
B. bassiana insect virulence,entity
KIVR,entity
D-Hiv,entity
BbBEAS,entity
beauvericin,entity
insect virulence,entity
PcbAB,entity
ACV,entity
PcbC,entity
ACV → IPN,entity
CefP,entity
IPN into peroxisome,entity
CefD1/CefD2,entity
IPN → PenN,entity
CefM,entity
PenN to cytosol,entity
PenN,entity
late BGC0000318 pathway,entity
M4-FUNG-0053 early programme,entity
penicillin N,entity
CefEF,entity
PenN → DAOC → DAC,entity
CefG,entity
DAC → cephalosporin C,entity
cefEF/cefG dosage,entity
CPC production,entity
ctg1_orf10,entity
chaetocin ETP scaffold,entity
chaetocin locus,entity
fungal ETP biosynthetic systems,entity
SimA,entity
cyclosporin peptide core,entity
SimG/SimI/SimJ,entity
Bmt precursor,entity
SimL,entity
sim cluster and cyclosporin production,entity
cyclosporin production,entity
fungal competition and insect-associated fitness,entity
DtxS1,entity
destruxin depsipeptide scaffold,entity
DtxS3,entity
hydroxyisocaproate precursor,entity
DtxS4,entity
beta-alanine precursor,entity
DtxS2,entity
upstream destruxins to downstream congeners,entity
Hty module within continuous Ecd/Hty cluster,entity
L-homotyrosine to echinocandin-B assembly,entity
EcdI,entity
linoleate onto EcdA,entity
EcdA,entity
echinocandin B hexapeptide scaffold,entity
Esyn1,entity
2R-hydroxyisovalerate and valine into enniatin,entity
living grass host state,entity
high EAS transcription,entity
LpsB,entity
lysergic-acid-derived intermediates toward ergovaline,entity
EAS locus,entity
retrotransposon and DNA-transposon relics,entity
BrlA-controlled conidiation,entity
fumiquinazoline pathway expression,entity
FmqD secretion to cell wall,entity
conidia-enriched FQC accumulation,entity
FQC,entity
FQD,entity
HcpA adenylation domains,entity
Phe/Tyr/Trp and Val/Ile alternative substrates,entity
HcpA deletion,entity
loss of tetrapeptide family and smoother colony surface,entity
GliZ,entity
gli cluster transcription and gliotoxin output,entity
GliP,entity
gliotoxin diketopiperazine scaffold,entity
GliT,entity
dithiol gliotoxin to epidisulfide gliotoxin,entity
GliA,entity
gliotoxin,entity
HTS1,entity
HC-toxin cyclic tetrapeptide core,entity
TOXC and TOXF,entity
Aeo precursor branch required for HC-toxin,entity
TOXE,entity
multiple TOX2 genes but not HTS1,entity
HC-toxin,entity
maize histone deacetylases,entity
TOX2 chromosome integrity,entity
toxin output and virulence,entity
HasD,entity
Trp/Ala-derived HAS scaffold,entity
HasA,entity
hasB–hasH,entity
HAS overproduction,entity
fungal iron homeostasis,entity
virulence in tested mouse model,entity
BGC0000404,entity
BGC0000405 three-gene penicillin pathway,entity
industrial strain improvement,entity
penicillin-region copy number,entity
peroxisomal competence,entity
final penicillin acylation/output,entity
ACV → isopenicillin N,entity
PenDE,entity
isopenicillin N → penicillin G/V,entity
BGC0000405,entity
BGC0000404 industrial amplification unit,entity
RoqA,entity
HTD,entity
RoqD and RoqR,entity
roquefortine C,entity
RoqM→RoqO→RoqN,entity
roquefortine C → glandicoline A → glandicoline B → meleagrine,entity
phenylacetic acid,entity
roq transcription and metabolite production,entity
TdiD,entity
L-tryptophan → indolepyruvate,entity
TdiA,entity
two indolepyruvate-derived units,entity
TdiB,entity
terrequinone scaffold,entity
TdiE,entity
off-pathway monoprenylated product,entity
VlmA/VlmB,entity
5-hydroxytetradecanoate precursor,entity
VlmS,entity
verlamelin cyclic lipopeptide,entity
primary fatty-acid metabolism,entity
verlamelin BGC,entity
UstR,entity
ust cluster transcription,entity
UstA,entity
16 YAIG precursor motifs,entity
KexB,entity
mature ustiloxin B production outside the BGC,entity
UstY/UstQ-family enzymes,entity
oxidative macrocycle maturation,entity
ATM1,entity
early paspaline core,entity
ATM2,entity
late oxidation/prenylation toward aflatrem,entity
ATM1 expression and aflatrem production,entity
ATM1 + ATM2,entity
aflatrem,entity
BcBOT2,entity
FPP to presilphiperfolan-8β-ol,entity
BcBOT4,entity
presilphiperfolan-8β-ol at C-4,entity
BcBOT3,entity
probotryane intermediate at C-10,entity
BcBot6,entity
botrydial biosynthetic programme,entity
BcBOT perturbation,entity
botcinic-acid/polyketide output in a strain-dependent manner,entity
Ari1/Prx2,entity
FPP to aristolochene,entity
ORF6/Prx9,entity
eremofortin B formation,entity
ORF8/Prx11,entity
late eremophilane intermediate toward eremofortin A,entity
prx pathway suppression,entity
mycophenolic-acid production,entity
static culture,entity
P. chrysogenum homologous PR-toxin cluster,entity
PbcR,entity
AN1592–AN1598 diterpene programme,entity
PbcB/AN1592,entity
GGPP precursor,entity
PbcA/AN1594,entity
isopimarane diterpene scaffold,entity
modern Pbc pathway,entity
dipleosmarane + six known isopimarane diterpenoids,entity
PbGGS,entity
GGPP precursor for PbACS,entity
PbACS,entity
aphidicolan-16β-ol scaffold,entity
PbP450-1 + PbP450-2,entity
