id,kind,label,organism
NCBITAXON:655844,ORGANISM,Metarhizium robertsii ARSEF 23,
M4-FUNG-0058,BGC,BGC0000338,Aspergillus pachycristatus NRRL 11440
ORG_d1a8dbb0ed6b,ORGANISM,Aspergillus pachycristatus NRRL 11440,
M4-FUNG-0059,BGC,BGC0000342,Fusarium equiseti
NCBITAXON:61235,ORGANISM,Fusarium equiseti,
M4-FUNG-0060,BGC,BGC0000348,Epichloe festucae var. lolii
NCBITAXON:73839,ORGANISM,Epichloe festucae var. lolii,
M4-FUNG-0061,BGC,BGC0000355,Aspergillus fumigatus Af293
M4-FUNG-0062,BGC,BGC0000357,Penicillium rubens Wisconsin 54-1255
NCBITAXON:500485,ORGANISM,Penicillium rubens Wisconsin 54-1255,
M4-FUNG-0063,BGC,BGC0000361,Aspergillus fumigatus Af293
M4-FUNG-0064,BGC,BGC0000370,Bipolaris zeicola
NCBITAXON:5017,ORGANISM,Bipolaris zeicola,
M4-FUNG-0065,BGC,BGC0000372,Aspergillus fumigatus Af293
M4-FUNG-0066,BGC,BGC0000404,Penicillium chrysogenum
NCBITAXON:5076,ORGANISM,Penicillium chrysogenum,
M4-FUNG-0067,BGC,BGC0000405,Penicillium chrysogenum
M4-FUNG-0068,BGC,BGC0000420,Penicillium rubens Wisconsin 54-1255
M4-FUNG-0069,BGC,BGC0000442,Aspergillus nidulans FGSC A4
M4-FUNG-0070,BGC,BGC0000456,Lecanicillium sp. HF627
NCBITAXON:1756136,ORGANISM,Lecanicillium sp. HF627,
M4-FUNG-0071,BGC,BGC0000627,Aspergillus flavus NRRL3357
NCBITAXON:332952,ORGANISM,Aspergillus flavus NRRL3357,
M4-FUNG-0072,BGC,BGC0000629,Aspergillus flavus
M4-FUNG-0073,BGC,BGC0000631,Botrytis cinerea B05.10
NCBITAXON:332648,ORGANISM,Botrytis cinerea B05.10,
M4-FUNG-0074,BGC,BGC0000667,Penicillium roqueforti FM164
NCBITAXON:1365484,ORGANISM,Penicillium roqueforti FM164,
M4-FUNG-0075,BGC,BGC0000673,Aspergillus nidulans FGSC A4
M4-FUNG-0076,BGC,BGC0000676,Neocamarosporium betae (historically Phoma betae)
NCBITAXON:1979465,ORGANISM,Neocamarosporium betae (historically Phoma betae),
M4-FUNG-0077,BGC,BGC0000680,Aspergillus nidulans FGSC A4
M4-FUNG-0078,BGC,BGC0000682,Aspergillus terreus NIH2624
M4-FUNG-0079,BGC,BGC0000684,Aspergillus nidulans FGSC A4
M4-FUNG-0080,BGC,BGC0000685,Alternaria brassicicola ATCC 96836
M4-FUNG-0081,BGC,BGC0000686,Aspergillus fumigatus Af293
M4-FUNG-0082,BGC,BGC0000687,Diaporthe amygdali (historical paper: Phomopsis amygdali)
NCBITAXON:1214568,ORGANISM,Diaporthe amygdali (historical paper: Phomopsis amygdali),
M4-FUNG-0083,BGC,BGC0000688,Diaporthe amygdali (historical paper: Phomopsis amygdali)
M4-FUNG-0084,BGC,BGC0000811,Aspergillus fumigatus Af293
M4-FUNG-0085,BGC,BGC0000812,Shiraia sp. Slf14
NCBITAXON:665115,ORGANISM,Shiraia sp. Slf14,
M4-FUNG-0086,BGC,BGC0000815,Epichloë uncinata (historical literature: Neotyphodium uncinatum)
NCBITAXON:5050,ORGANISM,Epichloë uncinata (historical literature: Neotyphodium uncinatum),
M4-FUNG-0087,BGC,BGC0000816,Malbranchea aurantiaca
NCBITAXON:78605,ORGANISM,Malbranchea aurantiaca,
M4-FUNG-0088,BGC,BGC0000818,Aspergillus versicolor
NCBITAXON:46472,ORGANISM,Aspergillus versicolor,
M4-FUNG-0089,BGC,BGC0000819,Penicillium fellutanum
NCBITAXON:70095,ORGANISM,Penicillium fellutanum,
M4-FUNG-0090,BGC,BGC0000894,Monascus aurantiacus
NCBITAXON:225353,ORGANISM,Monascus aurantiacus,
M4-FUNG-0091,BGC,BGC0000900,Aspergillus oryzae
M4-FUNG-0092,BGC,BGC0000901,Aspergillus niger
NCBITAXON:5061,ORGANISM,Aspergillus niger,
M4-FUNG-0093,BGC,BGC0000930,Fusarium graminearum (historical literature: Gibberella zeae)
NCBITAXON:5518,ORGANISM,Fusarium graminearum (historical literature: Gibberella zeae),
M4-FUNG-0094,BGC,BGC0000931,Fusarium graminearum
M4-FUNG-0095,BGC,BGC0000959,Aspergillus nidulans FGSC A4
M4-FUNG-0096,BGC,BGC0000968,Penicillium expansum
M4-FUNG-0097,BGC,BGC0000977,Aspergillus oryzae
M4-FUNG-0098,BGC,BGC0000983,Aspergillus clavatus NRRL 1
ORG_b0ca58a6a560,ORGANISM,Aspergillus clavatus NRRL 1,
M4-FUNG-0099,BGC,BGC0000992,Fusarium heterosporum
ORG_0dc23fd5d2f9,ORGANISM,Fusarium heterosporum,
M4-FUNG-0100,BGC,BGC0001026,Metarhizium robertsii; source atlas historical label M. anisopliae
ORG_dda3b060c9c2,ORGANISM,Metarhizium robertsii; source atlas historical label M. anisopliae,
M4-FUNG-0101,BGC,BGC0001030,Penicillium nordicum
ORG_00aa7bf8b645,ORGANISM,Penicillium nordicum,
