id,kind,label,organism
M4-FUNG-0005:G008,GENE,aflR,
M4-FUNG-0005:G009,GENE,aflS (historical aflJ),
M4-FUNG-0005:G010,GENE,aflH / adhA,
M4-FUNG-0005:G011,GENE,aflJ / estA,
M4-FUNG-0005:G012,GENE,aflE / norA,
M4-FUNG-0005:G013,GENE,aflM / ver-1,
M4-FUNG-0005:G014,GENE,aflN / verA,
M4-FUNG-0005:G015,GENE,aflG / avnA,
M4-FUNG-0005:G016,GENE,aflL / verB,
M4-FUNG-0005:G017,GENE,aflI / avfA,
M4-FUNG-0005:G018,GENE,aflO / omtB,
M4-FUNG-0005:G019,GENE,aflP / omtA,
M4-FUNG-0005:G020,GENE,aflQ / ordA,
M4-FUNG-0005:G021,GENE,aflK / vbs,
M4-FUNG-0005:G022,GENE,aflV / cypX,
M4-FUNG-0005:G023,GENE,aflW / moxY,
M4-FUNG-0005:G024,GENE,aflX / ordB,
M4-FUNG-0005:G025,GENE,aflY / hypA,
M4-FUNG-0006:G001,GENE,aflT,
M4-FUNG-0006:G002,GENE,aflC / pksA,
M4-FUNG-0006:G003,GENE,aflD / nor-1,
M4-FUNG-0006:G004,GENE,aflA / hexA,
M4-FUNG-0006:G005,GENE,aflB / hexB,
M4-FUNG-0006:G006,GENE,aflR,
M4-FUNG-0006:G007,GENE,aflS (historical aflJ),
M4-FUNG-0006:G008,GENE,aflH / adhA,
M4-FUNG-0006:G009,GENE,aflJ / estA,
M4-FUNG-0006:G010,GENE,aflE / norA,
M4-FUNG-0006:G011,GENE,aflM / ver-1,
M4-FUNG-0006:G012,GENE,aflN / verA,
M4-FUNG-0006:G013,GENE,aflG / avnA,
M4-FUNG-0006:G014,GENE,aflL / verB,
M4-FUNG-0006:G015,GENE,aflI / avfA,
M4-FUNG-0006:G016,GENE,aflO / omtB,
M4-FUNG-0006:G017,GENE,aflP / omtA,
M4-FUNG-0006:G018,GENE,aflQ / ordA,
M4-FUNG-0006:G019,GENE,aflK / vbs,
M4-FUNG-0006:G020,GENE,aflV / cypX,
M4-FUNG-0006:G021,GENE,aflW / moxY,
M4-FUNG-0006:G022,GENE,aflX / ordB,
M4-FUNG-0006:G023,GENE,aflY / hypA,
M4-FUNG-0007:G001,GENE,aflF / norB,
M4-FUNG-0007:G002,GENE,aflU / cypA,
M4-FUNG-0007:G003,GENE,aflT,
M4-FUNG-0007:G004,GENE,aflC / pksA,
M4-FUNG-0007:G005,GENE,aflD / nor-1,
M4-FUNG-0007:G006,GENE,aflA / hexA,
M4-FUNG-0007:G007,GENE,aflB / hexB,
M4-FUNG-0007:G008,GENE,aflR,
M4-FUNG-0007:G009,GENE,aflS (historical aflJ),
M4-FUNG-0007:G010,GENE,aflH / adhA,
M4-FUNG-0007:G011,GENE,aflJ / estA,
M4-FUNG-0007:G012,GENE,aflE / norA,
M4-FUNG-0007:G013,GENE,aflM / ver-1,
M4-FUNG-0007:G014,GENE,aflN / verA,
M4-FUNG-0007:G015,GENE,aflG / avnA,
M4-FUNG-0007:G016,GENE,aflL / verB,
M4-FUNG-0007:G017,GENE,aflI / avfA,
M4-FUNG-0007:G018,GENE,aflO / omtB,
M4-FUNG-0007:G019,GENE,aflP / omtA,
M4-FUNG-0007:G020,GENE,aflQ / ordA,
M4-FUNG-0007:G021,GENE,aflK / vbs,
M4-FUNG-0007:G022,GENE,aflV / cypX,
M4-FUNG-0007:G023,GENE,aflW / moxY,
M4-FUNG-0007:G024,GENE,aflX / ordB,
M4-FUNG-0007:G025,GENE,aflY / hypA,
M4-FUNG-0008:G001,GENE,aflT,
M4-FUNG-0008:G002,GENE,aflC / pksA pseudogene,
M4-FUNG-0008:G003,GENE,aflD / nor-1,
M4-FUNG-0008:G004,GENE,aflA / hexA,
M4-FUNG-0008:G005,GENE,aflB / hexB,
M4-FUNG-0008:G006,GENE,aflR,
M4-FUNG-0008:G007,GENE,aflS (historical aflJ),
M4-FUNG-0008:G008,GENE,aflH / adhA,
M4-FUNG-0008:G009,GENE,aflJ / estA,
M4-FUNG-0008:G010,GENE,aflE / norA,
M4-FUNG-0008:G011,GENE,aflM / ver-1,
M4-FUNG-0008:G012,GENE,aflN / verA,
M4-FUNG-0008:G013,GENE,aflG / avnA,
M4-FUNG-0008:G014,GENE,aflL / verB,
M4-FUNG-0008:G015,GENE,aflI / avfA,
M4-FUNG-0008:G016,GENE,aflO / omtB,
M4-FUNG-0008:G017,GENE,aflP / omtA,
M4-FUNG-0008:G018,GENE,aflQ / ordA,
M4-FUNG-0008:G019,GENE,aflK / vbs,
M4-FUNG-0008:G020,GENE,aflV / cypX,
M4-FUNG-0008:G021,GENE,aflW / moxY,
M4-FUNG-0008:G022,GENE,aflX / ordB,
M4-FUNG-0008:G023,GENE,aflY / hypA,
M4-FUNG-0009:G001,GENE,aflW,
M4-FUNG-0009:G002,GENE,aflE,
M4-FUNG-0009:G003,GENE,aflM,
M4-FUNG-0009:G004,GENE,stcT,
M4-FUNG-0009:G005,GENE,hypE,
M4-FUNG-0009:G006,GENE,aflN,
M4-FUNG-0009:G007,GENE,aflC / pksA,
M4-FUNG-0009:G008,GENE,aflV / cypX,
M4-FUNG-0009:G009,GENE,stcC,
M4-FUNG-0009:G010,GENE,stcD,
M4-FUNG-0009:G011,GENE,aflD / nor-1,
M4-FUNG-0009:G012,GENE,aflR,
M4-FUNG-0009:G013,GENE,aflS,
M4-FUNG-0009:G014,GENE,aflG / avnA,
M4-FUNG-0009:G015,GENE,aflH / adhA,
M4-FUNG-0009:G016,GENE,stcH,
M4-FUNG-0009:G017,GENE,aflJ / estA,
M4-FUNG-0009:G018,GENE,aflA / fas-2,
M4-FUNG-0009:G019,GENE,aflB / fas-1,
M4-FUNG-0009:G020,GENE,aflL / verB,
M4-FUNG-0009:G021,GENE,hypB2,
M4-FUNG-0009:G022,GENE,aflK / vbs,
M4-FUNG-0009:G023,GENE,aflI / avfA,
M4-FUNG-0009:G024,GENE,aflO / omtB,
M4-FUNG-0009:G025,GENE,aflX / ordB,
M4-FUNG-0009:G026,GENE,aflY / hypA,
M4-FUNG-0009:G027,GENE,aflQ / ordA (extra-cluster),
M4-FUNG-0010:G001,GENE,alt1,
M4-FUNG-0010:G002,GENE,alt2,
M4-FUNG-0010:G003,GENE,alt3,
M4-FUNG-0010:G004,GENE,alt4,
M4-FUNG-0010:G005,GENE,alt5 / pksN / PKSN,
M4-FUNG-0011:G001,GENE,pkgA / ANIA_07071,
M4-FUNG-0011:G002,GENE,pkgB / ANIA_07070,
M4-FUNG-0012:G001,GENE,AN1027,
M4-FUNG-0012:G002,GENE,AN1028,
M4-FUNG-0012:G003,GENE,afoA / AN1029,
M4-FUNG-0012:G004,GENE,AN1030,
M4-FUNG-0012:G005,GENE,afoB / AN1031,
M4-FUNG-0012:G006,GENE,afoC / AN1032,
M4-FUNG-0012:G007,GENE,afoD / AN1033,
M4-FUNG-0012:G008,GENE,afoE / AN1034,
M4-FUNG-0012:G009,GENE,afoF / AN1035,
M4-FUNG-0012:G010,GENE,afoG / AN1036,
M4-FUNG-0012:G011,GENE,AN1037,
M4-FUNG-0013:G001,GENE,2360,
M4-FUNG-0013:G002,GENE,2361,
M4-FUNG-0013:G003,GENE,MpPKS5 / 2362,
M4-FUNG-0013:G004,GENE,mppR1 / 2363R1,
M4-FUNG-0013:G005,GENE,2364A / putative mppA-family reductase,
M4-FUNG-0013:G006,GENE,2365B,
M4-FUNG-0013:G007,GENE,2366C / mppC-family reductase,
M4-FUNG-0013:G008,GENE,2367B,
M4-FUNG-0013:G009,GENE,2368E / mppE,
M4-FUNG-0013:G010,GENE,2369,
M4-FUNG-0013:G011,GENE,mppR2 / 2370R2,
M4-FUNG-0013:G012,GENE,MpFasA2 / 2371,
M4-FUNG-0013:G013,GENE,MpFasB2 / 2372,
M4-FUNG-0013:G014,GENE,2373,
M4-FUNG-0013:G015,GENE,2374,
M4-FUNG-0013:G016,GENE,2375,
M4-FUNG-0013:G017,GENE,2376,
M4-FUNG-0013:G018,GENE,2377,
M4-FUNG-0013:G019,GENE,2378,
M4-FUNG-0013:G020,GENE,2379,
M4-FUNG-0013:G021,GENE,2380 / candidate mppG-region oxidase-related gene,
M4-FUNG-0013:G022,GENE,2381F,
M4-FUNG-0013:G023,GENE,2382,
M4-FUNG-0013:G024,GENE,2383,
M4-FUNG-0014:G001,GENE,FFUJ_14916,
M4-FUNG-0014:G002,GENE,bik1 / pks4 / FFUJ_06742,
M4-FUNG-0014:G003,GENE,bik2 / FFUJ_06743,
M4-FUNG-0014:G004,GENE,bik3 / FFUJ_06744,
M4-FUNG-0014:G005,GENE,bik4 / FFUJ_06745,
M4-FUNG-0014:G006,GENE,bik5 / FFUJ_06746,
M4-FUNG-0014:G007,GENE,bik6 / FFUJ_06747,
M4-FUNG-0015:G001,GENE,cicH / AN6449 / current ANIA_06449,
M4-FUNG-0015:G002,GENE,cicF / pkbA / AN6448 / ANIA_06448,
M4-FUNG-0015:G003,GENE,cicE / AN6447 / ANIA_06447,
M4-FUNG-0015:G004,GENE,cicG / historical AN11922; current regional annotation ANIA_11509,
M4-FUNG-0015:G005,GENE,cicD / AN6446 / ANIA_06446,
M4-FUNG-0015:G006,GENE,cicC / AN6445 / ANIA_06445,
M4-FUNG-0015:G007,GENE,cicB / AN6444 / ANIA_06444,
M4-FUNG-0015:G008,GENE,cicA / AN6443 / ANIA_06443,
M4-FUNG-0016:G001,GENE,mlcH,
M4-FUNG-0016:G002,GENE,mlcG,
M4-FUNG-0016:G003,GENE,mlcF,
M4-FUNG-0016:G004,GENE,mlcA,
M4-FUNG-0016:G005,GENE,mlcC,
M4-FUNG-0016:G006,GENE,mlcB,
M4-FUNG-0016:G007,GENE,mlcD,
M4-FUNG-0016:G008,GENE,mlcE,
M4-FUNG-0016:G009,GENE,mlcR,
M4-FUNG-0017:G001,GENE,orf1,
M4-FUNG-0017:G002,GENE,curS2 / AtcurS2,
M4-FUNG-0017:G003,GENE,curR / AtcurR,
M4-FUNG-0017:G004,GENE,curE / AtcurE,
M4-FUNG-0017:G005,GENE,curS1 / AtcurS1,
M4-FUNG-0017:G006,GENE,orf2,
M4-FUNG-0017:G007,GENE,orf3,
M4-FUNG-0017:G008,GENE,orf4,
M4-FUNG-0018:G001,GENE,DEP1,
M4-FUNG-0018:G002,GENE,DEP2,
M4-FUNG-0018:G003,GENE,DEP3,
M4-FUNG-0018:G004,GENE,DEP4,
M4-FUNG-0018:G005,GENE,DEP5 / AbPKS9,
M4-FUNG-0018:G006,GENE,DEP6,
M4-FUNG-0019:G001,GENE,DS34,
M4-FUNG-0019:G002,GENE,DS33,
M4-FUNG-0019:G003,GENE,DS32,
M4-FUNG-0019:G004,GENE,DS31,
M4-FUNG-0019:G005,GENE,DS30,
M4-FUNG-0019:G006,GENE,DS29,
M4-FUNG-0019:G007,GENE,DS28,
M4-FUNG-0019:G008,GENE,DS27,
M4-FUNG-0019:G009,GENE,DS26,
M4-FUNG-0019:G010,GENE,DS25,
M4-FUNG-0019:G011,GENE,moxA / legacy pksA-region monooxygenase,
M4-FUNG-0019:G012,GENE,epoA,
M4-FUNG-0019:G013,GENE,avfA,
M4-FUNG-0019:G014,GENE,cypA / legacy pksA-region P450,
M4-FUNG-0019:G015,GENE,pksA,
M4-FUNG-0019:G016,GENE,DS19,
M4-FUNG-0019:G017,GENE,DS18,
M4-FUNG-0019:G018,GENE,DS17,
M4-FUNG-0019:G019,GENE,DS16,
M4-FUNG-0019:G020,GENE,DS15,
M4-FUNG-0019:G021,GENE,Ver1 / dotA,
M4-FUNG-0019:G022,GENE,DotC,
M4-FUNG-0019:G023,GENE,Est1,
M4-FUNG-0019:G024,GENE,DsAflR,
M4-FUNG-0019:G025,GENE,DsAflJ,
M4-FUNG-0019:G026,GENE,OrdB,
M4-FUNG-0019:G027,GENE,AvnA,
M4-FUNG-0019:G028,GENE,HexB,
M4-FUNG-0019:G029,GENE,HexA,
M4-FUNG-0019:G030,GENE,HypC,
M4-FUNG-0019:G031,GENE,VbsA,
M4-FUNG-0019:G032,GENE,Nor1,
M4-FUNG-0019:G033,GENE,AdhA,
M4-FUNG-0019:G034,GENE,VerB,
M4-FUNG-0019:G035,GENE,NorB,
M4-FUNG-0020:G001,GENE,AN7907.2,
M4-FUNG-0020:G002,GENE,AN7908.2,
M4-FUNG-0020:G003,GENE,orsA / AN7909 (older AN7909.4),
M4-FUNG-0020:G004,GENE,AN7910.2,
M4-FUNG-0020:G005,GENE,orsB / AN7911,
M4-FUNG-0020:G006,GENE,orsC / AN7912,
M4-FUNG-0020:G007,GENE,orsD / AN7913,
M4-FUNG-0020:G008,GENE,orsE / AN7914,
M4-FUNG-0020:G009,GENE,AN7915.2,
M4-FUNG-0020:G010,GENE,AN7916.2,
M4-FUNG-0020:G011,GENE,cclA (extra-cluster),
M4-FUNG-0020:G012,GENE,gcnE (extra-cluster),
M4-FUNG-0020:G013,GENE,adaB (extra-cluster),
M4-FUNG-0020:G014,GENE,veA (extra-cluster),
M4-FUNG-0020:G015,GENE,mvlA (extra-cluster),
M4-FUNG-0021:G001,GENE,FUM21,
M4-FUNG-0021:G002,GENE,FUM1 / historical FUM5,
M4-FUNG-0021:G003,GENE,FUM6,
M4-FUNG-0021:G004,GENE,FUM7,
M4-FUNG-0021:G005,GENE,FUM8,
M4-FUNG-0021:G006,GENE,FUM3 / historical genetic Fum3 locus; earlier cloned-gene literature used FUM9,
M4-FUNG-0021:G007,GENE,FUM10,
M4-FUNG-0021:G008,GENE,FUM11,
M4-FUNG-0021:G009,GENE,FUM2,
M4-FUNG-0021:G010,GENE,FUM13,
M4-FUNG-0021:G011,GENE,FUM14,
M4-FUNG-0021:G012,GENE,FUM15,
M4-FUNG-0021:G013,GENE,FUM16,
M4-FUNG-0021:G014,GENE,FUM17,
M4-FUNG-0021:G015,GENE,FUM18,
M4-FUNG-0021:G016,GENE,FUM19,
M4-FUNG-0022:G001,GENE,fum21,
M4-FUNG-0022:G002,GENE,fum1,
M4-FUNG-0022:G003,GENE,fum6,
M4-FUNG-0022:G004,GENE,fum7,
M4-FUNG-0022:G005,GENE,fum8,
M4-FUNG-0022:G006,GENE,fum3,
M4-FUNG-0022:G007,GENE,fum10,
M4-FUNG-0022:G008,GENE,fum11,
M4-FUNG-0022:G009,GENE,fum2,
M4-FUNG-0022:G010,GENE,fum13,
M4-FUNG-0022:G011,GENE,fum14,
M4-FUNG-0022:G012,GENE,fum15,
M4-FUNG-0022:G013,GENE,fum16,
M4-FUNG-0022:G014,GENE,fum17,
M4-FUNG-0022:G015,GENE,fum18,
M4-FUNG-0022:G016,GENE,fum19,
M4-FUNG-0022:G017,GENE,cpm1,
M4-FUNG-0023:G001,GENE,fusA / FUS1,
M4-FUNG-0023:G002,GENE,FUS1 / FVEG_11086,
M4-FUNG-0023:G003,GENE,FUS2 / FVEG_11085,
M4-FUNG-0023:G004,GENE,FUS3 / FVEG_11084,
M4-FUNG-0023:G005,GENE,FUS4 / FVEG_11083,
M4-FUNG-0023:G006,GENE,FUS5 / FVEG_11082,
M4-FUNG-0023:G007,GENE,FUS6 / FVEG_11081,
M4-FUNG-0023:G008,GENE,FUS7 / FVEG_11080,
M4-FUNG-0023:G009,GENE,FUS8 / FVEG_11079,
M4-FUNG-0023:G010,GENE,FUS9 / FVEG_11078,
M4-FUNG-0023:G011,GENE,FvSTUA (extra-cluster),
M4-FUNG-0024:G001,GENE,upstream ORF / ADI24961.1,
M4-FUNG-0024:G002,GENE,upstream ORF / ADI24962.1,
M4-FUNG-0024:G003,GENE,upstream ORF / ADI24963.1,
M4-FUNG-0024:G004,GENE,upstream ORF / ADI24964.1,
M4-FUNG-0024:G005,GENE,gsfR2,
M4-FUNG-0024:G006,GENE,gsfK,
M4-FUNG-0024:G007,GENE,gsfR1,
M4-FUNG-0024:G008,GENE,gsfJ,
M4-FUNG-0024:G009,GENE,gsfI,
M4-FUNG-0024:G010,GENE,gsfA,
M4-FUNG-0024:G011,GENE,gsfB,
M4-FUNG-0024:G012,GENE,gsfC,
M4-FUNG-0024:G013,GENE,gsfD,
M4-FUNG-0024:G014,GENE,gsfE,
M4-FUNG-0024:G015,GENE,gsfF,
M4-FUNG-0024:G016,GENE,gsfG,
M4-FUNG-0024:G017,GENE,gsfH,
M4-FUNG-0024:G018,GENE,downstream ORF / ADI24965.1,
M4-FUNG-0024:G019,GENE,downstream ORF / ADI24966.1,
M4-FUNG-0024:G020,GENE,downstream ORF / ADI24967.1,
M4-FUNG-0024:G021,GENE,downstream ORF / ADI24968.1,
M4-FUNG-0025:G001,GENE,hpm1,
M4-FUNG-0025:G002,GENE,hpm2,
M4-FUNG-0025:G003,GENE,hpm3,
M4-FUNG-0025:G004,GENE,hpm4,
M4-FUNG-0025:G005,GENE,hpm5,
M4-FUNG-0025:G006,GENE,hpm6,
M4-FUNG-0025:G007,GENE,hpm7,
M4-FUNG-0025:G008,GENE,hpm8,
M4-FUNG-0025:G009,GENE,hpm9,
M4-FUNG-0026:G001,GENE,Hpm1,
M4-FUNG-0026:G002,GENE,hpm2,
M4-FUNG-0026:G003,GENE,hpm3,
M4-FUNG-0026:G004,GENE,hpm4,
M4-FUNG-0026:G005,GENE,hpm5,
M4-FUNG-0026:G006,GENE,hpm6,
M4-FUNG-0026:G007,GENE,hpm7,
M4-FUNG-0026:G008,GENE,hpm8,
M4-FUNG-0026:G009,GENE,hpm9,
M4-FUNG-0026:G010,GENE,orf10,
M4-FUNG-0027:G001,GENE,AAD34550.1 / cluster esterase,
M4-FUNG-0027:G002,GENE,AAD34551.1,
M4-FUNG-0027:G003,GENE,lovA,
M4-FUNG-0027:G004,GENE,AAD34553.1,
M4-FUNG-0027:G005,GENE,lovC,
M4-FUNG-0027:G006,GENE,lovD,
M4-FUNG-0027:G007,GENE,lvrA-like HMG-CoA reductase,
M4-FUNG-0027:G008,GENE,lovE,
M4-FUNG-0027:G009,GENE,AAD34558.1 / transporter-like support gene,
M4-FUNG-0027:G010,GENE,lovF,
M4-FUNG-0027:G011,GENE,AAD34560.1,
M4-FUNG-0027:G012,GENE,LovH-like regulatory protein,
M4-FUNG-0027:G013,GENE,AAD34562.1,
M4-FUNG-0027:G014,GENE,AAD34563.1,
M4-FUNG-0027:G015,GENE,AAD34564.1,
M4-FUNG-0027:G016,GENE,AAD34565.1,
M4-FUNG-0027:G017,GENE,AAD34566.1,
M4-FUNG-0027:G018,GENE,lovB,
M4-FUNG-0027:G019,GENE,lovG,
M4-FUNG-0029:G001,GENE,mokB / mkB,
M4-FUNG-0029:G002,GENE,mokI / mkI,
M4-FUNG-0029:G003,GENE,mokH / mkH,
M4-FUNG-0029:G004,GENE,mokG / mkG,
M4-FUNG-0029:G005,GENE,mokF / mkF,
M4-FUNG-0029:G006,GENE,mokE / mkE,
M4-FUNG-0029:G007,GENE,mokD / mkD,
M4-FUNG-0029:G008,GENE,mokA / mkA,
M4-FUNG-0029:G009,GENE,mokC / mkC,
M4-FUNG-0030:G001,GENE,pks3,
M4-FUNG-0030:G002,GENE,rp1,
M4-FUNG-0030:G003,GENE,rp2,
M4-FUNG-0030:G004,GENE,rp3,
M4-FUNG-0030:G005,GENE,rp4,
M4-FUNG-0031:G001,GENE,mdpL / AN10023,
M4-FUNG-0031:G002,GENE,mdpK / AN10044,
M4-FUNG-0031:G003,GENE,mdpJ / AN10038,
M4-FUNG-0031:G004,GENE,mdpI / AN10035,
M4-FUNG-0031:G005,GENE,mdpH region / AN10022,
M4-FUNG-0031:G006,GENE,mdpG / AN0150,
M4-FUNG-0031:G007,GENE,mdpF / AN0149,
M4-FUNG-0031:G008,GENE,mdpE / AN0148,
M4-FUNG-0031:G009,GENE,mdpD / AN0147,
M4-FUNG-0031:G010,GENE,mdpC / AN0146,
M4-FUNG-0031:G011,GENE,mdpB / AN10049,
M4-FUNG-0031:G012,GENE,mdpA / AN10021,
M4-FUNG-0031:G013,GENE,xptA / AN6784,
M4-FUNG-0031:G014,GENE,xptB / AN12402,
M4-FUNG-0031:G015,GENE,xptC / AN7998,
M4-FUNG-0031:G016,GENE,AN7999,
M4-FUNG-0032:G001,GENE,mpaA,
M4-FUNG-0032:G002,GENE,mpaB,
M4-FUNG-0032:G003,GENE,mpaC,
M4-FUNG-0032:G004,GENE,mpaD component of mpaDE,
M4-FUNG-0032:G005,GENE,mpaE component of mpaDE,
M4-FUNG-0032:G006,GENE,mpaF / IMPDH-B,
M4-FUNG-0032:G007,GENE,mpaG,
M4-FUNG-0032:G008,GENE,mpaH,
M4-FUNG-0032:G009,GENE,ACL891 (extra-cluster),
M4-FUNG-0033:G001,GENE,wA / ANIA_08209,
M4-FUNG-0033:G002,GENE,yA,
M4-FUNG-0033:G003,GENE,chaA / AN10028,
M4-FUNG-0033:G004,GENE,fwA / AN1088,
M4-FUNG-0033:G005,GENE,abaA,
M4-FUNG-0034:G001,GENE,patH,
M4-FUNG-0034:G002,GENE,patG,
M4-FUNG-0034:G003,GENE,patF,
M4-FUNG-0034:G004,GENE,patE,
M4-FUNG-0034:G005,GENE,patD,
M4-FUNG-0034:G006,GENE,patC,
M4-FUNG-0034:G007,GENE,patB,
M4-FUNG-0034:G008,GENE,patA,
M4-FUNG-0034:G009,GENE,patM,
M4-FUNG-0034:G010,GENE,patN,
M4-FUNG-0034:G011,GENE,patO,
M4-FUNG-0034:G012,GENE,patL,
M4-FUNG-0034:G013,GENE,patI,
M4-FUNG-0034:G014,GENE,patJ,
M4-FUNG-0034:G015,GENE,patK,
M4-FUNG-0035:G001,GENE,ptaA,
M4-FUNG-0035:G002,GENE,ptaB,
M4-FUNG-0035:G003,GENE,ptaC,
M4-FUNG-0035:G004,GENE,ptaD,
M4-FUNG-0035:G005,GENE,ptaE,
M4-FUNG-0035:G006,GENE,ptaF,
M4-FUNG-0035:G007,GENE,ptaG,
M4-FUNG-0035:G008,GENE,ptaH,
M4-FUNG-0035:G009,GENE,ptaR1,
M4-FUNG-0035:G010,GENE,ptaR2,
M4-FUNG-0035:G011,GENE,ptaI,
M4-FUNG-0035:G012,GENE,ptaJ,
M4-FUNG-0035:G013,GENE,ptaK,
M4-FUNG-0035:G014,GENE,ptaL,
M4-FUNG-0035:G015,GENE,ptaR3,
M4-FUNG-0035:G016,GENE,ptaM,
M4-FUNG-0036:G001,GENE,pyr1 / AFUA_6G13920,
M4-FUNG-0036:G002,GENE,pyr2 / AFUA_6G13930,
M4-FUNG-0036:G003,GENE,pyr3 / AFUA_6G13940,
M4-FUNG-0036:G004,GENE,pyr9 / AFUA_6G13945,
M4-FUNG-0036:G005,GENE,pyr4 / AFUA_6G13950,
M4-FUNG-0036:G006,GENE,pyr5 / AFUA_6G13970,
M4-FUNG-0036:G007,GENE,pyr6 / AFUA_6G13980,
M4-FUNG-0036:G008,GENE,pyr7 / AFUA_6G13990,
M4-FUNG-0036:G009,GENE,pyr8 / AFUA_6G14000,
M4-FUNG-0037:G001,GENE,rdc1,
M4-FUNG-0037:G002,GENE,rdc2,
M4-FUNG-0037:G003,GENE,rdc3,
M4-FUNG-0037:G004,GENE,rdc4,
M4-FUNG-0037:G005,GENE,rdc5,
M4-FUNG-0038:G001,GENE,sol6,
M4-FUNG-0038:G002,GENE,sol5,
M4-FUNG-0038:G003,GENE,sol4,
M4-FUNG-0038:G004,GENE,sol3,
M4-FUNG-0038:G005,GENE,sol2,
M4-FUNG-0038:G006,GENE,sol1,
M4-FUNG-0039:G001,GENE,stcA,
M4-FUNG-0039:G002,GENE,stcB,
M4-FUNG-0039:G003,GENE,stcC,
M4-FUNG-0039:G004,GENE,stcD,
M4-FUNG-0039:G005,GENE,stcE,
M4-FUNG-0039:G006,GENE,aflR,
M4-FUNG-0039:G007,GENE,stcF,
M4-FUNG-0039:G008,GENE,stcG,
M4-FUNG-0039:G009,GENE,stcH,
M4-FUNG-0039:G010,GENE,stcI,
M4-FUNG-0039:G011,GENE,stcJ,
M4-FUNG-0039:G012,GENE,stcK,
M4-FUNG-0039:G013,GENE,stcL,
M4-FUNG-0039:G014,GENE,stcM,
M4-FUNG-0039:G015,GENE,stcN,
M4-FUNG-0039:G016,GENE,stcO,
M4-FUNG-0039:G017,GENE,stcP,
M4-FUNG-0039:G018,GENE,stcQ,
M4-FUNG-0039:G019,GENE,stcR,
M4-FUNG-0039:G020,GENE,stcS,
M4-FUNG-0039:G021,GENE,stcT,
M4-FUNG-0039:G022,GENE,stcU,
M4-FUNG-0039:G023,GENE,stcV,
M4-FUNG-0039:G024,GENE,stcW,
M4-FUNG-0039:G025,GENE,stcX,
M4-FUNG-0040:G001,GENE,tropJ / TSTA_117720,
M4-FUNG-0040:G002,GENE,tropD / TSTA_117730,
M4-FUNG-0040:G003,GENE,tropB / TSTA_117740,
M4-FUNG-0040:G004,GENE,tropA / TSTA_117750,
M4-FUNG-0040:G005,GENE,tropI / TSTA_117760,
M4-FUNG-0040:G006,GENE,TSTA_117770,
M4-FUNG-0040:G007,GENE,tropF / TSTA_117780,
M4-FUNG-0040:G008,GENE,tropH / TSTA_117790,
M4-FUNG-0040:G009,GENE,tropC / TSTA_117800,
M4-FUNG-0040:G010,GENE,tropK / TSTA_117810,
M4-FUNG-0040:G011,GENE,tropE / TSTA_117820,
M4-FUNG-0040:G012,GENE,TSTA_117830,
M4-FUNG-0040:G013,GENE,tropG / TSTA_117860,
M4-FUNG-0041:G001,GENE,OXI1,
M4-FUNG-0041:G002,GENE,TOX9,
M4-FUNG-0041:G003,GENE,PKS1,
M4-FUNG-0041:G004,GENE,TOX10,
M4-FUNG-0041:G005,GENE,PKS2,
M4-FUNG-0041:G006,GENE,LAM1,
M4-FUNG-0041:G007,GENE,RED3,
M4-FUNG-0041:G008,GENE,RED2,
M4-FUNG-0041:G009,GENE,RED1,
M4-FUNG-0041:G010,GENE,DEC1,
M4-FUNG-0042:G001,GENE,adaR,
M4-FUNG-0042:G002,GENE,adaD,
M4-FUNG-0042:G003,GENE,adaC,
M4-FUNG-0042:G004,GENE,adaB,
M4-FUNG-0042:G005,GENE,adaA,
M4-FUNG-0042:G006,GENE,adaE / adjacent MFS transporter,
M4-FUNG-0043:G001,GENE,atA / ATEG_06272,
M4-FUNG-0043:G002,GENE,atB / ATEG_06273,
M4-FUNG-0043:G003,GENE,atC / ATEG_06274,
M4-FUNG-0043:G004,GENE,atX / ATEG_06275,
M4-FUNG-0043:G005,GENE,atD / ATEG_06276,
M4-FUNG-0043:G006,GENE,atE / ATEG_06277,
M4-FUNG-0043:G007,GENE,atF / ATEG_06278,
M4-FUNG-0043:G008,GENE,ATEG_06279,
M4-FUNG-0043:G009,GENE,atG / ATEG_06280,
M4-FUNG-0044:G001,GENE,terJ / ATEG_00135,
M4-FUNG-0044:G002,GENE,terI / ATEG_00136,
M4-FUNG-0044:G003,GENE,terH / ATEG_00137,
M4-FUNG-0044:G004,GENE,terG / ATEG_00138,
M4-FUNG-0044:G005,GENE,terR / ATEG_00139,
M4-FUNG-0044:G006,GENE,terF / ATEG_00140,
M4-FUNG-0044:G007,GENE,terE / ATEG_00141,
M4-FUNG-0044:G008,GENE,terD / ATEG_00142,
M4-FUNG-0044:G009,GENE,terC / ATEG_00143,
M4-FUNG-0044:G010,GENE,terB / ATEG_00144,
M4-FUNG-0044:G011,GENE,terA / ATEG_00145,
M4-FUNG-0045:G001,GENE,vrtA,
M4-FUNG-0045:G002,GENE,vrtB,
M4-FUNG-0045:G003,GENE,vrtC,
M4-FUNG-0045:G004,GENE,vrtD,
M4-FUNG-0045:G005,GENE,vrtE,
M4-FUNG-0045:G006,GENE,vrtF,
M4-FUNG-0045:G007,GENE,vrtG,
M4-FUNG-0045:G008,GENE,vrtH,
M4-FUNG-0045:G009,GENE,vrtI,
