source,target,relation
M4-FUNG-0001,NCBITAXON:5599,belongs_to
M4-FUNG-0001,M4-FUNG-0001:G001,has_gene
M4-FUNG-0001,M4-FUNG-0001:G002,has_gene
M4-FUNG-0001,M4-FUNG-0001:G003,has_gene
M4-FUNG-0001,M4-FUNG-0001:G004,has_gene
M4-FUNG-0001,M4-FUNG-0001:G005,has_gene
M4-FUNG-0001,M4-FUNG-0001:G006,has_gene
M4-FUNG-0001,M4-FUNG-0001:M001,produces_metabolite
M4-FUNG-0001,M4-FUNG-0001:M002,produces_metabolite
M4-FUNG-0001,M4-FUNG-0001:M003,produces_metabolite
NCBITAXON:5599,M4-FUNG-0141,belongs_to
NCBITAXON:5599,M4-FUNG-0144,belongs_to
NCBITAXON:5599,M4-FUNG-0146,belongs_to
NCBITAXON:5599,M4-FUNG-0153,belongs_to
NCBITAXON:5599,M4-FUNG-0154,belongs_to
NCBITAXON:5599,M4-FUNG-0339,belongs_to
M4-FUNG-0002,NCBITAXON:5062,belongs_to
M4-FUNG-0002,M4-FUNG-0002:G001,has_gene
M4-FUNG-0002,M4-FUNG-0002:G002,has_gene
M4-FUNG-0002,M4-FUNG-0002:G003,has_gene
M4-FUNG-0002,M4-FUNG-0002:G004,has_gene
M4-FUNG-0002,M4-FUNG-0002:G005,has_gene
M4-FUNG-0002,M4-FUNG-0002:G006,has_gene
M4-FUNG-0002,M4-FUNG-0002:G007,has_gene
M4-FUNG-0002,M4-FUNG-0002:G008,has_gene
M4-FUNG-0002,M4-FUNG-0002:G009,has_gene
M4-FUNG-0002,M4-FUNG-0002:G010,has_gene
M4-FUNG-0002,M4-FUNG-0002:G011,has_gene
M4-FUNG-0002,M4-FUNG-0002:G012,has_gene
M4-FUNG-0002,M4-FUNG-0002:G013,has_gene
M4-FUNG-0002,M4-FUNG-0002:G014,has_gene
M4-FUNG-0002,M4-FUNG-0002:G015,has_gene
M4-FUNG-0002,M4-FUNG-0002:G016,has_gene
M4-FUNG-0002,M4-FUNG-0002:G017,has_gene
M4-FUNG-0002,M4-FUNG-0002:G018,has_gene
M4-FUNG-0002,M4-FUNG-0002:G019,has_gene
M4-FUNG-0002,M4-FUNG-0002:G020,has_gene
M4-FUNG-0002,M4-FUNG-0002:G021,has_gene
M4-FUNG-0002,M4-FUNG-0002:G022,has_gene
M4-FUNG-0002,M4-FUNG-0002:G023,has_gene
M4-FUNG-0002,M4-FUNG-0002:M001,produces_metabolite
NCBITAXON:5062,M4-FUNG-0091,belongs_to
NCBITAXON:5062,M4-FUNG-0097,belongs_to
M4-FUNG-0003,NCBITAXON:5067,belongs_to
M4-FUNG-0003,M4-FUNG-0003:G001,has_gene
M4-FUNG-0003,M4-FUNG-0003:G002,has_gene
M4-FUNG-0003,M4-FUNG-0003:G003,has_gene
M4-FUNG-0003,M4-FUNG-0003:G004,has_gene
M4-FUNG-0003,M4-FUNG-0003:G005,has_gene
M4-FUNG-0003,M4-FUNG-0003:G006,has_gene
M4-FUNG-0003,M4-FUNG-0003:G007,has_gene
M4-FUNG-0003,M4-FUNG-0003:G008,has_gene
M4-FUNG-0003,M4-FUNG-0003:G009,has_gene
M4-FUNG-0003,M4-FUNG-0003:G010,has_gene
M4-FUNG-0003,M4-FUNG-0003:G011,has_gene
M4-FUNG-0003,M4-FUNG-0003:G012,has_gene
M4-FUNG-0003,M4-FUNG-0003:G013,has_gene
M4-FUNG-0003,M4-FUNG-0003:G014,has_gene
M4-FUNG-0003,M4-FUNG-0003:G015,has_gene
M4-FUNG-0003,M4-FUNG-0003:G016,has_gene
M4-FUNG-0003,M4-FUNG-0003:G017,has_gene
M4-FUNG-0003,M4-FUNG-0003:G018,has_gene
M4-FUNG-0003,M4-FUNG-0003:G019,has_gene
M4-FUNG-0003,M4-FUNG-0003:G020,has_gene
M4-FUNG-0003,M4-FUNG-0003:G021,has_gene
M4-FUNG-0003,M4-FUNG-0003:G022,has_gene
M4-FUNG-0003,M4-FUNG-0003:G023,has_gene
M4-FUNG-0003,M4-FUNG-0003:G024,has_gene
M4-FUNG-0003,M4-FUNG-0003:G025,has_gene
M4-FUNG-0003,M4-FUNG-0003:G026,has_gene
M4-FUNG-0003,M4-FUNG-0003:G027,has_gene
M4-FUNG-0003,M4-FUNG-0003:G028,has_gene
M4-FUNG-0003,M4-FUNG-0003:G029,has_gene
M4-FUNG-0003,M4-FUNG-0003:M001,produces_metabolite
M4-FUNG-0003,M4-FUNG-0003:M002,produces_metabolite
M4-FUNG-0003,M4-FUNG-0003:M003,produces_metabolite
M4-FUNG-0003,M4-FUNG-0003:M004,produces_metabolite
M4-FUNG-0004,NCBITAXON:5059,belongs_to
M4-FUNG-0004,M4-FUNG-0004:G001,has_gene
M4-FUNG-0004,M4-FUNG-0004:G002,has_gene
M4-FUNG-0004,M4-FUNG-0004:G003,has_gene
M4-FUNG-0004,M4-FUNG-0004:G004,has_gene
M4-FUNG-0004,M4-FUNG-0004:G005,has_gene
M4-FUNG-0004,M4-FUNG-0004:G006,has_gene
M4-FUNG-0004,M4-FUNG-0004:G007,has_gene
M4-FUNG-0004,M4-FUNG-0004:G008,has_gene
M4-FUNG-0004,M4-FUNG-0004:G009,has_gene
