source,target,relation
M4-FUNG-0004,M4-FUNG-0004:G010,has_gene
M4-FUNG-0004,M4-FUNG-0004:G011,has_gene
M4-FUNG-0004,M4-FUNG-0004:G012,has_gene
M4-FUNG-0004,M4-FUNG-0004:G013,has_gene
M4-FUNG-0004,M4-FUNG-0004:G014,has_gene
M4-FUNG-0004,M4-FUNG-0004:G015,has_gene
M4-FUNG-0004,M4-FUNG-0004:G016,has_gene
M4-FUNG-0004,M4-FUNG-0004:G017,has_gene
M4-FUNG-0004,M4-FUNG-0004:G018,has_gene
M4-FUNG-0004,M4-FUNG-0004:G019,has_gene
M4-FUNG-0004,M4-FUNG-0004:G020,has_gene
M4-FUNG-0004,M4-FUNG-0004:G021,has_gene
M4-FUNG-0004,M4-FUNG-0004:G022,has_gene
M4-FUNG-0004,M4-FUNG-0004:G023,has_gene
M4-FUNG-0004,M4-FUNG-0004:M001,produces_metabolite
M4-FUNG-0004,M4-FUNG-0004:M002,produces_metabolite
NCBITAXON:5059,M4-FUNG-0006,belongs_to
NCBITAXON:5059,M4-FUNG-0008,belongs_to
NCBITAXON:5059,M4-FUNG-0072,belongs_to
NCBITAXON:5059,M4-FUNG-0275,belongs_to
NCBITAXON:5059,M4-FUNG-0319,belongs_to
NCBITAXON:5059,M4-FUNG-0483,belongs_to
NCBITAXON:5059,M4-FUNG-0603,belongs_to
M4-FUNG-0005,NCBITAXON:2059437,belongs_to
M4-FUNG-0005,M4-FUNG-0005:G001,has_gene
M4-FUNG-0005,M4-FUNG-0005:G002,has_gene
M4-FUNG-0005,M4-FUNG-0005:G003,has_gene
M4-FUNG-0005,M4-FUNG-0005:G004,has_gene
M4-FUNG-0005,M4-FUNG-0005:G005,has_gene
M4-FUNG-0005,M4-FUNG-0005:G006,has_gene
M4-FUNG-0005,M4-FUNG-0005:G007,has_gene
M4-FUNG-0005,M4-FUNG-0005:G008,has_gene
M4-FUNG-0005,M4-FUNG-0005:G009,has_gene
M4-FUNG-0005,M4-FUNG-0005:G010,has_gene
M4-FUNG-0005,M4-FUNG-0005:G011,has_gene
M4-FUNG-0005,M4-FUNG-0005:G012,has_gene
M4-FUNG-0005,M4-FUNG-0005:G013,has_gene
M4-FUNG-0005,M4-FUNG-0005:G014,has_gene
M4-FUNG-0005,M4-FUNG-0005:G015,has_gene
M4-FUNG-0005,M4-FUNG-0005:G016,has_gene
M4-FUNG-0005,M4-FUNG-0005:G017,has_gene
M4-FUNG-0005,M4-FUNG-0005:G018,has_gene
M4-FUNG-0005,M4-FUNG-0005:G019,has_gene
M4-FUNG-0005,M4-FUNG-0005:G020,has_gene
M4-FUNG-0005,M4-FUNG-0005:G021,has_gene
M4-FUNG-0005,M4-FUNG-0005:G022,has_gene
M4-FUNG-0005,M4-FUNG-0005:G023,has_gene
M4-FUNG-0005,M4-FUNG-0005:G024,has_gene
M4-FUNG-0005,M4-FUNG-0005:G025,has_gene
M4-FUNG-0005,M4-FUNG-0005:M001,produces_metabolite
M4-FUNG-0005,M4-FUNG-0005:M002,produces_metabolite
M4-FUNG-0006,M4-FUNG-0006:G001,has_gene
M4-FUNG-0006,M4-FUNG-0006:G002,has_gene
M4-FUNG-0006,M4-FUNG-0006:G003,has_gene
M4-FUNG-0006,M4-FUNG-0006:G004,has_gene
M4-FUNG-0006,M4-FUNG-0006:G005,has_gene
M4-FUNG-0006,M4-FUNG-0006:G006,has_gene
M4-FUNG-0006,M4-FUNG-0006:G007,has_gene
M4-FUNG-0006,M4-FUNG-0006:G008,has_gene
M4-FUNG-0006,M4-FUNG-0006:G009,has_gene
M4-FUNG-0006,M4-FUNG-0006:G010,has_gene
M4-FUNG-0006,M4-FUNG-0006:G011,has_gene
M4-FUNG-0006,M4-FUNG-0006:G012,has_gene
M4-FUNG-0006,M4-FUNG-0006:G013,has_gene
M4-FUNG-0006,M4-FUNG-0006:G014,has_gene
M4-FUNG-0006,M4-FUNG-0006:G015,has_gene
M4-FUNG-0006,M4-FUNG-0006:G016,has_gene
M4-FUNG-0006,M4-FUNG-0006:G017,has_gene
M4-FUNG-0006,M4-FUNG-0006:G018,has_gene
M4-FUNG-0006,M4-FUNG-0006:G019,has_gene
M4-FUNG-0006,M4-FUNG-0006:G020,has_gene
M4-FUNG-0006,M4-FUNG-0006:G021,has_gene
M4-FUNG-0006,M4-FUNG-0006:G022,has_gene
M4-FUNG-0006,M4-FUNG-0006:G023,has_gene
M4-FUNG-0006,M4-FUNG-0006:M001,produces_metabolite
M4-FUNG-0006,M4-FUNG-0006:M002,produces_metabolite
M4-FUNG-0007,NCBITAXON:41061,belongs_to
M4-FUNG-0007,M4-FUNG-0007:G001,has_gene
M4-FUNG-0007,M4-FUNG-0007:G002,has_gene
M4-FUNG-0007,M4-FUNG-0007:G003,has_gene
M4-FUNG-0007,M4-FUNG-0007:G004,has_gene
M4-FUNG-0007,M4-FUNG-0007:G005,has_gene
M4-FUNG-0007,M4-FUNG-0007:G006,has_gene
M4-FUNG-0007,M4-FUNG-0007:G007,has_gene
M4-FUNG-0007,M4-FUNG-0007:G008,has_gene
M4-FUNG-0007,M4-FUNG-0007:G009,has_gene
M4-FUNG-0007,M4-FUNG-0007:G010,has_gene
M4-FUNG-0007,M4-FUNG-0007:G011,has_gene
M4-FUNG-0007,M4-FUNG-0007:G012,has_gene
M4-FUNG-0007,M4-FUNG-0007:G013,has_gene
M4-FUNG-0007,M4-FUNG-0007:G014,has_gene
M4-FUNG-0007,M4-FUNG-0007:G015,has_gene
M4-FUNG-0007,M4-FUNG-0007:G016,has_gene
M4-FUNG-0007,M4-FUNG-0007:G017,has_gene
M4-FUNG-0007,M4-FUNG-0007:G018,has_gene
M4-FUNG-0007,M4-FUNG-0007:G019,has_gene
M4-FUNG-0007,M4-FUNG-0007:G020,has_gene
M4-FUNG-0007,M4-FUNG-0007:G021,has_gene
M4-FUNG-0007,M4-FUNG-0007:G022,has_gene
M4-FUNG-0007,M4-FUNG-0007:G023,has_gene
M4-FUNG-0007,M4-FUNG-0007:G024,has_gene
M4-FUNG-0007,M4-FUNG-0007:G025,has_gene
M4-FUNG-0007,M4-FUNG-0007:M001,produces_metabolite
M4-FUNG-0007,M4-FUNG-0007:M002,produces_metabolite
M4-FUNG-0007,M4-FUNG-0007:M003,produces_metabolite
M4-FUNG-0007,M4-FUNG-0007:M004,produces_metabolite
M4-FUNG-0008,M4-FUNG-0008:G001,has_gene
M4-FUNG-0008,M4-FUNG-0008:G002,has_gene
M4-FUNG-0008,M4-FUNG-0008:G003,has_gene
M4-FUNG-0008,M4-FUNG-0008:G004,has_gene
M4-FUNG-0008,M4-FUNG-0008:G005,has_gene
M4-FUNG-0008,M4-FUNG-0008:G006,has_gene
M4-FUNG-0008,M4-FUNG-0008:G007,has_gene
M4-FUNG-0008,M4-FUNG-0008:G008,has_gene
M4-FUNG-0008,M4-FUNG-0008:G009,has_gene
M4-FUNG-0008,M4-FUNG-0008:G010,has_gene
M4-FUNG-0008,M4-FUNG-0008:G011,has_gene
M4-FUNG-0008,M4-FUNG-0008:G012,has_gene
M4-FUNG-0008,M4-FUNG-0008:G013,has_gene
M4-FUNG-0008,M4-FUNG-0008:G014,has_gene
M4-FUNG-0008,M4-FUNG-0008:G015,has_gene
M4-FUNG-0008,M4-FUNG-0008:G016,has_gene
M4-FUNG-0008,M4-FUNG-0008:G017,has_gene
M4-FUNG-0008,M4-FUNG-0008:G018,has_gene
M4-FUNG-0008,M4-FUNG-0008:G019,has_gene
M4-FUNG-0008,M4-FUNG-0008:G020,has_gene
M4-FUNG-0008,M4-FUNG-0008:G021,has_gene
M4-FUNG-0008,M4-FUNG-0008:G022,has_gene
M4-FUNG-0008,M4-FUNG-0008:G023,has_gene
M4-FUNG-0008,M4-FUNG-0008:M001,produces_metabolite
M4-FUNG-0009,NCBITAXON:138278,belongs_to
M4-FUNG-0009,M4-FUNG-0009:G001,has_gene
M4-FUNG-0009,M4-FUNG-0009:G002,has_gene
M4-FUNG-0009,M4-FUNG-0009:G003,has_gene
M4-FUNG-0009,M4-FUNG-0009:G004,has_gene
M4-FUNG-0009,M4-FUNG-0009:G005,has_gene
M4-FUNG-0009,M4-FUNG-0009:G006,has_gene
M4-FUNG-0009,M4-FUNG-0009:G007,has_gene
M4-FUNG-0009,M4-FUNG-0009:G008,has_gene
M4-FUNG-0009,M4-FUNG-0009:G009,has_gene
M4-FUNG-0009,M4-FUNG-0009:G010,has_gene
M4-FUNG-0009,M4-FUNG-0009:G011,has_gene
M4-FUNG-0009,M4-FUNG-0009:G012,has_gene
M4-FUNG-0009,M4-FUNG-0009:G013,has_gene
M4-FUNG-0009,M4-FUNG-0009:G014,has_gene
M4-FUNG-0009,M4-FUNG-0009:G015,has_gene
M4-FUNG-0009,M4-FUNG-0009:G016,has_gene
M4-FUNG-0009,M4-FUNG-0009:G017,has_gene
M4-FUNG-0009,M4-FUNG-0009:G018,has_gene
M4-FUNG-0009,M4-FUNG-0009:G019,has_gene
M4-FUNG-0009,M4-FUNG-0009:G020,has_gene
M4-FUNG-0009,M4-FUNG-0009:G021,has_gene
M4-FUNG-0009,M4-FUNG-0009:G022,has_gene
M4-FUNG-0009,M4-FUNG-0009:G023,has_gene
M4-FUNG-0009,M4-FUNG-0009:G024,has_gene
M4-FUNG-0009,M4-FUNG-0009:G025,has_gene
M4-FUNG-0009,M4-FUNG-0009:G026,has_gene
M4-FUNG-0009,M4-FUNG-0009:G027,has_gene
M4-FUNG-0009,M4-FUNG-0009:M001,produces_metabolite
M4-FUNG-0009,M4-FUNG-0009:M002,produces_metabolite
M4-FUNG-0009,M4-FUNG-0009:M003,produces_metabolite
M4-FUNG-0010,NCBITAXON:48100,belongs_to
M4-FUNG-0010,M4-FUNG-0010:G001,has_gene
M4-FUNG-0010,M4-FUNG-0010:G002,has_gene
M4-FUNG-0010,M4-FUNG-0010:G003,has_gene
M4-FUNG-0010,M4-FUNG-0010:G004,has_gene
M4-FUNG-0010,M4-FUNG-0010:G005,has_gene
M4-FUNG-0010,M4-FUNG-0010:M001,produces_metabolite
M4-FUNG-0010,M4-FUNG-0010:M002,produces_metabolite
NCBITAXON:48100,M4-FUNG-0038,belongs_to
M4-FUNG-0011,NCBITAXON:227321,belongs_to
M4-FUNG-0011,M4-FUNG-0011:G001,has_gene
M4-FUNG-0011,M4-FUNG-0011:G002,has_gene
M4-FUNG-0011,M4-FUNG-0011:M001,produces_metabolite
M4-FUNG-0011,M4-FUNG-0011:M002,produces_metabolite
M4-FUNG-0011,M4-FUNG-0011:M003,produces_metabolite
M4-FUNG-0011,M4-FUNG-0011:M004,produces_metabolite
NCBITAXON:227321,M4-FUNG-0012,belongs_to
NCBITAXON:227321,M4-FUNG-0015,belongs_to
NCBITAXON:227321,M4-FUNG-0020,belongs_to
NCBITAXON:227321,M4-FUNG-0031,belongs_to
NCBITAXON:227321,M4-FUNG-0033,belongs_to
NCBITAXON:227321,M4-FUNG-0069,belongs_to
NCBITAXON:227321,M4-FUNG-0075,belongs_to
NCBITAXON:227321,M4-FUNG-0077,belongs_to
NCBITAXON:227321,M4-FUNG-0079,belongs_to
NCBITAXON:227321,M4-FUNG-0095,belongs_to
NCBITAXON:227321,M4-FUNG-0163,belongs_to
NCBITAXON:227321,M4-FUNG-0177,belongs_to
NCBITAXON:227321,M4-FUNG-0195,belongs_to
NCBITAXON:227321,M4-FUNG-0210,belongs_to
NCBITAXON:227321,M4-FUNG-0241,belongs_to
NCBITAXON:227321,M4-FUNG-0243,belongs_to
NCBITAXON:227321,M4-FUNG-0246,belongs_to
NCBITAXON:227321,M4-FUNG-0253,belongs_to
NCBITAXON:227321,M4-FUNG-0303,belongs_to
NCBITAXON:227321,M4-FUNG-0340,belongs_to
NCBITAXON:227321,M4-FUNG-0435,belongs_to
NCBITAXON:227321,M4-FUNG-0522,belongs_to
M4-FUNG-0012,M4-FUNG-0012:G001,has_gene
M4-FUNG-0012,M4-FUNG-0012:G002,has_gene
M4-FUNG-0012,M4-FUNG-0012:G003,has_gene
M4-FUNG-0012,M4-FUNG-0012:G004,has_gene
M4-FUNG-0012,M4-FUNG-0012:G005,has_gene
M4-FUNG-0012,M4-FUNG-0012:G006,has_gene
M4-FUNG-0012,M4-FUNG-0012:G007,has_gene
M4-FUNG-0012,M4-FUNG-0012:G008,has_gene
M4-FUNG-0012,M4-FUNG-0012:G009,has_gene
M4-FUNG-0012,M4-FUNG-0012:G010,has_gene
M4-FUNG-0012,M4-FUNG-0012:G011,has_gene
M4-FUNG-0012,M4-FUNG-0012:M001,produces_metabolite
M4-FUNG-0012,M4-FUNG-0012:M002,produces_metabolite
M4-FUNG-0013,NCBITAXON:89488,belongs_to
M4-FUNG-0013,M4-FUNG-0013:G001,has_gene
M4-FUNG-0013,M4-FUNG-0013:G002,has_gene
M4-FUNG-0013,M4-FUNG-0013:G003,has_gene
M4-FUNG-0013,M4-FUNG-0013:G004,has_gene
M4-FUNG-0013,M4-FUNG-0013:G005,has_gene
M4-FUNG-0013,M4-FUNG-0013:G006,has_gene
M4-FUNG-0013,M4-FUNG-0013:G007,has_gene
M4-FUNG-0013,M4-FUNG-0013:G008,has_gene
M4-FUNG-0013,M4-FUNG-0013:G009,has_gene
M4-FUNG-0013,M4-FUNG-0013:G010,has_gene
M4-FUNG-0013,M4-FUNG-0013:G011,has_gene
M4-FUNG-0013,M4-FUNG-0013:G012,has_gene
M4-FUNG-0013,M4-FUNG-0013:G013,has_gene
M4-FUNG-0013,M4-FUNG-0013:G014,has_gene
M4-FUNG-0013,M4-FUNG-0013:G015,has_gene
M4-FUNG-0013,M4-FUNG-0013:G016,has_gene
M4-FUNG-0013,M4-FUNG-0013:G017,has_gene
M4-FUNG-0013,M4-FUNG-0013:G018,has_gene
M4-FUNG-0013,M4-FUNG-0013:G019,has_gene
M4-FUNG-0013,M4-FUNG-0013:G020,has_gene
M4-FUNG-0013,M4-FUNG-0013:G021,has_gene
M4-FUNG-0013,M4-FUNG-0013:G022,has_gene
M4-FUNG-0013,M4-FUNG-0013:G023,has_gene
M4-FUNG-0013,M4-FUNG-0013:G024,has_gene
M4-FUNG-0013,M4-FUNG-0013:M001,produces_metabolite
M4-FUNG-0013,M4-FUNG-0013:M002,produces_metabolite
M4-FUNG-0013,M4-FUNG-0013:M003,produces_metabolite
M4-FUNG-0013,M4-FUNG-0013:M004,produces_metabolite
M4-FUNG-0013,M4-FUNG-0013:M005,produces_metabolite
NCBITAXON:89488,M4-FUNG-0029,belongs_to
M4-FUNG-0014,NCBITAXON:1279085,belongs_to
M4-FUNG-0014,M4-FUNG-0014:G001,has_gene
M4-FUNG-0014,M4-FUNG-0014:G002,has_gene
M4-FUNG-0014,M4-FUNG-0014:G003,has_gene
M4-FUNG-0014,M4-FUNG-0014:G004,has_gene
M4-FUNG-0014,M4-FUNG-0014:G005,has_gene
M4-FUNG-0014,M4-FUNG-0014:G006,has_gene
M4-FUNG-0014,M4-FUNG-0014:G007,has_gene
M4-FUNG-0014,M4-FUNG-0014:M001,produces_metabolite
M4-FUNG-0014,M4-FUNG-0014:M002,produces_metabolite
M4-FUNG-0014,M4-FUNG-0014:M003,produces_metabolite
M4-FUNG-0014,M4-FUNG-0014:M004,produces_metabolite
NCBITAXON:1279085,M4-FUNG-0179,belongs_to
NCBITAXON:1279085,M4-FUNG-0207,belongs_to
NCBITAXON:1279085,M4-FUNG-0230,belongs_to
NCBITAXON:1279085,M4-FUNG-0572,belongs_to
M4-FUNG-0015,M4-FUNG-0015:G001,has_gene
M4-FUNG-0015,M4-FUNG-0015:G002,has_gene
M4-FUNG-0015,M4-FUNG-0015:G003,has_gene
M4-FUNG-0015,M4-FUNG-0015:G004,has_gene
M4-FUNG-0015,M4-FUNG-0015:G005,has_gene
M4-FUNG-0015,M4-FUNG-0015:G006,has_gene
M4-FUNG-0015,M4-FUNG-0015:G007,has_gene
M4-FUNG-0015,M4-FUNG-0015:G008,has_gene
M4-FUNG-0015,M4-FUNG-0015:M001,produces_metabolite
M4-FUNG-0015,M4-FUNG-0015:M002,produces_metabolite
M4-FUNG-0015,M4-FUNG-0015:M003,produces_metabolite
M4-FUNG-0015,M4-FUNG-0015:M004,produces_metabolite
M4-FUNG-0015,M4-FUNG-0015:M005,produces_metabolite
M4-FUNG-0015,M4-FUNG-0015:M006,produces_metabolite
M4-FUNG-0015,M4-FUNG-0015:M007,produces_metabolite
M4-FUNG-0015,M4-FUNG-0015:M008,produces_metabolite
M4-FUNG-0016,NCBITAXON:5077,belongs_to
M4-FUNG-0016,M4-FUNG-0016:G001,has_gene
M4-FUNG-0016,M4-FUNG-0016:G002,has_gene
M4-FUNG-0016,M4-FUNG-0016:G003,has_gene
M4-FUNG-0016,M4-FUNG-0016:G004,has_gene
M4-FUNG-0016,M4-FUNG-0016:G005,has_gene
M4-FUNG-0016,M4-FUNG-0016:G006,has_gene
M4-FUNG-0016,M4-FUNG-0016:G007,has_gene
M4-FUNG-0016,M4-FUNG-0016:G008,has_gene
M4-FUNG-0016,M4-FUNG-0016:G009,has_gene
M4-FUNG-0016,M4-FUNG-0016:M001,produces_metabolite
M4-FUNG-0016,M4-FUNG-0016:M002,produces_metabolite
NCBITAXON:5077,M4-FUNG-0447,belongs_to
M4-FUNG-0017,NCBITAXON:33178,belongs_to
M4-FUNG-0017,M4-FUNG-0017:G001,has_gene
M4-FUNG-0017,M4-FUNG-0017:G002,has_gene
M4-FUNG-0017,M4-FUNG-0017:G003,has_gene
M4-FUNG-0017,M4-FUNG-0017:G004,has_gene
M4-FUNG-0017,M4-FUNG-0017:G005,has_gene
M4-FUNG-0017,M4-FUNG-0017:G006,has_gene
M4-FUNG-0017,M4-FUNG-0017:G007,has_gene
M4-FUNG-0017,M4-FUNG-0017:G008,has_gene
M4-FUNG-0017,M4-FUNG-0017:M001,produces_metabolite
M4-FUNG-0017,M4-FUNG-0017:M002,produces_metabolite
M4-FUNG-0017,M4-FUNG-0017:M003,produces_metabolite
NCBITAXON:33178,M4-FUNG-0028,belongs_to
NCBITAXON:33178,M4-FUNG-0168,belongs_to
M4-FUNG-0018,NCBITAXON:622360,belongs_to
M4-FUNG-0018,M4-FUNG-0018:G001,has_gene
M4-FUNG-0018,M4-FUNG-0018:G002,has_gene
M4-FUNG-0018,M4-FUNG-0018:G003,has_gene
M4-FUNG-0018,M4-FUNG-0018:G004,has_gene
M4-FUNG-0018,M4-FUNG-0018:G005,has_gene
M4-FUNG-0018,M4-FUNG-0018:G006,has_gene
M4-FUNG-0018,M4-FUNG-0018:M001,produces_metabolite
M4-FUNG-0018,M4-FUNG-0018:M002,produces_metabolite
M4-FUNG-0018,M4-FUNG-0018:M003,produces_metabolite
NCBITAXON:622360,M4-FUNG-0080,belongs_to
M4-FUNG-0019,NCBITAXON:675120,belongs_to
M4-FUNG-0019,M4-FUNG-0019:G001,has_gene
M4-FUNG-0019,M4-FUNG-0019:G002,has_gene
M4-FUNG-0019,M4-FUNG-0019:G003,has_gene
M4-FUNG-0019,M4-FUNG-0019:G004,has_gene
M4-FUNG-0019,M4-FUNG-0019:G005,has_gene
M4-FUNG-0019,M4-FUNG-0019:G006,has_gene
M4-FUNG-0019,M4-FUNG-0019:G007,has_gene
M4-FUNG-0019,M4-FUNG-0019:G008,has_gene
M4-FUNG-0019,M4-FUNG-0019:G009,has_gene
M4-FUNG-0019,M4-FUNG-0019:G010,has_gene
M4-FUNG-0019,M4-FUNG-0019:G011,has_gene
M4-FUNG-0019,M4-FUNG-0019:G012,has_gene
M4-FUNG-0019,M4-FUNG-0019:G013,has_gene
M4-FUNG-0019,M4-FUNG-0019:G014,has_gene
M4-FUNG-0019,M4-FUNG-0019:G015,has_gene
M4-FUNG-0019,M4-FUNG-0019:G016,has_gene
M4-FUNG-0019,M4-FUNG-0019:G017,has_gene
M4-FUNG-0019,M4-FUNG-0019:G018,has_gene
M4-FUNG-0019,M4-FUNG-0019:G019,has_gene
M4-FUNG-0019,M4-FUNG-0019:G020,has_gene
M4-FUNG-0019,M4-FUNG-0019:G021,has_gene
M4-FUNG-0019,M4-FUNG-0019:G022,has_gene
M4-FUNG-0019,M4-FUNG-0019:G023,has_gene
M4-FUNG-0019,M4-FUNG-0019:G024,has_gene
M4-FUNG-0019,M4-FUNG-0019:G025,has_gene
M4-FUNG-0019,M4-FUNG-0019:G026,has_gene
M4-FUNG-0019,M4-FUNG-0019:G027,has_gene
M4-FUNG-0019,M4-FUNG-0019:G028,has_gene
M4-FUNG-0019,M4-FUNG-0019:G029,has_gene
M4-FUNG-0019,M4-FUNG-0019:G030,has_gene
M4-FUNG-0019,M4-FUNG-0019:G031,has_gene
M4-FUNG-0019,M4-FUNG-0019:G032,has_gene
M4-FUNG-0019,M4-FUNG-0019:G033,has_gene
M4-FUNG-0019,M4-FUNG-0019:G034,has_gene
M4-FUNG-0019,M4-FUNG-0019:G035,has_gene
M4-FUNG-0019,M4-FUNG-0019:M001,produces_metabolite
M4-FUNG-0019,M4-FUNG-0019:M002,produces_metabolite
M4-FUNG-0019,M4-FUNG-0019:M003,produces_metabolite
M4-FUNG-0020,M4-FUNG-0020:G001,has_gene
M4-FUNG-0020,M4-FUNG-0020:G002,has_gene
M4-FUNG-0020,M4-FUNG-0020:G003,has_gene
M4-FUNG-0020,M4-FUNG-0020:G004,has_gene
M4-FUNG-0020,M4-FUNG-0020:G005,has_gene
M4-FUNG-0020,M4-FUNG-0020:G006,has_gene
M4-FUNG-0020,M4-FUNG-0020:G007,has_gene
M4-FUNG-0020,M4-FUNG-0020:G008,has_gene
M4-FUNG-0020,M4-FUNG-0020:G009,has_gene
M4-FUNG-0020,M4-FUNG-0020:G010,has_gene
M4-FUNG-0020,M4-FUNG-0020:G011,has_gene
M4-FUNG-0020,M4-FUNG-0020:G012,has_gene
M4-FUNG-0020,M4-FUNG-0020:G013,has_gene
M4-FUNG-0020,M4-FUNG-0020:G014,has_gene
M4-FUNG-0020,M4-FUNG-0020:G015,has_gene
M4-FUNG-0020,M4-FUNG-0020:M001,produces_metabolite
M4-FUNG-0020,M4-FUNG-0020:M002,produces_metabolite
M4-FUNG-0020,M4-FUNG-0020:M003,produces_metabolite
M4-FUNG-0020,M4-FUNG-0020:M004,produces_metabolite
M4-FUNG-0020,M4-FUNG-0020:M005,produces_metabolite
M4-FUNG-0020,M4-FUNG-0020:M006,produces_metabolite
M4-FUNG-0020,M4-FUNG-0020:M007,produces_metabolite
M4-FUNG-0021,NCBITAXON:334819,belongs_to
M4-FUNG-0021,M4-FUNG-0021:G001,has_gene
