phylum,genus,organisms
Ascomycota,Aspergillus,34
Ascomycota,Penicillium,22
Ascomycota,Fusarium,13
Ascomycota,Bipolaris,4
Ascomycota,Colletotrichum,4
Ascomycota,Alternaria,3
Ascomycota,Ascochyta,2
Ascomycota,Chaetomium,2
Ascomycota,Cladonia,2
Ascomycota,Jackrogersella,2
Ascomycota,Pestalotiopsis,2
Ascomycota,Pseudevernia,2
Ascomycota,Talaromyces,2
Ascomycota,Tolypocladium,2
Ascomycota,Achaetomiella,1
Ascomycota,Acremonium,1
Ascomycota,Albophoma,1
Ascomycota,Annulohypoxylon,1
Ascomycota,Arthrinium,1
Ascomycota,Arthrobotrys,1
Ascomycota,Aschersonia,1
Ascomycota,Aureobasidium,1
Ascomycota,Beauveria,1
Ascomycota,Biscogniauxia,1
Ascomycota,Botrytis,1
Ascomycota,Cephalotrichum,1
Ascomycota,Chrysosporium,1
Ascomycota,Cladosporium,1
Ascomycota,Cordyceps,1
Ascomycota,Curvularia,1
Ascomycota,Dactylonectria,1
Ascomycota,Diaporthe,1
Ascomycota,Discosia,1
Ascomycota,Dothistroma,1
Ascomycota,Epichloe,1
Ascomycota,Hapsidospora,1
Ascomycota,Hypomontagnella,1
Ascomycota,Hypomyces,1
Ascomycota,Lecanicillium,1
Ascomycota,Leptobacillium,1
Ascomycota,Macrophomina,1
Ascomycota,Metarhizium,1
Ascomycota,Metschnikowia,1
Ascomycota,Monascus,1
Ascomycota,Neocamarosporium,1
Ascomycota,Ovatospora,1
Ascomycota,Paramyrothecium,1
Ascomycota,Parmelia,1
Ascomycota,Periglandula,1
Ascomycota,Phaeosphaeria,1
Ascomycota,Phaeosphaeriaceae sp.,1
Ascomycota,Phialomyces,1
Ascomycota,Pithomyces / Pseudopithomyces,1
Ascomycota,Pochonia,1
Ascomycota,Rosellinia,1
Ascomycota,Sarocladium,1
Ascomycota,Stachybotrys,1
Ascomycota,Umbilicaria,1
Ascomycota,Xenoacremonium,1
Ascomycota,Xylaria,1
Basidiomycota,Armillaria,1
Basidiomycota,Coniophora,1
Basidiomycota,Dendrothele,1
Basidiomycota,Lentinula,1
Basidiomycota,Omphalotus,1
Basidiomycota,Suillus,1
Basidiomycota,Taiwanofungus,1
Mortierellomycota,Mortierella,1
