Facet axis,Rows,Distinct BGCs
biology.biological_role,533,533
chemistry.primary_product,499,499
biosynthesis.database_class,408,408
biosynthesis.refined_class,276,276
ecology.lifestyle,272,272
activation.temporal_window,272,272
chemistry.product_family,272,272
activation.ecological_trigger,271,271
activation.productive_developmental_state,271,271
ecology.host_or_environment,271,271
activation.environmental_trigger,271,271
activation.native_pathway_state,271,271
chemistry.chemical_class,271,271
genome.copy_number_context,261,261
activation.spatial_context,261,261
organism.pathotype_or_ecotype,260,260
taxonomy.genus,260,260
taxonomy.family,260,260
taxonomy.class,260,260
taxonomy.order,260,260
activation.culture_architecture,260,260
genome.repeat_context,260,260
genome.chromosome_context,260,260
genome.accessory_chromosome_status,260,260
activation.physiological_state,260,260
activation.extracellular_recovery,260,260
taxonomy.phylum,260,260
