Status,Count
open,220
resolved-for-atlas,199
open-provenance,30
resolved-by-curation,25
resolved,25
CONFLICTING,11
open-terminology-risk,8
open-semantic,3
open-annotation,3
resolved-by-context,3
open-context,2
UNCERTAIN,2
resolved-by-scope,2
open-database-annotation issue,2
unresolved,2
resolved-by-functional-evidence,1
open/database-conflict,1
open-limitation,1
resolved-by-temporal-annotation,1
resolved-by-revision,1
open-native-function,1
resolved-provenance,1
resolved-by-current-taxonomy,1
open-database,1
resolved-by-model,1
open-comparative,1
resolved-by-evidence-tiering,1
