dossier_id,mibig_accession,organism_name,facets,genes,metabolites,experiments,measurements,claims,relationships,conflicts,sources,normalization_queue_rows
M4-FUNG-0001,BGC0000003,Alternaria alternata,27,6,3,2,1,4,4,3,5,0
M4-FUNG-0002,BGC0000004,Aspergillus oryzae,27,23,1,5,5,5,5,4,8,0
M4-FUNG-0003,BGC0000005,Aspergillus parasiticus,27,29,4,7,7,8,9,5,17,0
M4-FUNG-0004,BGC0000006,Aspergillus flavus,27,23,2,8,15,6,8,6,15,0
M4-FUNG-0005,BGC0000007,Aspergillus aflatoxiformans,27,25,2,6,16,7,7,4,15,0
M4-FUNG-0006,BGC0000008,Aspergillus flavus,27,23,2,7,15,7,8,5,11,0
M4-FUNG-0007,BGC0000009,Aspergillus nomiae (MIBiG historical label: Aspergillus nomius),27,25,4,7,14,7,8,5,13,0
M4-FUNG-0008,BGC0000010,Aspergillus flavus,27,23,1,5,9,6,7,5,9,0
M4-FUNG-0009,BGC0000011,Aspergillus ochraceoroseus,27,27,3,6,6,6,7,5,10,0
M4-FUNG-0010,BGC0000012,Alternaria solani,27,5,2,6,12,7,8,5,10,3
M4-FUNG-0011,BGC0000013,Aspergillus nidulans,27,2,4,6,10,7,8,6,7,0
M4-FUNG-0012,BGC0000022,Aspergillus nidulans,27,11,2,7,14,8,9,6,7,4
M4-FUNG-0013,BGC0000027,Monascus pilosus,27,24,5,6,10,7,8,5,6,0
M4-FUNG-0014,BGC0000030,Fusarium fujikuroi,27,7,4,9,13,9,12,6,8,0
M4-FUNG-0015,BGC0000037,Aspergillus nidulans,27,8,8,7,13,9,10,6,10,3
M4-FUNG-0016,BGC0000039,Penicillium citrinum,27,9,2,4,5,4,7,3,7,1
M4-FUNG-0017,BGC0000045,Aspergillus terreus,27,8,3,6,14,8,8,6,5,5
M4-FUNG-0018,BGC0000046,Alternaria brassicicola,27,6,3,9,11,9,11,7,8,1
M4-FUNG-0019,BGC0000048,Dothistroma septosporum,27,35,3,10,13,10,12,8,14,0
M4-FUNG-0020,BGC0000057,Aspergillus nidulans,27,15,7,10,13,9,12,7,9,0
M4-FUNG-0021,BGC0000062,Fusarium verticillioides,27,16,7,10,14,11,13,8,22,0
M4-FUNG-0022,BGC0000063,Fusarium oxysporum,27,17,5,6,12,7,8,6,8,0
M4-FUNG-0023,BGC0000064,Fusarium verticillioides,27,11,8,9,12,10,10,7,15,2
M4-FUNG-0024,BGC0000070,Penicillium aethiopicum,27,21,7,9,10,8,10,6,8,0
M4-FUNG-0025,BGC0000076,Hypomyces subiculosus,27,9,6,8,17,9,10,7,8,0
M4-FUNG-0026,BGC0000077,Hypomyces subiculosus,27,10,6,8,17,9,10,7,8,0
M4-FUNG-0027,BGC0000088,Aspergillus terreus,27,19,7,8,14,9,11,7,14,0
M4-FUNG-0028,BGC0000089,Aspergillus terreus,27,0,1,2,4,3,4,3,4,0
M4-FUNG-0029,BGC0000098,Monascus pilosus,27,9,3,8,19,11,12,9,12,0
M4-FUNG-0030,BGC0000099,Talaromyces marneffei,27,5,8,5,23,9,11,8,6,0
M4-FUNG-0031,BGC0000101,Aspergillus nidulans,27,16,8,7,11,10,12,7,10,0
M4-FUNG-0032,BGC0000104,Penicillium brevicompactum,27,9,9,8,13,9,13,7,11,0
M4-FUNG-0033,BGC0000107,Aspergillus nidulans,27,5,4,7,14,8,11,8,12,1
