dossier_id,mibig_accession,organism_name,facets,genes,metabolites,experiments,measurements,claims,relationships,conflicts,sources,normalization_queue_rows
M4-FUNG-0034,BGC0000120,Penicillium expansum,27,15,10,7,7,5,10,5,10,1
M4-FUNG-0035,BGC0000121,Pestalotiopsis fici,27,16,7,7,11,9,11,8,19,5
M4-FUNG-0036,BGC0000129,Aspergillus fumigatus,27,9,5,6,6,4,6,4,7,1
M4-FUNG-0037,BGC0000134,Pochonia chlamydosporia,27,5,5,6,5,5,8,4,9,1
M4-FUNG-0038,BGC0000146,Alternaria solani,27,6,10,8,15,9,13,8,10,1
M4-FUNG-0039,BGC0000152,Aspergillus nidulans,27,25,6,9,12,6,10,5,19,1
M4-FUNG-0040,BGC0000154,Talaromyces stipitatus,27,13,12,9,14,9,14,8,11,4
M4-FUNG-0041,BGC0000155,Bipolaris maydis,27,10,2,7,10,5,8,4,13,1
M4-FUNG-0042,BGC0000156,Aspergillus niger,27,6,5,7,15,8,12,8,11,2
M4-FUNG-0043,BGC0000160,Aspergillus terreus,27,9,6,6,8,5,8,5,10,0
M4-FUNG-0044,BGC0000161,Aspergillus terreus,27,11,8,11,18,10,14,8,13,3
M4-FUNG-0045,BGC0000168,Penicillium aethiopicum,27,14,3,4,4,3,4,3,6,1
M4-FUNG-0046,BGC0000170,Aspergillus niger ATCC 1015,27,10,5,4,4,3,4,3,4,1
M4-FUNG-0047,BGC0000292,Aspergillus terreus NIH2624,27,10,3,3,5,3,3,3,3,1
M4-FUNG-0048,BGC0000293,Aspergillus fischeri NRRL 181,27,3,3,3,8,3,3,3,4,0
M4-FUNG-0049,BGC0000304,Fusarium incarnatum,27,11,4,5,8,3,4,4,5,3
M4-FUNG-0050,BGC0000307,Aureobasidium pullulans,27,1,2,2,7,3,3,3,7,6
M4-FUNG-0051,BGC0000312,Beauveria bassiana,27,1,1,2,3,3,3,3,3,1
M4-FUNG-0052,BGC0000313,Beauveria bassiana,27,5,2,4,5,3,3,3,5,3
M4-FUNG-0053,BGC0000317,Hapsidospora chrysogena ATCC 11550,27,8,4,5,7,3,6,4,13,0
M4-FUNG-0054,BGC0000318,Hapsidospora chrysogena ATCC 11550,27,2,4,4,3,3,4,4,11,1
M4-FUNG-0055,BGC0000321,Achaetomiella virescens,27,15,1,2,2,2,2,2,6,0
M4-FUNG-0056,BGC0000334,Tolypocladium inflatum NRRL 8044,27,20,3,6,4,3,4,2,5,0
M4-FUNG-0057,BGC0000337,Metarhizium robertsii ARSEF 23,27,21,3,6,6,3,4,1,6,0
M4-FUNG-0058,BGC0000338,Aspergillus pachycristatus NRRL 11440,27,12,3,4,3,3,3,3,7,0
M4-FUNG-0059,BGC0000342,Fusarium equiseti,27,1,3,3,4,3,1,1,6,0
M4-FUNG-0060,BGC0000348,Epichloe festucae var. lolii,27,6,4,3,2,4,3,2,5,0
M4-FUNG-0061,BGC0000355,Aspergillus fumigatus Af293,27,5,4,6,2,3,3,2,7,0
M4-FUNG-0062,BGC0000357,Penicillium rubens Wisconsin 54-1255,27,1,10,3,4,2,2,1,5,0
M4-FUNG-0063,BGC0000361,Aspergillus fumigatus Af293,27,12,3,6,2,4,4,2,8,0
M4-FUNG-0064,BGC0000370,Bipolaris zeicola,27,7,2,6,6,4,5,3,14,0
M4-FUNG-0065,BGC0000372,Aspergillus fumigatus Af293,27,8,3,4,3,3,4,2,5,0
M4-FUNG-0066,BGC0000404,Penicillium chrysogenum,27,6,2,4,4,3,3,2,8,0
M4-FUNG-0067,BGC0000405,Penicillium chrysogenum,27,3,4,4,3,3,4,1,6,0
M4-FUNG-0068,BGC0000420,Penicillium rubens Wisconsin 54-1255,27,7,7,4,3,3,4,2,5,0
M4-FUNG-0069,BGC0000442,Aspergillus nidulans FGSC A4,27,5,4,3,3,3,4,2,5,0
M4-FUNG-0070,BGC0000456,Lecanicillium sp. HF627,27,4,3,3,3,3,3,2,5,0
M4-FUNG-0071,BGC0000627,Aspergillus flavus NRRL3357,27,19,2,5,4,3,4,3,6,0
M4-FUNG-0072,BGC0000629,Aspergillus flavus,27,8,4,4,4,3,4,2,5,0
M4-FUNG-0073,BGC0000631,Botrytis cinerea B05.10,27,7,5,4,3,4,5,3,7,0
M4-FUNG-0074,BGC0000667,Penicillium roqueforti FM164,27,11,7,4,4,4,5,4,6,0
M4-FUNG-0075,BGC0000673,Aspergillus nidulans FGSC A4,27,8,3,4,4,4,4,3,6,0
M4-FUNG-0076,BGC0000676,Neocamarosporium betae (historically Phoma betae),27,6,4,5,4,4,4,3,8,0
M4-FUNG-0077,BGC0000680,Aspergillus nidulans FGSC A4,6,2,3,1,0,2,2,1,3,0
M4-FUNG-0078,BGC0000682,Aspergillus terreus NIH2624,2,4,0,0,0,0,0,1,4,10
M4-FUNG-0079,BGC0000684,Aspergillus nidulans FGSC A4,1,0,0,0,0,0,0,1,3,8
M4-FUNG-0080,BGC0000685,Alternaria brassicicola ATCC 96836,2,0,0,0,0,0,0,0,5,8
M4-FUNG-0081,BGC0000686,Aspergillus fumigatus Af293,2,0,0,0,0,0,0,0,4,8
M4-FUNG-0082,BGC0000687,Diaporthe amygdali (historical paper: Phomopsis amygdali),1,0,0,0,0,0,0,0,3,8
M4-FUNG-0083,BGC0000688,Diaporthe amygdali (historical paper: Phomopsis amygdali),1,0,0,0,0,0,0,1,3,8
M4-FUNG-0084,BGC0000811,Aspergillus fumigatus Af293,2,0,0,0,0,0,0,1,4,8
M4-FUNG-0085,BGC0000812,Shiraia sp. Slf14,1,0,0,0,0,0,0,0,5,11
M4-FUNG-0086,BGC0000815,Epichloë uncinata (historical literature: Neotyphodium uncinatum),3,0,0,0,0,0,0,0,6,9
M4-FUNG-0087,BGC0000816,Malbranchea aurantiaca,1,0,0,0,0,0,0,0,3,5
M4-FUNG-0088,BGC0000818,Aspergillus versicolor,1,0,0,0,0,0,0,0,2,5
M4-FUNG-0089,BGC0000819,Penicillium fellutanum,1,0,0,0,0,0,0,0,3,4
M4-FUNG-0090,BGC0000894,Monascus aurantiacus,1,0,0,0,0,0,0,0,6,4
M4-FUNG-0091,BGC0000900,Aspergillus oryzae,1,0,0,0,0,0,0,0,2,3
M4-FUNG-0092,BGC0000901,Aspergillus niger,1,0,0,0,0,0,0,0,3,3
M4-FUNG-0093,BGC0000930,Fusarium graminearum (historical literature: Gibberella zeae),1,0,0,0,0,0,0,0,4,4
M4-FUNG-0094,BGC0000931,Fusarium graminearum,1,0,0,0,0,0,0,0,2,3
M4-FUNG-0095,BGC0000959,Aspergillus nidulans FGSC A4,1,0,0,0,0,0,0,0,4,4
M4-FUNG-0096,BGC0000968,Penicillium expansum,1,0,0,0,0,0,0,0,3,5
M4-FUNG-0097,BGC0000977,Aspergillus oryzae,1,0,0,0,0,0,0,0,3,2
M4-FUNG-0098,BGC0000983,Aspergillus clavatus NRRL 1,1,0,0,0,0,0,0,0,2,3
M4-FUNG-0099,BGC0000992,Fusarium heterosporum,1,0,0,0,0,0,0,0,2,0
M4-FUNG-0100,BGC0001026,Metarhizium robertsii; source atlas historical label M. anisopliae,2,0,0,0,0,0,0,0,2,0
M4-FUNG-0101,BGC0001030,Penicillium nordicum,1,0,0,0,0,0,0,0,2,0
M4-FUNG-0102,BGC0001035,Glarea lozoyensis ATCC 20868,1,0,0,0,0,0,0,0,2,0
M4-FUNG-0103,BGC0001037,Aspergillus fumigatus Af293,1,0,0,0,0,0,0,0,2,0
M4-FUNG-0104,BGC0001044,Leptosphaeria maculans,2,0,0,0,0,0,0,0,4,0
M4-FUNG-0105,BGC0001049,Beauveria bassiana,2,0,0,0,0,0,0,0,3,0
M4-FUNG-0106,BGC0001057,Fusarium graminearum (teleomorph historical literature: Gibberella zeae),1,0,0,0,0,0,0,0,2,0
M4-FUNG-0107,BGC0001067,Aspergillus fumigatus Af293,1,0,0,0,0,0,0,0,3,6
M4-FUNG-0108,BGC0001081,Epichloë festucae var. lolii; historical literature uses Neotyphodium lolii,1,0,0,0,0,0,0,0,4,4
M4-FUNG-0109,BGC0001082,Penicillium paxilli,1,0,0,0,0,0,0,0,4,4
M4-FUNG-0110,BGC0001084,Aspergillus sp. MF297-2,1,0,0,0,0,0,0,0,3,4
M4-FUNG-0111,BGC0001118,Aspergillus fumigatus Af293,1,0,0,0,0,0,0,0,3,5
M4-FUNG-0112,BGC0001121,Aspergillus nidulans FGSC A4,1,0,0,0,0,0,0,0,3,5
M4-FUNG-0113,BGC0001122,Aspergillus terreus NIH2624,1,0,0,0,0,0,0,0,2,5
M4-FUNG-0114,BGC0001123,Aspergillus oryzae RIB40,1,0,0,0,0,0,0,0,4,4
M4-FUNG-0115,BGC0001124,Aspergillus niger ATCC 1015,1,0,0,0,0,0,0,0,3,5
M4-FUNG-0116,BGC0001136,Beauveria bassiana,1,0,0,0,0,0,0,0,2,4
M4-FUNG-0117,BGC0001141,Penicillium brefeldianum,1,0,0,0,0,0,0,0,2,4
M4-FUNG-0118,BGC0001142,Penicillium aethiopicum,1,0,0,0,0,0,0,0,2,3
M4-FUNG-0119,BGC0001143,Aspergillus niger ATCC 1015,0,0,0,0,0,0,0,0,3,2
M4-FUNG-0120,BGC0001144,Trichophyton tonsurans CBS 112818,1,0,0,0,0,0,0,0,3,3
M4-FUNG-0121,BGC0001158,Botrytis cinerea,1,0,0,0,0,0,0,0,2,2
M4-FUNG-0122,BGC0001166,Alternaria jesenskae,1,0,0,0,0,0,0,0,3,2
M4-FUNG-0123,BGC0001187,Glarea lozoyensis,1,0,0,0,0,0,0,0,2,2
M4-FUNG-0124,BGC0001190,Fusarium verticillioides 7600,1,0,0,0,0,0,0,0,2,2
M4-FUNG-0125,BGC0001205,Penicillium expansum,0,0,0,0,0,0,0,0,3,2
M4-FUNG-0126,BGC0001218,Cordyceps fumosorosea,1,0,0,0,0,0,0,0,2,3
M4-FUNG-0127,BGC0001219,Chaetomium globosum CBS 148.51,1,0,0,0,0,2,0,1,3,7
M4-FUNG-0128,BGC0001220,Aspergillus japonicus,2,0,0,0,0,1,0,2,5,6
M4-FUNG-0129,BGC0001234,Aspergillus flavus NRRL3357,0,0,0,0,0,1,0,2,3,3
M4-FUNG-0130,BGC0001238,Aspergillus nidulans,1,0,0,0,0,0,1,1,4,5
M4-FUNG-0131,BGC0001239,Aspergillus nidulans,1,0,0,0,0,0,1,1,4,5
M4-FUNG-0132,BGC0001240,Metarhizium robertsii,1,0,0,0,0,0,0,2,4,6
M4-FUNG-0133,BGC0001241,Claviceps fusiformis,0,0,0,0,0,0,0,2,4,7
M4-FUNG-0134,BGC0001242,Fusarium fujikuroi,1,0,0,0,0,0,0,2,3,8
M4-FUNG-0135,BGC0001243,Botrytis cinerea,0,0,0,0,0,0,0,0,3,7
M4-FUNG-0136,BGC0001244,Parastagonospora nodorum,0,0,0,0,0,0,0,2,3,6
M4-FUNG-0137,BGC0001245,Lasiodiplodia theobromae,1,0,0,0,0,0,0,0,3,8
M4-FUNG-0138,BGC0001246,Sarocladium zeae (historical primary paper: Acremonium zeae),1,0,0,0,0,0,0,0,2,6
M4-FUNG-0139,BGC0001247,Cercospora nicotianae,1,0,0,0,0,0,0,0,4,6
M4-FUNG-0140,BGC0001248,Hypholoma sublateritium,1,0,0,0,0,0,0,0,3,5
M4-FUNG-0141,BGC0001249,Alternaria alternata,1,0,0,0,0,0,0,0,2,6
M4-FUNG-0142,BGC0001250,Epichloë festucae,1,0,0,0,0,0,0,0,4,7
M4-FUNG-0143,BGC0001251,Epichloë festucae,1,0,0,0,0,0,0,0,3,4
M4-FUNG-0144,BGC0001252,Alternaria alternata rough-lemon pathotype,1,0,0,0,0,0,0,0,3,6
M4-FUNG-0145,BGC0001253,Alternaria alternata tangerine pathotype,1,0,0,0,0,0,0,0,5,5
M4-FUNG-0146,BGC0001254,Alternaria alternata tangerine pathotype,1,0,0,0,0,0,0,0,6,7
M4-FUNG-0147,BGC0001255,Fusarium heterosporum,2,0,0,0,0,2,1,1,5,5
M4-FUNG-0148,BGC0001256,Tapinella panuoides,2,0,0,0,0,1,1,1,4,3
M4-FUNG-0149,BGC0001257,Nodulisporium sp. ATCC 74245,2,0,0,0,0,1,1,1,4,3
M4-FUNG-0150,BGC0001258,Glarea lozoyensis,1,0,0,0,0,1,1,1,4,3
M4-FUNG-0151,BGC0001259,Elsinoë fawcettii,2,0,0,0,0,2,1,1,5,4
M4-FUNG-0152,BGC0001260,Tolypocladium album; historical paper name Chaunopycnis alba,1,0,0,0,0,2,1,1,3,5
M4-FUNG-0153,BGC0001261,"Alternaria alternata, apple pathotype",2,0,0,0,0,1,1,1,3,3
M4-FUNG-0154,BGC0001262,"Alternaria alternata, Japanese-pear pathotype",3,0,0,0,0,2,1,1,4,5
M4-FUNG-0155,BGC0001263,Claviceps purpurea,1,0,0,0,0,1,1,2,3,4
M4-FUNG-0156,BGC0001264,Neocamarosporium betae; historical literature/MIBiG source name Phoma betae,2,0,0,0,0,2,1,1,3,4
M4-FUNG-0157,BGC0001265,Bipolaris oryzae,2,0,0,0,0,2,1,1,4,4
M4-FUNG-0158,BGC0001266,Cladonia grayi,2,0,0,0,0,2,1,1,3,5
M4-FUNG-0159,BGC0001267,Claviceps fusiformis,2,0,0,0,0,2,1,1,3,5
M4-FUNG-0160,BGC0001268,Fusarium fujikuroi,2,0,0,0,0,2,1,1,4,5
M4-FUNG-0161,BGC0001269,Sphaceloma manihoticola,2,0,0,0,0,2,1,1,3,5
M4-FUNG-0162,BGC0001270,Fusarium fujikuroi,2,0,0,0,0,2,1,1,4,5
M4-FUNG-0163,BGC0001271,Aspergillus nidulans FGSC A4,2,0,0,0,0,2,1,1,3,5
M4-FUNG-0164,BGC0001272,Elsinoë fawcettii,2,0,0,0,0,2,1,1,5,5
M4-FUNG-0165,BGC0001273,Aspergillus ochraceus in MIBiG; defining paper reports Aspergillus westerdijkiae,2,0,0,0,0,2,1,1,4,5
M4-FUNG-0166,BGC0001274,Starmerella bombicola (historical literature: Candida bombicola),2,0,0,0,0,2,1,1,4,5
M4-FUNG-0167,BGC0001275,Glarea lozoyensis,3,0,0,0,0,2,1,1,4,6
M4-FUNG-0168,BGC0001276,Aspergillus terreus,3,0,0,0,0,2,1,1,4,6
M4-FUNG-0169,BGC0001277,Fusarium graminearum,1,0,0,0,0,2,1,1,4,6
M4-FUNG-0170,BGC0001278,Fusarium sporotrichioides,1,0,0,0,0,2,1,1,4,6
M4-FUNG-0171,BGC0001279,Paramyrothecium roridum (historical Myrothecium roridum),1,0,0,0,0,2,1,1,4,6
M4-FUNG-0172,BGC0001280,historical Phoma betae,1,0,0,0,0,2,1,1,3,6
M4-FUNG-0173,BGC0001281,Ustilago maydis 521,1,0,0,0,0,2,1,1,4,6
M4-FUNG-0174,BGC0001282,Epichloë coenophiala,1,0,0,0,0,2,1,1,4,6
M4-FUNG-0175,BGC0001284,Parastagonospora nodorum SN15,1,0,0,0,0,2,1,1,3,5
M4-FUNG-0176,BGC0001286,Ustilago maydis,1,0,0,0,0,2,1,1,3,6
M4-FUNG-0177,BGC0001290,Aspergillus nidulans FGSC A4,1,0,0,0,0,2,1,1,3,5
M4-FUNG-0178,BGC0001304,Aspergillus flavus NRRL3357,1,0,0,0,0,2,1,1,3,5
M4-FUNG-0179,BGC0001305,Fusarium fujikuroi IMI 58289,1,0,0,0,0,2,1,1,3,5
M4-FUNG-0180,BGC0001306,Aspergillus flavus NRRL3357,1,0,0,0,0,2,1,1,3,5
M4-FUNG-0181,BGC0001309,Cladonia uncialis mycobiont,1,0,0,0,0,2,1,1,3,5
M4-FUNG-0182,BGC0001338,Monascus ruber,1,0,0,0,0,2,1,1,3,5
M4-FUNG-0183,BGC0001339,Phoma sp. MF5453,1,0,0,0,0,2,1,1,3,5
M4-FUNG-0184,BGC0001340,"Byssochlamys fulva, historical producer strain IMI 40021",1,0,0,0,0,2,1,1,4,5
M4-FUNG-0185,BGC0001358,Purpureocillium lilacinum,1,0,0,0,0,2,1,1,3,5
M4-FUNG-0186,BGC0001360,Penicillium roqueforti FM164,1,0,0,0,0,2,1,1,3,5
M4-FUNG-0187,BGC0001365,Claviceps purpurea 20.1,1,0,0,0,0,2,1,1,3,6
M4-FUNG-0188,BGC0001371,Aspergillus nidulans NRRL 8112,1,0,0,0,0,1,1,1,3,4
M4-FUNG-0189,BGC0001372,Penicillium thymicola,1,0,0,0,0,1,1,1,3,6
M4-FUNG-0190,BGC0001373,Sordaria araneosa,1,0,0,0,0,1,1,1,4,6
M4-FUNG-0191,BGC0001375,Penicillium simplicissimum,1,0,0,0,0,1,1,1,3,6
M4-FUNG-0192,BGC0001385,Byssochlamys fulva,1,0,0,0,0,1,1,1,3,6
M4-FUNG-0193,BGC0001390,Stachybotrys bisbyi,1,0,0,0,0,1,1,1,3,6
M4-FUNG-0194,BGC0001398,Phomopsis leptostromiformis,1,0,0,0,0,2,1,1,5,6
M4-FUNG-0195,BGC0001399,Aspergillus nidulans FGSC A4,1,0,0,0,0,2,1,1,3,5
M4-FUNG-0196,BGC0001400,Aspergillus terreus NIH2624 in the canonical record,1,0,0,0,0,1,1,1,3,5
M4-FUNG-0197,BGC0001401,Armillaria mellea,1,0,0,0,0,1,1,1,3,6
M4-FUNG-0198,BGC0001403,Aspergillus fumigatus Af293,1,0,0,0,0,1,1,1,5,6
M4-FUNG-0199,BGC0001404,Penicillium rubens Wisconsin 54-1255,1,0,0,0,0,1,1,1,4,6
M4-FUNG-0200,BGC0001405,Chaetomium globosum CBS 148.51,1,0,0,0,0,1,1,1,4,6
M4-FUNG-0201,BGC0001445,Aspergillus flavus NRRL 3357,1,0,0,0,0,1,1,1,3,6
M4-FUNG-0202,BGC0001446,Aspergillus flavus NRRL 3357,1,0,0,0,0,1,1,1,4,6
M4-FUNG-0203,BGC0001449,Thermothelomyces thermophilus,1,0,0,0,0,1,1,1,3,6
M4-FUNG-0204,BGC0001450,Penicillium terrestre,1,0,0,0,0,1,1,1,4,6
M4-FUNG-0205,BGC0001466,Talaromyces wortmannii,1,0,0,0,0,1,1,1,3,6
M4-FUNG-0206,BGC0001475,Aspergillus terreus NIH2624,1,0,0,0,0,1,1,1,3,6
M4-FUNG-0207,BGC0001481,Fusarium fujikuroi IMI 58289,1,0,0,0,0,1,1,1,3,6
M4-FUNG-0208,BGC0001489,Cladonia uncialis subsp. uncialis,1,0,0,0,0,1,1,1,3,6
M4-FUNG-0209,BGC0001508,Penicillium roqueforti,1,0,0,0,0,1,1,1,3,6
M4-FUNG-0210,BGC0001515,Aspergillus nidulans FGSC A4,1,0,0,0,0,1,1,1,3,6
M4-FUNG-0211,BGC0001516,Aspergillus flavus NRRL3357,1,0,0,0,0,1,1,1,3,6
M4-FUNG-0212,BGC0001517,Aspergillus terreus NIH2624,1,0,0,0,0,1,1,1,3,6
M4-FUNG-0213,BGC0001518,Aspergillus oryzae RIB40,1,0,0,0,0,1,1,1,3,6
M4-FUNG-0214,BGC0001527,Gelatoporia subvermispora,1,0,0,0,0,1,1,1,3,6
M4-FUNG-0215,BGC0001528,Historical record: Phoma betae,1,0,0,0,0,1,1,1,3,6
M4-FUNG-0216,BGC0001541,Cercospora beticola,1,0,0,0,0,1,1,1,3,6
M4-FUNG-0217,BGC0001542,Cercospora zeina,1,0,0,0,0,1,1,1,3,6
M4-FUNG-0218,BGC0001544,Aspergillus campestris IBT 28561,2,0,0,0,0,1,1,1,3,6
M4-FUNG-0219,BGC0001545,Fusarium graminearum PH-1,2,0,0,0,0,1,1,1,4,6
M4-FUNG-0220,BGC0001547,Aspergillus stellatus,2,0,0,0,0,1,1,1,3,6
M4-FUNG-0221,BGC0001557,"Canonical source: Paecilomyces divaricatus, TaxID 644132",2,0,0,0,0,1,1,1,3,6
M4-FUNG-0222,BGC0001563,"Canonical source: Cochliobolus pallescens, TaxID 318706",2,0,0,0,0,1,1,1,3,6
M4-FUNG-0223,BGC0001565,"Canonical source/MIBiG: Beauveria felina, TaxID 37994",2,0,0,0,0,1,1,1,3,6
M4-FUNG-0224,BGC0001571,Nodulisporium sp.,2,0,0,0,0,1,1,1,3,6
M4-FUNG-0225,BGC0001573,Claviceps africana,2,0,0,0,0,1,1,1,3,6
M4-FUNG-0226,BGC0001578,Talaromyces stipitatus ATCC 10500,2,0,0,0,0,1,1,1,3,6
M4-FUNG-0227,BGC0001585,Escovopsis weberi,2,0,0,0,0,1,1,1,4,6
M4-FUNG-0228,BGC0001600,Fusarium graminearum,2,0,0,0,0,1,1,1,4,6
M4-FUNG-0229,BGC0001604,Fusarium fujikuroi,2,0,0,0,0,1,1,1,4,6
M4-FUNG-0230,BGC0001606,Fusarium fujikuroi IMI 58289,2,0,0,0,0,1,1,1,3,6
M4-FUNG-0231,BGC0001609,Trichoderma virens Gv29-8,2,0,0,0,0,1,1,1,3,6
M4-FUNG-0232,BGC0001613,Trichoderma hypoxylon,2,0,0,0,0,1,1,1,4,6
M4-FUNG-0233,BGC0001616,Aspergillus japonicus,2,0,0,0,0,1,1,1,4,6
M4-FUNG-0234,BGC0001617,Stereum hirsutum FP-91666 SS1,2,0,0,0,0,1,1,1,3,6
M4-FUNG-0235,BGC0001621,Aspergillus flavus NRRL3357,2,0,0,0,0,1,1,1,3,6
M4-FUNG-0236,BGC0001624,Pestalotiopsis fici,2,0,0,0,0,1,1,1,6,6
M4-FUNG-0237,BGC0001626,Stachybotrys chlorohalonata IBT 40285,2,0,0,0,0,1,1,1,3,6
M4-FUNG-0238,BGC0001636,Curvularia clavata,3,0,0,0,0,1,1,0,3,0
M4-FUNG-0239,BGC0001642,Fusarium fujikuroi IMI 58289,2,0,0,0,0,1,1,0,3,0
M4-FUNG-0240,BGC0001659,Fusarium equiseti,2,0,0,0,0,1,1,0,3,0
M4-FUNG-0241,BGC0001668,Aspergillus nidulans FGSC A4,3,0,0,0,0,1,1,0,4,0
M4-FUNG-0242,BGC0001677,Penicillium roqueforti,3,0,0,0,0,1,1,0,4,0
M4-FUNG-0243,BGC0001679,Aspergillus nidulans FGSC A4,3,0,0,0,0,1,1,0,4,0
M4-FUNG-0244,BGC0001691,Thelonectria discophora,3,0,0,0,0,1,1,0,4,0
M4-FUNG-0245,BGC0001697,Neurospora crassa OR74A,3,0,0,0,0,1,1,0,4,0
M4-FUNG-0246,BGC0001699,Aspergillus nidulans FGSC A4,3,0,0,0,0,1,1,0,4,0
M4-FUNG-0247,BGC0001706,Hypoxylon pulicicidum,3,0,0,0,0,1,1,0,4,0
M4-FUNG-0248,BGC0001708,Aspergillus novofumigatus IBT 16806,3,0,0,0,0,1,1,0,4,0
M4-FUNG-0249,BGC0001712,Aspergillus steynii IBT 23096,3,0,0,0,0,1,1,0,4,0
M4-FUNG-0250,BGC0001717,Penicillium simplicissimum,3,0,0,0,0,1,1,0,4,0
M4-FUNG-0251,BGC0001718,Aspergillus aculeatus ATCC 16872,3,0,0,0,0,1,1,0,4,0
M4-FUNG-0252,BGC0001720,Beauveria bassiana ARSEF 2860,3,0,0,0,0,1,1,0,4,0
M4-FUNG-0253,BGC0001722,Aspergillus nidulans FGSC A4,3,0,0,0,0,1,1,0,4,0
M4-FUNG-0254,BGC0001724,Penicillium oxalicum 114-2,3,0,0,0,0,1,1,0,4,0
M4-FUNG-0255,BGC0001729,Penicillium brasilianum,3,0,0,0,0,1,1,0,4,0
M4-FUNG-0256,BGC0001734,historical record: Aspergillus sp.; original isolation: Penicillium sp. CNL-338; later pathway study: Aspergillus flavipes CNL-338,3,0,0,0,0,1,1,0,4,0
M4-FUNG-0257,BGC0001738,Pyrenochaetopsis sp.,3,0,0,0,0,1,1,0,4,0
M4-FUNG-0258,BGC0001741,Phyllosticta cirsii,3,0,0,0,0,1,1,0,4,0
M4-FUNG-0259,BGC0001749,Pyricularia oryzae 70-15 (pathway paper uses Magnaporthe oryzae),3,0,0,0,0,1,1,0,4,0
M4-FUNG-0260,BGC0001768,current taxonomy: Fusarium vanettenii 77-13-4; historical/MIBiG: [Nectria] haematococca mpVI 77-13-4 / Fusarium solani,3,0,0,0,0,1,1,0,4,0
M4-FUNG-0261,BGC0001775,Cordana terrestris,3,0,0,0,0,1,1,0,4,0
M4-FUNG-0262,BGC0001776,Penicillium janthinellum,3,0,0,0,0,1,1,0,4,0
M4-FUNG-0263,BGC0001793,Chaetothyriaceae sp.,3,0,0,0,0,1,1,0,4,0
