assertion_id,dossier_id,section,field,value_raw,missingness_state,source_ids,source_row,feature_policy
M4-FUNG-0001:A7,M4-FUNG-0001,RECORD_CONTROL,schema_version,0.2,PRESENT,,7,administrative_excluded
M4-FUNG-0001:A8,M4-FUNG-0001,RECORD_CONTROL,dossier_id,M4-FUNG-0001,PRESENT,,8,administrative_excluded
M4-FUNG-0001:A9,M4-FUNG-0001,RECORD_CONTROL,sheet_record_status,validated_record,PRESENT,,9,administrative_excluded
M4-FUNG-0001:A10,M4-FUNG-0001,RECORD_CONTROL,annotation_status,deep_validated,PRESENT,,10,administrative_excluded
M4-FUNG-0001:A11,M4-FUNG-0001,RECORD_CONTROL,annotation_date,46244,PRESENT,,11,administrative_excluded
M4-FUNG-0001:A12,M4-FUNG-0001,RECORD_CONTROL,inference,,UNSET,,12,administrative_excluded
M4-FUNG-0001:A13,M4-FUNG-0001,RECORD_CONTROL,last_reviewed_date,2026-08-14,PRESENT,,13,administrative_excluded
M4-FUNG-0001:A17,M4-FUNG-0001,RECORD_IDENTITY,source_database,MIBiG,PRESENT,,17,candidate_biological_feature
M4-FUNG-0001:A18,M4-FUNG-0001,RECORD_IDENTITY,mibig_accession,BGC0000003,PRESENT,S001,18,candidate_biological_feature
M4-FUNG-0001:A19,M4-FUNG-0001,RECORD_IDENTITY,mibig_version,3,PRESENT,S001,19,candidate_biological_feature
M4-FUNG-0001:A20,M4-FUNG-0001,RECORD_IDENTITY,mibig_record_status,active,PRESENT,S001,20,provenance_only
M4-FUNG-0001:A21,M4-FUNG-0001,RECORD_IDENTITY,source_native_category_value,SQ_A,PRESENT,S001,21,provenance_only
M4-FUNG-0001:A22,M4-FUNG-0001,RECORD_IDENTITY,mibig_completeness,unknown,UNCERTAIN,S001,22,provenance_only
M4-FUNG-0001:A23,M4-FUNG-0001,RECORD_IDENTITY,primary_reference_doi,10.1007/s10327-004-0170-3,PRESENT,S001; S002,23,candidate_biological_feature
M4-FUNG-0001:A24,M4-FUNG-0001,RECORD_IDENTITY,primary_reference_year,2005,PRESENT,S001; S002,24,candidate_biological_feature
M4-FUNG-0001:A25,M4-FUNG-0001,RECORD_IDENTITY,primary_reference_source_id,S002,PRESENT,,25,provenance_only
M4-FUNG-0001:A29,M4-FUNG-0001,ORGANISM_AND_CONTEXT,organism_name,Alternaria alternata,PRESENT,S001,29,candidate_biological_feature
M4-FUNG-0001:A30,M4-FUNG-0001,ORGANISM_AND_CONTEXT,strain_primary,NAF8,PRESENT,S002; S003,30,candidate_biological_feature
M4-FUNG-0001:A31,M4-FUNG-0001,ORGANISM_AND_CONTEXT,other_strains_studied,YM-19,PRESENT,S004,31,candidate_biological_feature
M4-FUNG-0001:A32,M4-FUNG-0001,ORGANISM_AND_CONTEXT,ncbi_taxon_id,5599,PRESENT,S001,32,candidate_biological_feature
M4-FUNG-0001:A33,M4-FUNG-0001,ORGANISM_AND_CONTEXT,phylum,Ascomycota,PRESENT,S001,33,candidate_biological_feature
M4-FUNG-0001:A34,M4-FUNG-0001,ORGANISM_AND_CONTEXT,class,Dothideomycetes,PRESENT,S005,34,candidate_biological_feature
M4-FUNG-0001:A35,M4-FUNG-0001,ORGANISM_AND_CONTEXT,order,Pleosporales,PRESENT,S005,35,candidate_biological_feature
M4-FUNG-0001:A36,M4-FUNG-0001,ORGANISM_AND_CONTEXT,family,Pleosporaceae,PRESENT,S005,36,candidate_biological_feature
M4-FUNG-0001:A37,M4-FUNG-0001,ORGANISM_AND_CONTEXT,genus,Alternaria,PRESENT,S001,37,candidate_biological_feature
M4-FUNG-0001:A38,M4-FUNG-0001,ORGANISM_AND_CONTEXT,pathotype_or_ecotype,Strawberry pathotype,PRESENT,S002; S003; S004,38,candidate_biological_feature
M4-FUNG-0001:A39,M4-FUNG-0001,ORGANISM_AND_CONTEXT,ecological_lifestyle,Plant-pathogenic fungus,PRESENT,S002; S003; S004,39,candidate_biological_feature
