assertion_id,dossier_id,section,field,value_raw,missingness_state,source_ids,source_row,feature_policy
M4-FUNG-0001:A40,M4-FUNG-0001,ORGANISM_AND_CONTEXT,host_or_environment,Strawberry host; laboratory fungal culture and conidial germination assays,PRESENT,S002; S003; S004,40,candidate_biological_feature
M4-FUNG-0001:A41,M4-FUNG-0001,ORGANISM_AND_CONTEXT,geographic_origin_if_reported,NR,NR,S002; S003,41,candidate_biological_feature
M4-FUNG-0001:A45,M4-FUNG-0001,SEQUENCE_AND_GENOMIC_ARCHITECTURE,primary_sequence_accession,AB179766.1,PRESENT,S001,45,candidate_biological_feature
M4-FUNG-0001:A46,M4-FUNG-0001,SEQUENCE_AND_GENOMIC_ARCHITECTURE,reported_start_bp,1,PRESENT,S001,46,candidate_biological_feature
M4-FUNG-0001:A47,M4-FUNG-0001,SEQUENCE_AND_GENOMIC_ARCHITECTURE,reported_end_bp,37168,PRESENT,S001,47,candidate_biological_feature
M4-FUNG-0001:A48,M4-FUNG-0001,SEQUENCE_AND_GENOMIC_ARCHITECTURE,reported_length_bp,37168,PRESENT,,48,candidate_biological_feature
M4-FUNG-0001:A49,M4-FUNG-0001,SEQUENCE_AND_GENOMIC_ARCHITECTURE,mibig_bgc_class,PKS (Unknown),PRESENT,S001,49,candidate_biological_feature
M4-FUNG-0001:A50,M4-FUNG-0001,SEQUENCE_AND_GENOMIC_ARCHITECTURE,refined_bgc_class,PKS-containing AF-toxin biosynthetic programme,PRESENT,S002; S003,50,candidate_biological_feature
M4-FUNG-0001:A51,M4-FUNG-0001,SEQUENCE_AND_GENOMIC_ARCHITECTURE,reported_bgc_boundary,AB179766.1:1-37168,PRESENT,,51,candidate_biological_feature
M4-FUNG-0001:A52,M4-FUNG-0001,SEQUENCE_AND_GENOMIC_ARCHITECTURE,functional_programme_boundary,Extends beyond current MIBiG segment; incompletely delimited,PRESENT,S001; S002; S003,52,candidate_biological_feature
M4-FUNG-0001:A53,M4-FUNG-0001,SEQUENCE_AND_GENOMIC_ARCHITECTURE,chromosome_context,~1.05 Mb conditionally dispensable/accessory chromosome carrying multicopy AFT homologs in NAF8,PRESENT,S003,53,candidate_biological_feature
M4-FUNG-0001:A54,M4-FUNG-0001,SEQUENCE_AND_GENOMIC_ARCHITECTURE,accessory_chromosome_status,yes,PRESENT,S003,54,candidate_biological_feature
M4-FUNG-0001:A55,M4-FUNG-0001,SEQUENCE_AND_GENOMIC_ARCHITECTURE,copy_number_context,multicopy AFT loci reported in NAF8,PRESENT,S002; S003,55,candidate_biological_feature
M4-FUNG-0001:A56,M4-FUNG-0001,SEQUENCE_AND_GENOMIC_ARCHITECTURE,transposon_or_repeat_context,NR,NR,S001; S003,56,candidate_biological_feature
M4-FUNG-0001:A57,M4-FUNG-0001,SEQUENCE_AND_GENOMIC_ARCHITECTURE,boundary_confidence,low,PRESENT,S001; S002; S003,57,provenance_only
M4-FUNG-0001:A58,M4-FUNG-0001,SEQUENCE_AND_GENOMIC_ARCHITECTURE,pathway_identity_confidence,high,PRESENT,S001; S002; S003,58,provenance_only
M4-FUNG-0001:A62,M4-FUNG-0001,PRODUCT_AND_BIOLOGICAL_ROLE,product_family,AF-toxins,PRESENT,S001,62,candidate_biological_feature
M4-FUNG-0001:A63,M4-FUNG-0001,PRODUCT_AND_BIOLOGICAL_ROLE,primary_product,AF-toxin,PRESENT,S001; S002,63,candidate_biological_feature
M4-FUNG-0001:A64,M4-FUNG-0001,PRODUCT_AND_BIOLOGICAL_ROLE,known_congeners,AF-toxin I; AF-toxin II; AF-toxin III,PRESENT,S002; S004,64,candidate_biological_feature
M4-FUNG-0001:A65,M4-FUNG-0001,PRODUCT_AND_BIOLOGICAL_ROLE,chemical_class,Polyketide-associated host-selective phytotoxin family,PRESENT,S001; S002,65,candidate_biological_feature
M4-FUNG-0001:A66,M4-FUNG-0001,PRODUCT_AND_BIOLOGICAL_ROLE,biological_role,Host-selective phytotoxin / virulence-associated metabolite,PRESENT,S002; S003; S004,66,candidate_biological_feature
M4-FUNG-0001:A67,M4-FUNG-0001,PRODUCT_AND_BIOLOGICAL_ROLE,bioactivity_summary,Host-selective phytotoxicity associated with strawberry-pathotype pathogenicity and early host recognition,PRESENT,S002; S003; S004,67,context_or_outcome
M4-FUNG-0001:A68,M4-FUNG-0001,PRODUCT_AND_BIOLOGICAL_ROLE,native_pathway_state,naturally active in toxigenic strains; strongly developmental- and strain-dependent,PRESENT,S002; S004,68,context_or_outcome
M4-FUNG-0001:A69,M4-FUNG-0001,PRODUCT_AND_BIOLOGICAL_ROLE,silent_or_cryptic_label_appropriate,no,PRESENT,S002; S004,69,context_or_outcome
M4-FUNG-0001:A70,M4-FUNG-0001,PRODUCT_AND_BIOLOGICAL_ROLE,extracellular_recovery,yes,PRESENT,S004,70,context_or_outcome
M4-FUNG-0001:A71,M4-FUNG-0001,PRODUCT_AND_BIOLOGICAL_ROLE,structure_identification_level,congener structures reported,PRESENT,,71,context_or_outcome
M4-FUNG-0001:A72,M4-FUNG-0001,PRODUCT_AND_BIOLOGICAL_ROLE,known_product_identifiers,NR,NR,S001; S002,72,candidate_biological_feature
M4-FUNG-0001:A76,M4-FUNG-0001,ACTIVATION_AND_CONTEXT_MODIFIERS,activation_intervention_required,none in native germination-associated production experiments,PRESENT,S004,76,context_or_outcome
M4-FUNG-0001:A77,M4-FUNG-0001,ACTIVATION_AND_CONTEXT_MODIFIERS,productive_developmental_state,germinating conidia / early infection-associated state,PRESENT,S004,77,context_or_outcome
M4-FUNG-0001:A78,M4-FUNG-0001,ACTIVATION_AND_CONTEXT_MODIFIERS,physiological_state,NR,NR,S002; S003; S004,78,context_or_outcome
M4-FUNG-0001:A79,M4-FUNG-0001,ACTIVATION_AND_CONTEXT_MODIFIERS,environmental_trigger,NR,NR,S002; S003; S004,79,context_or_outcome
M4-FUNG-0001:A80,M4-FUNG-0001,ACTIVATION_AND_CONTEXT_MODIFIERS,ecological_trigger,NR,NR,S002; S003; S004,80,context_or_outcome
M4-FUNG-0001:A81,M4-FUNG-0001,ACTIVATION_AND_CONTEXT_MODIFIERS,temporal_window,AF-toxin I is detectable within the first 6 h of YM-19 conidial germination; AF-toxin II remains minor and AF-toxin III was not detected within 18 h,PRESENT,S004,81,context_or_outcome
M4-FUNG-0001:A82,M4-FUNG-0001,ACTIVATION_AND_CONTEXT_MODIFIERS,history_dependence,NR,NR,S002; S003; S004,82,context_or_outcome
M4-FUNG-0001:A83,M4-FUNG-0001,ACTIVATION_AND_CONTEXT_MODIFIERS,spatial_context,NR,NR,S002; S003; S004,83,context_or_outcome
M4-FUNG-0001:A84,M4-FUNG-0001,ACTIVATION_AND_CONTEXT_MODIFIERS,culture_architecture,"native fungal culture, targeted genetics, and conidial germination assays",PRESENT,S002; S003; S004,84,context_or_outcome
M4-FUNG-0001:A89,M4-FUNG-0001,EVIDENCE_SUMMARY,candidate_bgc_credibility,high,PRESENT,S002; S003,89,provenance_only
M4-FUNG-0001:A90,M4-FUNG-0001,EVIDENCE_SUMMARY,coordinated_transcription_evidence,"moderate: transcripts of all pcAFT-2 ORFs were detected, but coordinated regulatory control was not directly established",PRESENT,S002,90,provenance_only
M4-FUNG-0001:A91,M4-FUNG-0001,EVIDENCE_SUMMARY,biochemical_execution_evidence,moderate,PRESENT,S002; S003,91,provenance_only
M4-FUNG-0001:A92,M4-FUNG-0001,EVIDENCE_SUMMARY,product_formation_evidence,high,PRESENT,S002; S004,92,provenance_only
M4-FUNG-0001:A93,M4-FUNG-0001,EVIDENCE_SUMMARY,product_recovery_evidence,high at analytical scale,PRESENT,S004,93,context_or_outcome
M4-FUNG-0001:A94,M4-FUNG-0001,EVIDENCE_SUMMARY,bgc_product_attribution,high at programme/chromosome level,PRESENT,S002; S003,94,provenance_only
M4-FUNG-0001:A95,M4-FUNG-0001,EVIDENCE_SUMMARY,gene_product_attribution,high for AFT10-1; low-to-moderate for most other pcAFT-2 genes,PRESENT,S001; S002,95,provenance_only
M4-FUNG-0001:A96,M4-FUNG-0001,EVIDENCE_SUMMARY,complete_pathway_reconstruction,no,PRESENT,S001; S002; S003,96,provenance_only
M4-FUNG-0001:A97,M4-FUNG-0001,EVIDENCE_SUMMARY,major_unresolved_question,What is the minimum complete genetic programme sufficient for AF-toxin biosynthesis?,PRESENT,,97,candidate_biological_feature
M4-FUNG-0001:A98,M4-FUNG-0001,EVIDENCE_SUMMARY,major_database_problem,The 37.168-kb MIBiG segment is likely not the full functional AFT programme.,PRESENT,S001; S002; S003,98,provenance_only
M4-FUNG-0001:A99,M4-FUNG-0001,EVIDENCE_SUMMARY,best_use_case_for_atlas,Native pathway execution; developmental timing; congener genetics; genotype–metabolite–pathogenicity coupling,PRESENT,S001; S002; S003,99,provenance_only
M4-FUNG-0001:A100,M4-FUNG-0001,EVIDENCE_SUMMARY,overall_note,"High-confidence AF-toxin pathway association, but low-confidence completeness/boundary assignment. Do not treat BGC0000003 as an assumed complete pathway.",PRESENT,S001; S002; S003,100,provenance_only
M4-FUNG-0002:A7,M4-FUNG-0002,RECORD_CONTROL,schema_version,0.2,PRESENT,,7,administrative_excluded
M4-FUNG-0002:A8,M4-FUNG-0002,RECORD_CONTROL,dossier_id,M4-FUNG-0002,PRESENT,,8,administrative_excluded
M4-FUNG-0002:A9,M4-FUNG-0002,RECORD_CONTROL,sheet_record_status,validated_record,PRESENT,,9,administrative_excluded
M4-FUNG-0002:A10,M4-FUNG-0002,RECORD_CONTROL,annotation_status,deep_validated,PRESENT,,10,administrative_excluded
M4-FUNG-0002:A11,M4-FUNG-0002,RECORD_CONTROL,annotation_date,46244,PRESENT,,11,administrative_excluded
M4-FUNG-0002:A12,M4-FUNG-0002,RECORD_CONTROL,inference,,UNSET,,12,administrative_excluded
M4-FUNG-0002:A13,M4-FUNG-0002,RECORD_CONTROL,last_reviewed_date,2026-08-14,PRESENT,,13,administrative_excluded
M4-FUNG-0002:A17,M4-FUNG-0002,RECORD_IDENTITY,source_database,MIBiG,PRESENT,,17,candidate_biological_feature
M4-FUNG-0002:A18,M4-FUNG-0002,RECORD_IDENTITY,mibig_accession,BGC0000004,PRESENT,S001,18,candidate_biological_feature
M4-FUNG-0002:A19,M4-FUNG-0002,RECORD_IDENTITY,mibig_version,3,PRESENT,S001,19,candidate_biological_feature
M4-FUNG-0002:A20,M4-FUNG-0002,RECORD_IDENTITY,mibig_record_status,active,PRESENT,S001,20,provenance_only
M4-FUNG-0002:A21,M4-FUNG-0002,RECORD_IDENTITY,source_native_category_value,SQ_A,PRESENT,S001,21,provenance_only
M4-FUNG-0002:A22,M4-FUNG-0002,RECORD_IDENTITY,mibig_completeness,unknown,UNCERTAIN,S001,22,provenance_only
M4-FUNG-0002:A23,M4-FUNG-0002,RECORD_IDENTITY,primary_reference_doi,10.1128/AEM.72.1.484-490.2006,PRESENT,S001; S002,23,candidate_biological_feature
M4-FUNG-0002:A24,M4-FUNG-0002,RECORD_IDENTITY,primary_reference_year,2006,PRESENT,S001; S002,24,candidate_biological_feature
M4-FUNG-0002:A25,M4-FUNG-0002,RECORD_IDENTITY,primary_reference_source_id,S002,PRESENT,,25,provenance_only
M4-FUNG-0002:A29,M4-FUNG-0002,ORGANISM_AND_CONTEXT,organism_name,Aspergillus oryzae,PRESENT,S001,29,candidate_biological_feature
M4-FUNG-0002:A30,M4-FUNG-0002,ORGANISM_AND_CONTEXT,strain_primary,RIB40,PRESENT,S002; S003,30,candidate_biological_feature
M4-FUNG-0002:A31,M4-FUNG-0002,ORGANISM_AND_CONTEXT,other_strains_studied,other RIB group-1 strains; RIB67; RIB62; related RIB40-type A. flavus isolates,PRESENT,S002; S003; S004; S005,31,candidate_biological_feature
M4-FUNG-0002:A32,M4-FUNG-0002,ORGANISM_AND_CONTEXT,ncbi_taxon_id,5062,PRESENT,S006,32,candidate_biological_feature
M4-FUNG-0002:A33,M4-FUNG-0002,ORGANISM_AND_CONTEXT,phylum,Ascomycota,PRESENT,S006,33,candidate_biological_feature
M4-FUNG-0002:A34,M4-FUNG-0002,ORGANISM_AND_CONTEXT,class,Eurotiomycetes,PRESENT,S006,34,candidate_biological_feature
M4-FUNG-0002:A35,M4-FUNG-0002,ORGANISM_AND_CONTEXT,order,Eurotiales,PRESENT,S006,35,candidate_biological_feature
M4-FUNG-0002:A36,M4-FUNG-0002,ORGANISM_AND_CONTEXT,family,Aspergillaceae,PRESENT,S006,36,candidate_biological_feature
M4-FUNG-0002:A37,M4-FUNG-0002,ORGANISM_AND_CONTEXT,genus,Aspergillus,PRESENT,S006,37,candidate_biological_feature
M4-FUNG-0002:A38,M4-FUNG-0002,ORGANISM_AND_CONTEXT,pathotype_or_ecotype,domesticated koji mold; RIB group 1,PRESENT,S002; S003,38,candidate_biological_feature
M4-FUNG-0002:A39,M4-FUNG-0002,ORGANISM_AND_CONTEXT,ecological_lifestyle,domesticated saprotrophic food-fermentation fungus,PRESENT,S002; S003,39,candidate_biological_feature
M4-FUNG-0002:A40,M4-FUNG-0002,ORGANISM_AND_CONTEXT,host_or_environment,food-fermentation environment; RIB40 reported from fava bean in a soy sauce factory,PRESENT,S002; S003,40,candidate_biological_feature
M4-FUNG-0002:A41,M4-FUNG-0002,ORGANISM_AND_CONTEXT,geographic_origin_if_reported,Japan,PRESENT,S002; S003,41,candidate_biological_feature
M4-FUNG-0002:A45,M4-FUNG-0002,SEQUENCE_AND_GENOMIC_ARCHITECTURE,primary_sequence_accession,AB196490.1,PRESENT,S001,45,candidate_biological_feature
M4-FUNG-0002:A46,M4-FUNG-0002,SEQUENCE_AND_GENOMIC_ARCHITECTURE,reported_start_bp,1,PRESENT,S001,46,candidate_biological_feature
M4-FUNG-0002:A47,M4-FUNG-0002,SEQUENCE_AND_GENOMIC_ARCHITECTURE,reported_end_bp,89641,PRESENT,S001,47,candidate_biological_feature
M4-FUNG-0002:A48,M4-FUNG-0002,SEQUENCE_AND_GENOMIC_ARCHITECTURE,reported_length_bp,89641,PRESENT,S001,48,candidate_biological_feature
M4-FUNG-0002:A49,M4-FUNG-0002,SEQUENCE_AND_GENOMIC_ARCHITECTURE,mibig_bgc_class,PKS (Unknown),PRESENT,S001,49,candidate_biological_feature
M4-FUNG-0002:A50,M4-FUNG-0002,SEQUENCE_AND_GENOMIC_ARCHITECTURE,refined_bgc_class,Type I iterative PKS-containing aflatoxin biosynthesis homolog cluster,PRESENT,S002; S003,50,candidate_biological_feature
M4-FUNG-0002:A51,M4-FUNG-0002,SEQUENCE_AND_GENOMIC_ARCHITECTURE,reported_bgc_boundary,AB196490.1:1-89641,PRESENT,S001,51,candidate_biological_feature
M4-FUNG-0002:A52,M4-FUNG-0002,SEQUENCE_AND_GENOMIC_ARCHITECTURE,functional_programme_boundary,"Aflatoxin biosynthesis homolog cluster; pathway-family identity is clear, but functional competence is disrupted in RIB40",PRESENT,S002; S003,52,candidate_biological_feature
M4-FUNG-0002:A53,M4-FUNG-0002,SEQUENCE_AND_GENOMIC_ARCHITECTURE,chromosome_context,subtelomeric aflatoxin-cluster region on chromosome 3 of A. oryzae RIB40,PRESENT,S008,53,candidate_biological_feature
M4-FUNG-0002:A54,M4-FUNG-0002,SEQUENCE_AND_GENOMIC_ARCHITECTURE,accessory_chromosome_status,no,PRESENT,S008,54,candidate_biological_feature
M4-FUNG-0002:A55,M4-FUNG-0002,SEQUENCE_AND_GENOMIC_ARCHITECTURE,copy_number_context,NR,NR,,55,candidate_biological_feature
M4-FUNG-0002:A56,M4-FUNG-0002,SEQUENCE_AND_GENOMIC_ARCHITECTURE,transposon_or_repeat_context,NR,NR,,56,candidate_biological_feature
M4-FUNG-0002:A57,M4-FUNG-0002,SEQUENCE_AND_GENOMIC_ARCHITECTURE,boundary_confidence,moderate-high for accession-defined record; functional completeness uncertain,PRESENT,S001; S002; S003; S004,57,provenance_only
M4-FUNG-0002:A58,M4-FUNG-0002,SEQUENCE_AND_GENOMIC_ARCHITECTURE,pathway_identity_confidence,high,PRESENT,S001; S002; S003; S004,58,provenance_only
M4-FUNG-0002:A62,M4-FUNG-0002,PRODUCT_AND_BIOLOGICAL_ROLE,product_family,aflatoxins,PRESENT,S001,62,candidate_biological_feature
M4-FUNG-0002:A63,M4-FUNG-0002,PRODUCT_AND_BIOLOGICAL_ROLE,primary_product,aflatoxin G1 (MIBiG annotation; not demonstrated as a native RIB40 product),PRESENT,S001; S002; S007,63,candidate_biological_feature
M4-FUNG-0002:A64,M4-FUNG-0002,PRODUCT_AND_BIOLOGICAL_ROLE,known_congeners,aflatoxin pathway homolog; MIBiG links aflatoxin G1,PRESENT,S001; S002,64,candidate_biological_feature
M4-FUNG-0002:A65,M4-FUNG-0002,PRODUCT_AND_BIOLOGICAL_ROLE,chemical_class,polyketide-derived aflatoxin family,PRESENT,S001; S002; S007,65,candidate_biological_feature
M4-FUNG-0002:A66,M4-FUNG-0002,PRODUCT_AND_BIOLOGICAL_ROLE,biological_role,mycotoxin pathway homolog; native RIB40 is non-aflatoxigenic,PRESENT,S002; S003; S004,66,candidate_biological_feature
M4-FUNG-0002:A67,M4-FUNG-0002,PRODUCT_AND_BIOLOGICAL_ROLE,bioactivity_summary,Aflatoxins are potent mycotoxins; no native aflatoxin production by RIB40 is established in the defining studies.,PRESENT,S002; S004; S007,67,context_or_outcome
M4-FUNG-0002:A68,M4-FUNG-0002,PRODUCT_AND_BIOLOGICAL_ROLE,native_pathway_state,"nonproductive / transcriptionally uncoordinated under tested conditions, with disabling regulatory and structural lesions",PRESENT,S002; S003,68,context_or_outcome
M4-FUNG-0002:A69,M4-FUNG-0002,PRODUCT_AND_BIOLOGICAL_ROLE,silent_or_cryptic_label_appropriate,no — not a clean silent BGC; low pathway transcription coexists with loss-of-function lesions,PRESENT,S002; S003,69,context_or_outcome
M4-FUNG-0002:A70,M4-FUNG-0002,PRODUCT_AND_BIOLOGICAL_ROLE,extracellular_recovery,no native RIB40 aflatoxin product documented in the cited evidence,PRESENT,S002; S004,70,context_or_outcome
M4-FUNG-0002:A71,M4-FUNG-0002,PRODUCT_AND_BIOLOGICAL_ROLE,structure_identification_level,aflatoxin G1 structure established independently; native RIB40 product not demonstrated,PRESENT,S001; S002; S007,71,context_or_outcome
M4-FUNG-0002:A72,M4-FUNG-0002,PRODUCT_AND_BIOLOGICAL_ROLE,known_product_identifiers,NR,NR,,72,candidate_biological_feature
M4-FUNG-0002:A76,M4-FUNG-0002,ACTIVATION_AND_CONTEXT_MODIFIERS,activation_intervention_required,no successful complete activation demonstrated; forced-expression experiments were diagnostic rather than full pathway rescue,PRESENT,S002; S003,76,context_or_outcome
M4-FUNG-0002:A77,M4-FUNG-0002,ACTIVATION_AND_CONTEXT_MODIFIERS,productive_developmental_state,NR,NR,,77,context_or_outcome
M4-FUNG-0002:A78,M4-FUNG-0002,ACTIVATION_AND_CONTEXT_MODIFIERS,physiological_state,RIB40 remained nonproductive under tested aflatoxin-permissive culture conditions,PRESENT,S002; S003,78,context_or_outcome
M4-FUNG-0002:A79,M4-FUNG-0002,ACTIVATION_AND_CONTEXT_MODIFIERS,environmental_trigger,YES medium at 30°C for 2 days did not yield coordinated downstream transcription,PRESENT,S002; S003,79,context_or_outcome
M4-FUNG-0002:A80,M4-FUNG-0002,ACTIVATION_AND_CONTEXT_MODIFIERS,ecological_trigger,NR,NR,,80,context_or_outcome
M4-FUNG-0002:A81,M4-FUNG-0002,ACTIVATION_AND_CONTEXT_MODIFIERS,temporal_window,2 days in the primary transcription assay,PRESENT,S002; S003,81,context_or_outcome
M4-FUNG-0002:A82,M4-FUNG-0002,ACTIVATION_AND_CONTEXT_MODIFIERS,history_dependence,NR,NR,,82,context_or_outcome
M4-FUNG-0002:A83,M4-FUNG-0002,ACTIVATION_AND_CONTEXT_MODIFIERS,spatial_context,NR,NR,,83,context_or_outcome
M4-FUNG-0002:A84,M4-FUNG-0002,ACTIVATION_AND_CONTEXT_MODIFIERS,culture_architecture,laboratory fungal culture in YES medium; exact vessel architecture not retained in the core expression result,PRESENT,,84,context_or_outcome
M4-FUNG-0002:A89,M4-FUNG-0002,EVIDENCE_SUMMARY,candidate_bgc_credibility,high as an aflatoxin-homologous BGC,PRESENT,S002; S003,89,provenance_only
M4-FUNG-0002:A90,M4-FUNG-0002,EVIDENCE_SUMMARY,coordinated_transcription_evidence,absent under the tested RIB40 condition,PRESENT,S002; S003,90,provenance_only
M4-FUNG-0002:A91,M4-FUNG-0002,EVIDENCE_SUMMARY,biochemical_execution_evidence,absent / not demonstrated in RIB40,PRESENT,S002; S003,91,provenance_only
M4-FUNG-0002:A92,M4-FUNG-0002,EVIDENCE_SUMMARY,product_formation_evidence,negative for native RIB40,PRESENT,S002; S003,92,provenance_only
M4-FUNG-0002:A93,M4-FUNG-0002,EVIDENCE_SUMMARY,product_recovery_evidence,negative / none for RIB40,PRESENT,S002; S003,93,context_or_outcome
M4-FUNG-0002:A94,M4-FUNG-0002,EVIDENCE_SUMMARY,bgc_product_attribution,high pathway-family attribution by homology; absent direct native RIB40 product formation,PRESENT,S001; S002; S003; S004,94,provenance_only
M4-FUNG-0002:A95,M4-FUNG-0002,EVIDENCE_SUMMARY,gene_product_attribution,high for AflJ/AflS regulatory loss-of-function; variable for other lesions,PRESENT,S002; S003,95,provenance_only
M4-FUNG-0002:A96,M4-FUNG-0002,EVIDENCE_SUMMARY,complete_pathway_reconstruction,no,PRESENT,,96,provenance_only
M4-FUNG-0002:A97,M4-FUNG-0002,EVIDENCE_SUMMARY,major_unresolved_question,"Would repair/replacement of AflJ/AflS plus restoration of coordinated transcription suffice for complete aflatoxin biosynthesis in RIB40, or do additional lesions prevent pathway execution?",PRESENT,S001; S002; S003; S004,97,candidate_biological_feature
M4-FUNG-0002:A98,M4-FUNG-0002,EVIDENCE_SUMMARY,major_database_problem,"MIBiG labels the RIB40 locus with aflatoxin G1 although the defining organism-level evidence shows an inactive, non-aflatoxigenic cluster; compound-structure evidence is not equivalent to native RIB40 BGC-product evidence.",PRESENT,S001; S002; S003; S004,98,provenance_only
M4-FUNG-0002:A99,M4-FUNG-0002,EVIDENCE_SUMMARY,best_use_case_for_atlas,"Canonical negative-access case separating pathway homology from functional biosynthetic access; useful for distinguishing transcriptional, regulator-protein, and structural pathway defects.",PRESENT,S001; S002; S003; S004,99,provenance_only
M4-FUNG-0002:A100,M4-FUNG-0002,EVIDENCE_SUMMARY,overall_note,"High-confidence aflatoxin-homologous locus, but RIB40 is non-aflatoxigenic. In YES medium at 30°C for 2 d, aflR is weakly expressed (~11.6% of producer control) while key downstream genes are undetectable. Later genetics implicates AflJ/AflS loss-of-function. Treat as a degenerated/nonproductive pathway, not simply a silent but intact BGC.",PRESENT,S001; S002; S003; S004,100,provenance_only
M4-FUNG-0003:A7,M4-FUNG-0003,RECORD_CONTROL,schema_version,0.2,PRESENT,,7,administrative_excluded
M4-FUNG-0003:A8,M4-FUNG-0003,RECORD_CONTROL,dossier_id,M4-FUNG-0003,PRESENT,,8,administrative_excluded
M4-FUNG-0003:A9,M4-FUNG-0003,RECORD_CONTROL,sheet_record_status,validated_record,PRESENT,,9,administrative_excluded
M4-FUNG-0003:A10,M4-FUNG-0003,RECORD_CONTROL,annotation_status,deep_validated,PRESENT,,10,administrative_excluded
M4-FUNG-0003:A11,M4-FUNG-0003,RECORD_CONTROL,annotation_date,46244,PRESENT,,11,administrative_excluded
M4-FUNG-0003:A12,M4-FUNG-0003,RECORD_CONTROL,inference,,UNSET,,12,administrative_excluded
M4-FUNG-0003:A13,M4-FUNG-0003,RECORD_CONTROL,last_reviewed_date,2026-08-14,PRESENT,,13,administrative_excluded
M4-FUNG-0003:A17,M4-FUNG-0003,RECORD_IDENTITY,source_database,MIBiG,PRESENT,,17,candidate_biological_feature
