facet_id,dossier_id,facet_axis,raw_value,missingness_state,normalized_value,normalization_status,source_ids,source_row
M4-FUNG-0001:taxonomy.phylum:33,M4-FUNG-0001,taxonomy.phylum,Ascomycota,PRESENT,Ascomycota,exact_taxonomic_string,S001,33
M4-FUNG-0001:taxonomy.class:34,M4-FUNG-0001,taxonomy.class,Dothideomycetes,PRESENT,Dothideomycetes,exact_taxonomic_string,S005,34
M4-FUNG-0001:taxonomy.order:35,M4-FUNG-0001,taxonomy.order,Pleosporales,PRESENT,Pleosporales,exact_taxonomic_string,S005,35
M4-FUNG-0001:taxonomy.family:36,M4-FUNG-0001,taxonomy.family,Pleosporaceae,PRESENT,Pleosporaceae,exact_taxonomic_string,S005,36
M4-FUNG-0001:taxonomy.genus:37,M4-FUNG-0001,taxonomy.genus,Alternaria,PRESENT,Alternaria,exact_taxonomic_string,S001,37
M4-FUNG-0001:organism.pathotype_or_ecotype:38,M4-FUNG-0001,organism.pathotype_or_ecotype,Strawberry pathotype,PRESENT,,unreviewed,S002; S003; S004,38
M4-FUNG-0001:ecology.lifestyle:39,M4-FUNG-0001,ecology.lifestyle,Plant-pathogenic fungus,PRESENT,,unreviewed,S002; S003; S004,39
M4-FUNG-0001:ecology.host_or_environment:40,M4-FUNG-0001,ecology.host_or_environment,Strawberry host; laboratory fungal culture and conidial germination assays,PRESENT,,unreviewed,S002; S003; S004,40
M4-FUNG-0001:biosynthesis.database_class:49,M4-FUNG-0001,biosynthesis.database_class,PKS (Unknown),PRESENT,,unreviewed,S001,49
M4-FUNG-0001:biosynthesis.refined_class:50,M4-FUNG-0001,biosynthesis.refined_class,PKS-containing AF-toxin biosynthetic programme,PRESENT,,unreviewed,S002; S003,50
M4-FUNG-0001:genome.chromosome_context:53,M4-FUNG-0001,genome.chromosome_context,~1.05 Mb conditionally dispensable/accessory chromosome carrying multicopy AFT homologs in NAF8,PRESENT,,unreviewed,S003,53
M4-FUNG-0001:genome.accessory_chromosome_status:54,M4-FUNG-0001,genome.accessory_chromosome_status,yes,PRESENT,yes,exact_binary_string,S003,54
M4-FUNG-0001:genome.copy_number_context:55,M4-FUNG-0001,genome.copy_number_context,multicopy AFT loci reported in NAF8,PRESENT,,unreviewed,S002; S003,55
M4-FUNG-0001:genome.repeat_context:56,M4-FUNG-0001,genome.repeat_context,NR,NR,,missingness_only,S001; S003,56
M4-FUNG-0001:chemistry.product_family:62,M4-FUNG-0001,chemistry.product_family,AF-toxins,PRESENT,,unreviewed,S001,62
M4-FUNG-0001:chemistry.primary_product:63,M4-FUNG-0001,chemistry.primary_product,AF-toxin,PRESENT,,unreviewed,S001; S002,63
M4-FUNG-0001:chemistry.chemical_class:65,M4-FUNG-0001,chemistry.chemical_class,Polyketide-associated host-selective phytotoxin family,PRESENT,,unreviewed,S001; S002,65
M4-FUNG-0001:biology.biological_role:66,M4-FUNG-0001,biology.biological_role,Host-selective phytotoxin / virulence-associated metabolite,PRESENT,,unreviewed,S002; S003; S004,66
M4-FUNG-0001:activation.native_pathway_state:68,M4-FUNG-0001,activation.native_pathway_state,naturally active in toxigenic strains; strongly developmental- and strain-dependent,PRESENT,,unreviewed,S002; S004,68
M4-FUNG-0001:activation.extracellular_recovery:70,M4-FUNG-0001,activation.extracellular_recovery,yes,PRESENT,,unreviewed,S004,70
M4-FUNG-0001:activation.productive_developmental_state:77,M4-FUNG-0001,activation.productive_developmental_state,germinating conidia / early infection-associated state,PRESENT,,unreviewed,S004,77
M4-FUNG-0001:activation.physiological_state:78,M4-FUNG-0001,activation.physiological_state,NR,NR,,missingness_only,S002; S003; S004,78
M4-FUNG-0001:activation.environmental_trigger:79,M4-FUNG-0001,activation.environmental_trigger,NR,NR,,missingness_only,S002; S003; S004,79
