facet_id,dossier_id,facet_axis,raw_value,missingness_state,normalized_value,normalization_status,source_ids,source_row
M4-FUNG-0001:activation.ecological_trigger:80,M4-FUNG-0001,activation.ecological_trigger,NR,NR,,missingness_only,S002; S003; S004,80
M4-FUNG-0001:activation.temporal_window:81,M4-FUNG-0001,activation.temporal_window,AF-toxin I is detectable within the first 6 h of YM-19 conidial germination; AF-toxin II remains minor and AF-toxin III was not detected within 18 h,PRESENT,,unreviewed,S004,81
M4-FUNG-0001:activation.spatial_context:83,M4-FUNG-0001,activation.spatial_context,NR,NR,,missingness_only,S002; S003; S004,83
M4-FUNG-0001:activation.culture_architecture:84,M4-FUNG-0001,activation.culture_architecture,"native fungal culture, targeted genetics, and conidial germination assays",PRESENT,,unreviewed,S002; S003; S004,84
M4-FUNG-0002:taxonomy.phylum:33,M4-FUNG-0002,taxonomy.phylum,Ascomycota,PRESENT,Ascomycota,exact_taxonomic_string,S006,33
M4-FUNG-0002:taxonomy.class:34,M4-FUNG-0002,taxonomy.class,Eurotiomycetes,PRESENT,Eurotiomycetes,exact_taxonomic_string,S006,34
M4-FUNG-0002:taxonomy.order:35,M4-FUNG-0002,taxonomy.order,Eurotiales,PRESENT,Eurotiales,exact_taxonomic_string,S006,35
M4-FUNG-0002:taxonomy.family:36,M4-FUNG-0002,taxonomy.family,Aspergillaceae,PRESENT,Aspergillaceae,exact_taxonomic_string,S006,36
M4-FUNG-0002:taxonomy.genus:37,M4-FUNG-0002,taxonomy.genus,Aspergillus,PRESENT,Aspergillus,exact_taxonomic_string,S006,37
M4-FUNG-0002:organism.pathotype_or_ecotype:38,M4-FUNG-0002,organism.pathotype_or_ecotype,domesticated koji mold; RIB group 1,PRESENT,,unreviewed,S002; S003,38
M4-FUNG-0002:ecology.lifestyle:39,M4-FUNG-0002,ecology.lifestyle,domesticated saprotrophic food-fermentation fungus,PRESENT,,unreviewed,S002; S003,39
M4-FUNG-0002:ecology.host_or_environment:40,M4-FUNG-0002,ecology.host_or_environment,food-fermentation environment; RIB40 reported from fava bean in a soy sauce factory,PRESENT,,unreviewed,S002; S003,40
M4-FUNG-0002:biosynthesis.database_class:49,M4-FUNG-0002,biosynthesis.database_class,PKS (Unknown),PRESENT,,unreviewed,S001,49
M4-FUNG-0002:biosynthesis.refined_class:50,M4-FUNG-0002,biosynthesis.refined_class,Type I iterative PKS-containing aflatoxin biosynthesis homolog cluster,PRESENT,,unreviewed,S002; S003,50
M4-FUNG-0002:genome.chromosome_context:53,M4-FUNG-0002,genome.chromosome_context,subtelomeric aflatoxin-cluster region on chromosome 3 of A. oryzae RIB40,PRESENT,,unreviewed,S008,53
M4-FUNG-0002:genome.accessory_chromosome_status:54,M4-FUNG-0002,genome.accessory_chromosome_status,no,PRESENT,no,exact_binary_string,S008,54
M4-FUNG-0002:genome.copy_number_context:55,M4-FUNG-0002,genome.copy_number_context,NR,NR,,missingness_only,,55
M4-FUNG-0002:genome.repeat_context:56,M4-FUNG-0002,genome.repeat_context,NR,NR,,missingness_only,,56
M4-FUNG-0002:chemistry.product_family:62,M4-FUNG-0002,chemistry.product_family,aflatoxins,PRESENT,,unreviewed,S001,62
M4-FUNG-0002:chemistry.primary_product:63,M4-FUNG-0002,chemistry.primary_product,aflatoxin G1 (MIBiG annotation; not demonstrated as a native RIB40 product),PRESENT,,unreviewed,S001; S002; S007,63
M4-FUNG-0002:chemistry.chemical_class:65,M4-FUNG-0002,chemistry.chemical_class,polyketide-derived aflatoxin family,PRESENT,,unreviewed,S001; S002; S007,65
M4-FUNG-0002:biology.biological_role:66,M4-FUNG-0002,biology.biological_role,mycotoxin pathway homolog; native RIB40 is non-aflatoxigenic,PRESENT,,unreviewed,S002; S003; S004,66
M4-FUNG-0002:activation.native_pathway_state:68,M4-FUNG-0002,activation.native_pathway_state,"nonproductive / transcriptionally uncoordinated under tested conditions, with disabling regulatory and structural lesions",PRESENT,,unreviewed,S002; S003,68
M4-FUNG-0002:activation.extracellular_recovery:70,M4-FUNG-0002,activation.extracellular_recovery,no native RIB40 aflatoxin product documented in the cited evidence,PRESENT,,unreviewed,S002; S004,70
M4-FUNG-0002:activation.productive_developmental_state:77,M4-FUNG-0002,activation.productive_developmental_state,NR,NR,,missingness_only,,77
M4-FUNG-0002:activation.physiological_state:78,M4-FUNG-0002,activation.physiological_state,RIB40 remained nonproductive under tested aflatoxin-permissive culture conditions,PRESENT,,unreviewed,S002; S003,78
M4-FUNG-0002:activation.environmental_trigger:79,M4-FUNG-0002,activation.environmental_trigger,YES medium at 30°C for 2 days did not yield coordinated downstream transcription,PRESENT,,unreviewed,S002; S003,79
M4-FUNG-0002:activation.ecological_trigger:80,M4-FUNG-0002,activation.ecological_trigger,NR,NR,,missingness_only,,80
M4-FUNG-0002:activation.temporal_window:81,M4-FUNG-0002,activation.temporal_window,2 days in the primary transcription assay,PRESENT,,unreviewed,S002; S003,81
M4-FUNG-0002:activation.spatial_context:83,M4-FUNG-0002,activation.spatial_context,NR,NR,,missingness_only,,83
M4-FUNG-0002:activation.culture_architecture:84,M4-FUNG-0002,activation.culture_architecture,laboratory fungal culture in YES medium; exact vessel architecture not retained in the core expression result,PRESENT,,unreviewed,,84
M4-FUNG-0003:taxonomy.phylum:33,M4-FUNG-0003,taxonomy.phylum,Ascomycota,PRESENT,Ascomycota,exact_taxonomic_string,S002,33
M4-FUNG-0003:taxonomy.class:34,M4-FUNG-0003,taxonomy.class,Eurotiomycetes,PRESENT,Eurotiomycetes,exact_taxonomic_string,S002,34
M4-FUNG-0003:taxonomy.order:35,M4-FUNG-0003,taxonomy.order,Eurotiales,PRESENT,Eurotiales,exact_taxonomic_string,S002,35
M4-FUNG-0003:taxonomy.family:36,M4-FUNG-0003,taxonomy.family,Aspergillaceae,PRESENT,Aspergillaceae,exact_taxonomic_string,S002,36
M4-FUNG-0003:taxonomy.genus:37,M4-FUNG-0003,taxonomy.genus,Aspergillus,PRESENT,Aspergillus,exact_taxonomic_string,S002,37
M4-FUNG-0003:organism.pathotype_or_ecotype:38,M4-FUNG-0003,organism.pathotype_or_ecotype,aflatoxigenic reference strain,PRESENT,,unreviewed,,38
M4-FUNG-0003:ecology.lifestyle:39,M4-FUNG-0003,ecology.lifestyle,saprotrophic filamentous fungus; food/feed-associated mycotoxin producer,PRESENT,,unreviewed,,39
M4-FUNG-0003:ecology.host_or_environment:40,M4-FUNG-0003,ecology.host_or_environment,agricultural/food-associated substrates; exact isolation environment of the sequence record not required for pathway assignment,PRESENT,,unreviewed,,40
M4-FUNG-0003:biosynthesis.database_class:49,M4-FUNG-0003,biosynthesis.database_class,PKS,PRESENT,,unreviewed,S001; S002,49
M4-FUNG-0003:biosynthesis.refined_class:50,M4-FUNG-0003,biosynthesis.refined_class,Type I iterative PKS-containing aflatoxin biosynthetic gene cluster,PRESENT,,unreviewed,S003; S004; S006; S008; S009; S010,50
M4-FUNG-0003:genome.chromosome_context:53,M4-FUNG-0003,genome.chromosome_context,clustered chromosomal locus with experimentally demonstrated chromosomal-position dependence of pathway-gene expression,PRESENT,,unreviewed,S008,53
M4-FUNG-0003:genome.accessory_chromosome_status:54,M4-FUNG-0003,genome.accessory_chromosome_status,NR,NR,,missingness_only,,54
M4-FUNG-0003:genome.copy_number_context:55,M4-FUNG-0003,genome.copy_number_context,partial duplicated aflatoxin-cluster module also present in ATCC 56775; several duplicated copies are degenerated/nonfunctional,PRESENT,,unreviewed,S010,55
M4-FUNG-0003:genome.repeat_context:56,M4-FUNG-0003,genome.repeat_context,NR,NR,,missingness_only,,56
M4-FUNG-0003:chemistry.product_family:62,M4-FUNG-0003,chemistry.product_family,aflatoxins,PRESENT,,unreviewed,S001; S002,62
M4-FUNG-0003:chemistry.primary_product:63,M4-FUNG-0003,chemistry.primary_product,"aflatoxins B1, B2, G1 and G2",PRESENT,,unreviewed,S003,63
M4-FUNG-0003:chemistry.chemical_class:65,M4-FUNG-0003,chemistry.chemical_class,polyketide-derived difuranocoumarin mycotoxins,PRESENT,,unreviewed,,65
M4-FUNG-0003:biology.biological_role:66,M4-FUNG-0003,biology.biological_role,secondary metabolites / mycotoxins,PRESENT,,unreviewed,,66
M4-FUNG-0003:activation.native_pathway_state:68,M4-FUNG-0003,activation.native_pathway_state,naturally productive under aflatoxin-inducing conditions,PRESENT,,unreviewed,S003; S004; S006; S008; S009; S010,68
M4-FUNG-0003:activation.extracellular_recovery:70,M4-FUNG-0003,activation.extracellular_recovery,culture-extract recovery demonstrated; precise intra/extracellular partition varies by experiment and is not uniformly reported,PRESENT,,unreviewed,,70
M4-FUNG-0003:activation.productive_developmental_state:77,M4-FUNG-0003,activation.productive_developmental_state,production rises around transition from active growth toward stationary phase in a nor-1 reporter time-course,PRESENT,,unreviewed,S008,77
M4-FUNG-0003:activation.physiological_state:78,M4-FUNG-0003,activation.physiological_state,nutrient- and growth-state responsive,PRESENT,,unreviewed,,78
M4-FUNG-0003:activation.environmental_trigger:79,M4-FUNG-0003,activation.environmental_trigger,YES is aflatoxin-inducing in reporter studies; nitrate can suppress pathway expression/production,PRESENT,,unreviewed,S003; S004; S006; S008; S009; S010,79
M4-FUNG-0003:activation.ecological_trigger:80,M4-FUNG-0003,activation.ecological_trigger,NR,NR,,missingness_only,,80
M4-FUNG-0003:activation.temporal_window:81,M4-FUNG-0003,activation.temporal_window,nor-1 transcript and aflatoxin absent at 24 h but high at 48–72 h in one YES time-course,PRESENT,,unreviewed,S003; S004; S006; S008; S009; S010,81
M4-FUNG-0003:activation.spatial_context:83,M4-FUNG-0003,activation.spatial_context,chromosomal integration position strongly affects nor-1 reporter expression,PRESENT,,unreviewed,S003; S004; S006; S008; S009; S010,83
M4-FUNG-0003:activation.culture_architecture:84,M4-FUNG-0003,activation.culture_architecture,submerged laboratory fungal cultures used across pathway-function studies,PRESENT,,unreviewed,,84
M4-FUNG-0004:taxonomy.phylum:33,M4-FUNG-0004,taxonomy.phylum,Ascomycota,PRESENT,Ascomycota,exact_taxonomic_string,S010,33
M4-FUNG-0004:taxonomy.class:34,M4-FUNG-0004,taxonomy.class,Eurotiomycetes,PRESENT,Eurotiomycetes,exact_taxonomic_string,S010,34
M4-FUNG-0004:taxonomy.order:35,M4-FUNG-0004,taxonomy.order,Eurotiales,PRESENT,Eurotiales,exact_taxonomic_string,S010,35
M4-FUNG-0004:taxonomy.family:36,M4-FUNG-0004,taxonomy.family,Aspergillaceae,PRESENT,Aspergillaceae,exact_taxonomic_string,S010,36
M4-FUNG-0004:taxonomy.genus:37,M4-FUNG-0004,taxonomy.genus,Aspergillus,PRESENT,Aspergillus,exact_taxonomic_string,S010,37
M4-FUNG-0004:organism.pathotype_or_ecotype:38,M4-FUNG-0004,organism.pathotype_or_ecotype,L-morphology; toxigenic B-type producer; MAT1-2; VCG YV13,PRESENT,,unreviewed,S003; S004; S005; S006; S008,38
M4-FUNG-0004:ecology.lifestyle:39,M4-FUNG-0004,ecology.lifestyle,soil saprotroph and opportunistic crop-associated plant pathogen / seed colonizer,PRESENT,,unreviewed,,39
M4-FUNG-0004:ecology.host_or_environment:40,M4-FUNG-0004,ecology.host_or_environment,"AF13 isolated from cotton-field soil; experimentally studied on cottonseed, cotton bolls, peanut kernels and crop-mimic media",PRESENT,,unreviewed,S003; S004; S005; S006; S008,40
M4-FUNG-0004:biosynthesis.database_class:49,M4-FUNG-0004,biosynthesis.database_class,PKS (Unknown),PRESENT,,unreviewed,S001; S002,49
M4-FUNG-0004:biosynthesis.refined_class:50,M4-FUNG-0004,biosynthesis.refined_class,Type I iterative PKS-containing B-aflatoxin biosynthetic gene cluster,PRESENT,,unreviewed,,50
M4-FUNG-0004:genome.chromosome_context:53,M4-FUNG-0004,genome.chromosome_context,"chromosomal nuclear BGC; a chromosome-arm AF13 reference genome is available, but exact legacy AY510451-to-current-chromosome mapping was not resolved in this acquisition pass",PRESENT,,unreviewed,,53
M4-FUNG-0004:genome.accessory_chromosome_status:54,M4-FUNG-0004,genome.accessory_chromosome_status,NF,NF,,missingness_only,,54
M4-FUNG-0004:genome.copy_number_context:55,M4-FUNG-0004,genome.copy_number_context,NR,NR,,missingness_only,,55
M4-FUNG-0004:genome.repeat_context:56,M4-FUNG-0004,genome.repeat_context,NR,NR,,missingness_only,,56
M4-FUNG-0004:chemistry.product_family:62,M4-FUNG-0004,chemistry.product_family,aflatoxins,PRESENT,,unreviewed,S001; S002,62
M4-FUNG-0004:chemistry.primary_product:63,M4-FUNG-0004,chemistry.primary_product,aflatoxin B1 and aflatoxin B2,PRESENT,,unreviewed,S001; S002,63
M4-FUNG-0004:chemistry.chemical_class:65,M4-FUNG-0004,chemistry.chemical_class,polyketide-derived difuranocoumarin mycotoxins,PRESENT,,unreviewed,,65
M4-FUNG-0004:biology.biological_role:66,M4-FUNG-0004,biology.biological_role,secondary metabolites / mycotoxins associated with crop colonization,PRESENT,,unreviewed,,66
M4-FUNG-0004:activation.native_pathway_state:68,M4-FUNG-0004,activation.native_pathway_state,naturally active and highly productive under conducive conditions,PRESENT,,unreviewed,S003; S004; S005; S006; S008,68
M4-FUNG-0004:activation.extracellular_recovery:70,M4-FUNG-0004,activation.extracellular_recovery,"mixed / assay-dependent; several AF13 studies extract whole cultures or seed matrices, so intra- versus extracellular partition is not consistently resolved",PRESENT,,unreviewed,,70
M4-FUNG-0004:activation.productive_developmental_state:77,M4-FUNG-0004,activation.productive_developmental_state,"carbon/nutrient composition, cottonseed lipids and carbohydrates, host-seed substrate and oxidative-stress context",PRESENT,,unreviewed,S005; S006; S007,77
M4-FUNG-0004:activation.physiological_state:78,M4-FUNG-0004,activation.physiological_state,highly aflatoxigenic and comparatively oxidative-stress tolerant; pathway output changes strongly with substrate and stress context,PRESENT,,unreviewed,,78
M4-FUNG-0004:activation.environmental_trigger:79,M4-FUNG-0004,activation.environmental_trigger,"carbon/nutrient composition, cottonseed lipids and carbohydrates, host-seed substrate, pH and oxidative-stress context",PRESENT,,unreviewed,S003; S004; S005; S006; S008,79
M4-FUNG-0004:activation.ecological_trigger:80,M4-FUNG-0004,activation.ecological_trigger,competition with atoxigenic A. flavus can markedly suppress AF13-associated aflatoxin contamination in host tissue,PRESENT,,unreviewed,S003; S004; S005; S006; S008,80
M4-FUNG-0004:activation.temporal_window:81,M4-FUNG-0004,activation.temporal_window,"7-day cottonseed-reserve time course: AFB1 increased from day 1, peaked at day 5 and declined thereafter",PRESENT,,unreviewed,S003; S004; S005; S006; S008,81
M4-FUNG-0004:activation.spatial_context:83,M4-FUNG-0004,activation.spatial_context,"liquid culture, ground cottonseed, developing cotton bolls and peanut kernels yield different aflatoxin phenotypes",PRESENT,,unreviewed,S003; S004; S005; S006; S008,83
M4-FUNG-0004:activation.culture_architecture:84,M4-FUNG-0004,activation.culture_architecture,submerged shake flasks; seed-matrix assays; peanut-kernel screening assays; developing cotton-boll inoculations,PRESENT,,unreviewed,S003; S004; S005; S006; S008,84
M4-FUNG-0005:taxonomy.phylum:33,M4-FUNG-0005,taxonomy.phylum,Ascomycota,PRESENT,Ascomycota,exact_taxonomic_string,S009,33
M4-FUNG-0005:taxonomy.class:34,M4-FUNG-0005,taxonomy.class,Eurotiomycetes,PRESENT,Eurotiomycetes,exact_taxonomic_string,S009,34
M4-FUNG-0005:taxonomy.order:35,M4-FUNG-0005,taxonomy.order,Eurotiales,PRESENT,Eurotiales,exact_taxonomic_string,S009,35
M4-FUNG-0005:taxonomy.family:36,M4-FUNG-0005,taxonomy.family,Aspergillaceae,PRESENT,Aspergillaceae,exact_taxonomic_string,S009,36
M4-FUNG-0005:taxonomy.genus:37,M4-FUNG-0005,taxonomy.genus,Aspergillus,PRESENT,Aspergillus,exact_taxonomic_string,S009,37
M4-FUNG-0005:organism.pathotype_or_ecotype:38,M4-FUNG-0005,organism.pathotype_or_ecotype,historically West African S_BG small-sclerotial aflatoxin producer,PRESENT,,unreviewed,S002; S003,38
M4-FUNG-0005:ecology.lifestyle:39,M4-FUNG-0005,ecology.lifestyle,soil-associated saprotrophic crop-colonizing aflatoxigenic fungus,PRESENT,,unreviewed,S002; S007,39
M4-FUNG-0005:ecology.host_or_environment:40,M4-FUNG-0005,ecology.host_or_environment,agricultural-field soil,PRESENT,,unreviewed,S002; S007,40
M4-FUNG-0005:biosynthesis.database_class:49,M4-FUNG-0005,biosynthesis.database_class,PKS (Unknown),PRESENT,,unreviewed,S001,49
M4-FUNG-0005:biosynthesis.refined_class:50,M4-FUNG-0005,biosynthesis.refined_class,Type I iterative PKS-containing B/G-aflatoxin biosynthetic gene cluster,PRESENT,,unreviewed,S004; S006,50
M4-FUNG-0005:genome.chromosome_context:53,M4-FUNG-0005,genome.chromosome_context,chromosomal aflatoxin locus; exact modern chromosome mapping not resolved in this pass,PRESENT,,unreviewed,,53
M4-FUNG-0005:genome.accessory_chromosome_status:54,M4-FUNG-0005,genome.accessory_chromosome_status,NF,NF,,missingness_only,,54
M4-FUNG-0005:genome.copy_number_context:55,M4-FUNG-0005,genome.copy_number_context,NR,NR,,missingness_only,,55
M4-FUNG-0005:genome.repeat_context:56,M4-FUNG-0005,genome.repeat_context,NR,NR,,missingness_only,,56
M4-FUNG-0005:chemistry.product_family:62,M4-FUNG-0005,chemistry.product_family,aflatoxins,PRESENT,,unreviewed,S001,62
M4-FUNG-0005:chemistry.primary_product:63,M4-FUNG-0005,chemistry.primary_product,aflatoxin B1 and aflatoxin G1,PRESENT,,unreviewed,S001; S002; S003,63
M4-FUNG-0005:chemistry.chemical_class:65,M4-FUNG-0005,chemistry.chemical_class,polyketide-derived difuranocoumarin mycotoxins,PRESENT,,unreviewed,S006,65
M4-FUNG-0005:biology.biological_role:66,M4-FUNG-0005,biology.biological_role,secondary metabolites / mycotoxins,PRESENT,,unreviewed,S002; S006,66
M4-FUNG-0005:activation.native_pathway_state:68,M4-FUNG-0005,activation.native_pathway_state,naturally active but strongly condition-dependent,PRESENT,,unreviewed,S002; S003; S005,68
M4-FUNG-0005:activation.extracellular_recovery:70,M4-FUNG-0005,activation.extracellular_recovery,culture-filtrate extraction demonstrated,PRESENT,,unreviewed,S002,70
M4-FUNG-0005:activation.productive_developmental_state:77,M4-FUNG-0005,activation.productive_developmental_state,vegetative submerged growth in 4–5-day fermentations,PRESENT,,unreviewed,S002; S005,77
M4-FUNG-0005:activation.physiological_state:78,M4-FUNG-0005,activation.physiological_state,strongly responsive to nitrogen source and extracellular pH,PRESENT,,unreviewed,S002; S003; S005,78
M4-FUNG-0005:activation.environmental_trigger:79,M4-FUNG-0005,activation.environmental_trigger,urea strongly supports B1/G1 relative to ammonium in BN008R; buffered nitrate suppresses S_BG aflatoxin output; moderately acidic pH can suppress rather than stimulate BN008R,PRESENT,,unreviewed,S002; S003; S005,79
M4-FUNG-0005:activation.ecological_trigger:80,M4-FUNG-0005,activation.ecological_trigger,NR,NR,,missingness_only,,80
M4-FUNG-0005:activation.temporal_window:81,M4-FUNG-0005,activation.temporal_window,4-day pH experiments; 5-day nitrogen-source fermentations,PRESENT,,unreviewed,S002; S005,81
M4-FUNG-0005:activation.spatial_context:83,M4-FUNG-0005,activation.spatial_context,submerged shake-flask culture,PRESENT,,unreviewed,S002; S005,83
M4-FUNG-0005:activation.culture_architecture:84,M4-FUNG-0005,activation.culture_architecture,70-mL defined-medium fermentations in 250-mL flasks for nitrogen-source study; buffered minimal-salts cultures for pH study,PRESENT,,unreviewed,S002; S005,84
M4-FUNG-0006:taxonomy.phylum:33,M4-FUNG-0006,taxonomy.phylum,Ascomycota,PRESENT,Ascomycota,exact_taxonomic_string,S002,33
M4-FUNG-0006:taxonomy.class:34,M4-FUNG-0006,taxonomy.class,Eurotiomycetes,PRESENT,Eurotiomycetes,exact_taxonomic_string,S002,34
M4-FUNG-0006:taxonomy.order:35,M4-FUNG-0006,taxonomy.order,Eurotiales,PRESENT,Eurotiales,exact_taxonomic_string,S002,35
M4-FUNG-0006:taxonomy.family:36,M4-FUNG-0006,taxonomy.family,Aspergillaceae,PRESENT,Aspergillaceae,exact_taxonomic_string,S002,36
M4-FUNG-0006:taxonomy.genus:37,M4-FUNG-0006,taxonomy.genus,Aspergillus,PRESENT,Aspergillus,exact_taxonomic_string,S002,37
M4-FUNG-0006:organism.pathotype_or_ecotype:38,M4-FUNG-0006,organism.pathotype_or_ecotype,"S-morphotype; small-sclerotial, highly aflatoxigenic reference isolate",PRESENT,,unreviewed,S003; S005,38
M4-FUNG-0006:ecology.lifestyle:39,M4-FUNG-0006,ecology.lifestyle,soil saprotroph and crop-colonizing opportunistic plant pathogen,PRESENT,,unreviewed,S003; S005; S006,39
M4-FUNG-0006:ecology.host_or_environment:40,M4-FUNG-0006,ecology.host_or_environment,soil from a Pima cotton field; later studied on maize/corn substrates and laboratory media,PRESENT,,unreviewed,S003; S005; S006,40
M4-FUNG-0006:biosynthesis.database_class:49,M4-FUNG-0006,biosynthesis.database_class,PKS (Unknown),PRESENT,,unreviewed,S001,49
M4-FUNG-0006:biosynthesis.refined_class:50,M4-FUNG-0006,biosynthesis.refined_class,Type I iterative PKS-containing B-aflatoxin biosynthetic gene cluster,PRESENT,,unreviewed,S004; S005,50
M4-FUNG-0006:genome.chromosome_context:53,M4-FUNG-0006,genome.chromosome_context,"nuclear chromosomal BGC; AF70 reference assembly GCA_000952835.1 is contig-level (924 contigs), so exact chromosome placement is unresolved in that assembly",PRESENT,,unreviewed,S002,53
M4-FUNG-0006:genome.accessory_chromosome_status:54,M4-FUNG-0006,genome.accessory_chromosome_status,NF,NF,,missingness_only,,54
M4-FUNG-0006:genome.copy_number_context:55,M4-FUNG-0006,genome.copy_number_context,NR,NR,,missingness_only,,55
M4-FUNG-0006:genome.repeat_context:56,M4-FUNG-0006,genome.repeat_context,NR,NR,,missingness_only,,56
M4-FUNG-0006:chemistry.product_family:62,M4-FUNG-0006,chemistry.product_family,aflatoxins,PRESENT,,unreviewed,S001,62
M4-FUNG-0006:chemistry.primary_product:63,M4-FUNG-0006,chemistry.primary_product,aflatoxin B1 and aflatoxin B2,PRESENT,,unreviewed,S001; S005,63
M4-FUNG-0006:chemistry.chemical_class:65,M4-FUNG-0006,chemistry.chemical_class,polyketide-derived difuranocoumarin mycotoxins,PRESENT,,unreviewed,S004,65
M4-FUNG-0006:biology.biological_role:66,M4-FUNG-0006,biology.biological_role,secondary metabolites / mycotoxins associated with crop contamination,PRESENT,,unreviewed,S003; S005; S006,66
M4-FUNG-0006:activation.native_pathway_state:68,M4-FUNG-0006,activation.native_pathway_state,"naturally active; output varies strongly with substrate, pH and developmental/global-regulatory state",PRESENT,,unreviewed,S005; S006; S007; S008; S010,68
M4-FUNG-0006:activation.extracellular_recovery:70,M4-FUNG-0006,activation.extracellular_recovery,matrix/culture-extract recovery demonstrated; intracellular versus extracellular partition not consistently resolved,PRESENT,,unreviewed,S005; S006,70
M4-FUNG-0006:activation.productive_developmental_state:77,M4-FUNG-0006,activation.productive_developmental_state,vegetative colonization plus strong association with S-morphotype developmental programme/sclerotial biology,PRESENT,,unreviewed,S005; S008; S009,77
M4-FUNG-0006:activation.physiological_state:78,M4-FUNG-0006,activation.physiological_state,high-toxin S-morphotype; substrate-responsive and development-linked,PRESENT,,unreviewed,S005; S006; S008,78
M4-FUNG-0006:activation.environmental_trigger:79,M4-FUNG-0006,activation.environmental_trigger,ground corn is strongly conducive relative to PDB; pH affects AFB1 output; YES supports robust toxin assays,PRESENT,,unreviewed,S006; S007; S010,79
M4-FUNG-0006:activation.ecological_trigger:80,M4-FUNG-0006,activation.ecological_trigger,NR in this core pass,PRESENT,,unreviewed,,80
M4-FUNG-0006:activation.temporal_window:81,M4-FUNG-0006,activation.temporal_window,"10-day corn/PDB transcriptomic assay; hbx1 transcriptome resolved 6 h, 24 h and 48 h regulatory stages",PRESENT,,unreviewed,S006; S009,81
