evidence_link_id,record_type,record_key,dossier_id,source_id,source_key,link_status,record_source_row
ELINK_cee532edd261,ASSERTION,M4-FUNG-0001:A18,M4-FUNG-0001,S001,M4-FUNG-0001:S001,resolved,18
ELINK_edec304a8e29,ASSERTION,M4-FUNG-0001:A19,M4-FUNG-0001,S001,M4-FUNG-0001:S001,resolved,19
ELINK_bf00ad0eee56,ASSERTION,M4-FUNG-0001:A20,M4-FUNG-0001,S001,M4-FUNG-0001:S001,resolved,20
ELINK_07d2b823c58e,ASSERTION,M4-FUNG-0001:A21,M4-FUNG-0001,S001,M4-FUNG-0001:S001,resolved,21
ELINK_ad137a49d2b1,ASSERTION,M4-FUNG-0001:A22,M4-FUNG-0001,S001,M4-FUNG-0001:S001,resolved,22
ELINK_3b34c7aecfed,ASSERTION,M4-FUNG-0001:A23,M4-FUNG-0001,S001,M4-FUNG-0001:S001,resolved,23
ELINK_984c761f3c6c,ASSERTION,M4-FUNG-0001:A23,M4-FUNG-0001,S002,M4-FUNG-0001:S002,resolved,23
ELINK_edd7488af518,ASSERTION,M4-FUNG-0001:A24,M4-FUNG-0001,S001,M4-FUNG-0001:S001,resolved,24
ELINK_5c2f8be9556f,ASSERTION,M4-FUNG-0001:A24,M4-FUNG-0001,S002,M4-FUNG-0001:S002,resolved,24
ELINK_c2698c3d896b,ASSERTION,M4-FUNG-0001:A29,M4-FUNG-0001,S001,M4-FUNG-0001:S001,resolved,29
ELINK_216c107b0a0f,ASSERTION,M4-FUNG-0001:A30,M4-FUNG-0001,S002,M4-FUNG-0001:S002,resolved,30
ELINK_2791f7ec7737,ASSERTION,M4-FUNG-0001:A30,M4-FUNG-0001,S003,M4-FUNG-0001:S003,resolved,30
ELINK_dffc5db3ca12,ASSERTION,M4-FUNG-0001:A31,M4-FUNG-0001,S004,M4-FUNG-0001:S004,resolved,31
ELINK_e3afa0ebd262,ASSERTION,M4-FUNG-0001:A32,M4-FUNG-0001,S001,M4-FUNG-0001:S001,resolved,32
ELINK_284e4a9c06c9,ASSERTION,M4-FUNG-0001:A33,M4-FUNG-0001,S001,M4-FUNG-0001:S001,resolved,33
ELINK_3180819e71c9,BGC_FACET,M4-FUNG-0001:taxonomy.phylum:33,M4-FUNG-0001,S001,M4-FUNG-0001:S001,resolved,33
ELINK_da5e61ddb63b,ASSERTION,M4-FUNG-0001:A34,M4-FUNG-0001,S005,M4-FUNG-0001:S005,resolved,34
ELINK_1265fc17ff61,BGC_FACET,M4-FUNG-0001:taxonomy.class:34,M4-FUNG-0001,S005,M4-FUNG-0001:S005,resolved,34
ELINK_1bb6142a1d99,ASSERTION,M4-FUNG-0001:A35,M4-FUNG-0001,S005,M4-FUNG-0001:S005,resolved,35
ELINK_e0531b2d9e09,BGC_FACET,M4-FUNG-0001:taxonomy.order:35,M4-FUNG-0001,S005,M4-FUNG-0001:S005,resolved,35
ELINK_ab6854e84e11,ASSERTION,M4-FUNG-0001:A36,M4-FUNG-0001,S005,M4-FUNG-0001:S005,resolved,36
ELINK_b6e6a0770c1b,BGC_FACET,M4-FUNG-0001:taxonomy.family:36,M4-FUNG-0001,S005,M4-FUNG-0001:S005,resolved,36
ELINK_58f8178568da,ASSERTION,M4-FUNG-0001:A37,M4-FUNG-0001,S001,M4-FUNG-0001:S001,resolved,37
ELINK_056064e477ee,BGC_FACET,M4-FUNG-0001:taxonomy.genus:37,M4-FUNG-0001,S001,M4-FUNG-0001:S001,resolved,37
