dossier_id,source_row,field,excluded_value_present,reason,source_ids
M4-FUNG-0001,7,schema_version,True,administrative_excluded,
M4-FUNG-0001,8,dossier_id,True,administrative_excluded,
M4-FUNG-0001,9,sheet_record_status,True,administrative_excluded,
M4-FUNG-0001,10,annotation_status,True,administrative_excluded,
M4-FUNG-0001,11,annotation_date,True,administrative_excluded,
M4-FUNG-0001,12,inference,False,administrative_excluded,
M4-FUNG-0001,13,last_reviewed_date,True,administrative_excluded,
M4-FUNG-0001,20,mibig_record_status,True,provenance_only,S001
M4-FUNG-0001,21,source_native_category_value,True,provenance_only,S001
M4-FUNG-0001,22,mibig_completeness,True,provenance_only,S001
M4-FUNG-0001,25,primary_reference_source_id,True,provenance_only,
M4-FUNG-0001,57,boundary_confidence,True,provenance_only,S001; S002; S003
M4-FUNG-0001,58,pathway_identity_confidence,True,provenance_only,S001; S002; S003
M4-FUNG-0001,89,candidate_bgc_credibility,True,provenance_only,S002; S003
M4-FUNG-0001,90,coordinated_transcription_evidence,True,provenance_only,S002
M4-FUNG-0001,91,biochemical_execution_evidence,True,provenance_only,S002; S003
M4-FUNG-0001,92,product_formation_evidence,True,provenance_only,S002; S004
M4-FUNG-0001,94,bgc_product_attribution,True,provenance_only,S002; S003
M4-FUNG-0001,95,gene_product_attribution,True,provenance_only,S001; S002
M4-FUNG-0001,96,complete_pathway_reconstruction,True,provenance_only,S001; S002; S003
M4-FUNG-0001,98,major_database_problem,True,provenance_only,S001; S002; S003
M4-FUNG-0001,99,best_use_case_for_atlas,True,provenance_only,S001; S002; S003
M4-FUNG-0001,100,overall_note,True,provenance_only,S001; S002; S003
M4-FUNG-0001,104,gene.legacy_support_annotation,True,provenance_only,S001; S002
M4-FUNG-0001,105,gene.legacy_support_annotation,True,provenance_only,S001; S002
M4-FUNG-0001,106,gene.legacy_support_annotation,True,provenance_only,S001; S002
M4-FUNG-0001,107,gene.legacy_support_annotation,True,provenance_only,S001; S002
M4-FUNG-0001,108,gene.legacy_support_annotation,True,provenance_only,S001; S002
M4-FUNG-0001,109,gene.legacy_support_annotation,True,provenance_only,S001; S002
M4-FUNG-0001,117,metabolite.legacy_attribution_annotation,True,provenance_only,S002; S004
M4-FUNG-0001,118,metabolite.legacy_attribution_annotation,True,provenance_only,S002; S004
M4-FUNG-0001,119,metabolite.legacy_attribution_annotation,True,provenance_only,S004
M4-FUNG-0001,156,claim.legacy_support_annotation,True,provenance_only,S001; S002
M4-FUNG-0001,157,claim.legacy_support_annotation,True,provenance_only,S001; S003
M4-FUNG-0001,158,claim.legacy_support_annotation,True,provenance_only,S002; S004
M4-FUNG-0001,159,claim.legacy_support_annotation,True,provenance_only,S003
M4-FUNG-0001,169,relationship.legacy_support_annotation,True,provenance_only,S001; S003
M4-FUNG-0001,170,relationship.legacy_support_annotation,True,provenance_only,S003
M4-FUNG-0001,171,relationship.legacy_support_annotation,True,provenance_only,S002
M4-FUNG-0001,172,relationship.legacy_support_annotation,True,provenance_only,S004
M4-FUNG-0002,7,schema_version,True,administrative_excluded,
M4-FUNG-0002,8,dossier_id,True,administrative_excluded,
M4-FUNG-0002,9,sheet_record_status,True,administrative_excluded,
M4-FUNG-0002,10,annotation_status,True,administrative_excluded,
M4-FUNG-0002,11,annotation_date,True,administrative_excluded,
M4-FUNG-0002,12,inference,False,administrative_excluded,
M4-FUNG-0002,13,last_reviewed_date,True,administrative_excluded,
M4-FUNG-0002,20,mibig_record_status,True,provenance_only,S001
M4-FUNG-0002,21,source_native_category_value,True,provenance_only,S001
M4-FUNG-0002,22,mibig_completeness,True,provenance_only,S001
M4-FUNG-0002,25,primary_reference_source_id,True,provenance_only,
M4-FUNG-0002,57,boundary_confidence,True,provenance_only,S001; S002; S003; S004
M4-FUNG-0002,58,pathway_identity_confidence,True,provenance_only,S001; S002; S003; S004
M4-FUNG-0002,89,candidate_bgc_credibility,True,provenance_only,S002; S003
M4-FUNG-0002,90,coordinated_transcription_evidence,True,provenance_only,S002; S003
M4-FUNG-0002,91,biochemical_execution_evidence,True,provenance_only,S002; S003
M4-FUNG-0002,92,product_formation_evidence,True,provenance_only,S002; S003
M4-FUNG-0002,94,bgc_product_attribution,True,provenance_only,S001; S002; S003; S004
M4-FUNG-0002,95,gene_product_attribution,True,provenance_only,S002; S003
M4-FUNG-0002,96,complete_pathway_reconstruction,True,provenance_only,
M4-FUNG-0002,98,major_database_problem,True,provenance_only,S001; S002; S003; S004
M4-FUNG-0002,99,best_use_case_for_atlas,True,provenance_only,S001; S002; S003; S004
M4-FUNG-0002,100,overall_note,True,provenance_only,S001; S002; S003; S004
M4-FUNG-0002,104,gene.legacy_support_annotation,True,provenance_only,S001; S002
M4-FUNG-0002,105,gene.legacy_support_annotation,True,provenance_only,S001; S002
M4-FUNG-0002,106,gene.legacy_support_annotation,True,provenance_only,S001
M4-FUNG-0002,107,gene.legacy_support_annotation,True,provenance_only,S001
M4-FUNG-0002,108,gene.legacy_support_annotation,True,provenance_only,S001
M4-FUNG-0002,109,gene.legacy_support_annotation,True,provenance_only,S001; S002; S003
M4-FUNG-0002,110,gene.legacy_support_annotation,True,provenance_only,S001; S003
M4-FUNG-0002,111,gene.legacy_support_annotation,True,provenance_only,S001
M4-FUNG-0002,112,gene.legacy_support_annotation,True,provenance_only,S001
M4-FUNG-0002,113,gene.legacy_support_annotation,True,provenance_only,S001; S002
M4-FUNG-0002,114,gene.legacy_support_annotation,True,provenance_only,S001
M4-FUNG-0002,115,gene.legacy_support_annotation,True,provenance_only,S001; S002
M4-FUNG-0002,116,gene.legacy_support_annotation,True,provenance_only,S001; S002
M4-FUNG-0002,117,gene.legacy_support_annotation,True,provenance_only,S001; S002
M4-FUNG-0002,118,gene.legacy_support_annotation,True,provenance_only,S001
M4-FUNG-0002,119,gene.legacy_support_annotation,True,provenance_only,S001
M4-FUNG-0002,120,gene.legacy_support_annotation,True,provenance_only,S001; S002
M4-FUNG-0002,121,gene.legacy_support_annotation,True,provenance_only,S001
M4-FUNG-0002,122,gene.legacy_support_annotation,True,provenance_only,S001; S002
M4-FUNG-0002,123,gene.legacy_support_annotation,True,provenance_only,S001
M4-FUNG-0002,124,gene.legacy_support_annotation,True,provenance_only,S001
M4-FUNG-0002,125,gene.legacy_support_annotation,True,provenance_only,S001
M4-FUNG-0002,126,gene.legacy_support_annotation,True,provenance_only,S001
M4-FUNG-0002,130,metabolite.legacy_attribution_annotation,True,provenance_only,S001; S007
M4-FUNG-0002,169,claim.legacy_support_annotation,True,provenance_only,S001; S002
M4-FUNG-0002,170,claim.legacy_support_annotation,True,provenance_only,S002
M4-FUNG-0002,171,claim.legacy_support_annotation,True,provenance_only,S003
M4-FUNG-0002,172,claim.legacy_support_annotation,True,provenance_only,S002; S003; S004
M4-FUNG-0002,173,claim.legacy_support_annotation,True,provenance_only,S001; S002; S007
M4-FUNG-0002,182,relationship.legacy_support_annotation,True,provenance_only,S001; S002
M4-FUNG-0002,183,relationship.legacy_support_annotation,True,provenance_only,S003
M4-FUNG-0002,184,relationship.legacy_support_annotation,True,provenance_only,S002
M4-FUNG-0002,185,relationship.legacy_support_annotation,True,provenance_only,S003
M4-FUNG-0002,186,relationship.legacy_support_annotation,True,provenance_only,S001; S007
M4-FUNG-0003,7,schema_version,True,administrative_excluded,
M4-FUNG-0003,8,dossier_id,True,administrative_excluded,
M4-FUNG-0003,9,sheet_record_status,True,administrative_excluded,
M4-FUNG-0003,10,annotation_status,True,administrative_excluded,
M4-FUNG-0003,11,annotation_date,True,administrative_excluded,
M4-FUNG-0003,12,inference,False,administrative_excluded,
M4-FUNG-0003,13,last_reviewed_date,True,administrative_excluded,
M4-FUNG-0003,20,mibig_record_status,True,provenance_only,S001; S002
M4-FUNG-0003,21,source_native_category_value,True,provenance_only,S001
M4-FUNG-0003,22,mibig_completeness,True,provenance_only,S001
M4-FUNG-0003,25,primary_reference_source_id,True,provenance_only,
M4-FUNG-0003,57,boundary_confidence,True,provenance_only,S003; S004; S015; S016
M4-FUNG-0003,58,pathway_identity_confidence,True,provenance_only,S001; S002; S003; S004; S006; S008; S009; S010
M4-FUNG-0003,89,candidate_bgc_credibility,True,provenance_only,S003; S004; S006; S008; S009; S010
M4-FUNG-0003,90,coordinated_transcription_evidence,True,provenance_only,S003; S004; S006; S008; S009; S010
M4-FUNG-0003,91,biochemical_execution_evidence,True,provenance_only,S003; S004; S006; S008; S009; S010
M4-FUNG-0003,92,product_formation_evidence,True,provenance_only,S003; S004; S006; S008; S009; S010
M4-FUNG-0003,94,bgc_product_attribution,True,provenance_only,S003; S004; S006; S008; S009; S010
