Organism,BGC count,NCBI taxon ID,Genus
Aspergillus nidulans,23,227321,Aspergillus
Aspergillus terreus,17,341663,Aspergillus
Fusarium graminearum PH-1,12,229533,
Aspergillus fumigatus,10,330879,Aspergillus
Aspergillus flavus NRRL3357,9,332952,Aspergillus
Aspergillus flavus,8,5059,Aspergillus
Alternaria alternata,7,5599,Alternaria
Aspergillus oryzae RIB40,6,510516,
Parastagonospora nodorum SN15,5,321614,
Penicillium rubens Wisconsin 54-1255,5,500485,Penicillium
Metarhizium robertsii ARSEF 23,5,655844,Metarhizium
Epichloë festucae,5,35717,
Fusarium fujikuroi,5,5127,
Fusarium graminearum (historical literature: Gibberella zeae),5,5518,
Aspergillus stellatus,5,1549217,
